ann_term	q_val	annotation
GO:0007044	2.02739137339176e-19	cell-substrate junction assembly
GO:0010821	2.02739137339176e-19	regulation of mitochondrion organization
GO:0010822	2.02739137339176e-19	positive regulation of mitochondrion organization
GO:0031581	2.02739137339176e-19	hemidesmosome assembly
GO:0090199	2.02739137339176e-19	regulation of release of cytochrome c from mitochondria
GO:0090200	2.02739137339176e-19	positive regulation of release of cytochrome c from mitochondria
GO:2001233	2.02739137339176e-19	regulation of apoptotic signaling pathway
GO:2001235	2.02739137339176e-19	positive regulation of apoptotic signaling pathway
GO:0035988	5.81657810424752e-18	chondrocyte proliferation
GO:0001501	1.27298607770068e-17	skeletal system development
GO:0051216	1.27298607770068e-17	cartilage development
GO:0061448	1.27298607770068e-17	connective tissue development
GO:0002062	3.00471643938015e-17	chondrocyte differentiation
GO:0015248	1.82379043665885e-14	sterol transporter activity
GO:0017127	1.82379043665885e-14	cholesterol transporter activity
GO:0120015	1.82379043665885e-14	intermembrane sterol transfer activity
GO:0120020	1.82379043665885e-14	intermembrane cholesterol transfer activity
GO:0030100	6.10142049618193e-14	regulation of endocytosis
GO:0015485	1.95358229063969e-13	cholesterol binding
GO:0070449	3.52906443115783e-13	elongin complex
GO:0051865	3.97578064192355e-13	protein autoubiquitination
GO:0002063	4.20619604271091e-13	chondrocyte development
GO:0032330	4.20619604271091e-13	regulation of chondrocyte differentiation
GO:0061035	4.20619604271091e-13	regulation of cartilage development
GO:0061181	4.20619604271091e-13	regulation of chondrocyte development
GO:0061572	4.20619604271091e-13	actin filament bundle organization
GO:0031005	4.20619604271091e-13	filamin binding
GO:0001836	4.75918012477968e-13	release of cytochrome c from mitochondria
GO:0008637	4.75918012477968e-13	apoptotic mitochondrial changes
GO:0032934	7.52610511232641e-13	sterol binding
GO:0038066	3.34072152465225e-12	p38MAPK cascade
GO:0016579	1.67682417625226e-11	protein deubiquitination
GO:0001655	1.67682417625226e-11	urogenital system development
GO:0001822	1.67682417625226e-11	kidney development
GO:0072001	1.67682417625226e-11	renal system development
GO:0070646	1.96273828840094e-11	protein modification by small protein removal
GO:0006956	2.25090004436169e-11	complement activation
GO:0072376	2.25090004436169e-11	protein activation cascade
GO:0060627	4.04818829262565e-11	regulation of vesicle-mediated transport
GO:0000350	1.29681640678549e-10	generation of catalytic spliceosome for second transesterification step
GO:0000393	1.29681640678549e-10	spliceosomal conformational changes to generate catalytic conformation
GO:0050290	1.62157448235664e-10	sphingomyelin phosphodiesterase D activity
GO:0051648	2.05402530922126e-10	vesicle localization
GO:0051650	2.05402530922126e-10	establishment of vesicle localization
