ann_term	CC	annotation
GO:0007044	2.40711353326418e-22	cell-substrate junction assembly
GO:0010821	2.40711353326418e-22	regulation of mitochondrion organization
GO:0010822	2.40711353326418e-22	positive regulation of mitochondrion organization
GO:0031581	2.40711353326418e-22	hemidesmosome assembly
GO:0090199	2.40711353326418e-22	regulation of release of cytochrome c from mitochondria
GO:0090200	2.40711353326418e-22	positive regulation of release of cytochrome c from mitochondria
GO:2001233	2.40711353326418e-22	regulation of apoptotic signaling pathway
GO:2001235	2.40711353326418e-22	positive regulation of apoptotic signaling pathway
GO:0035988	7.76924947139027e-21	chondrocyte proliferation
GO:0001501	2.26711679020601e-20	skeletal system development
GO:0051216	2.26711679020601e-20	cartilage development
GO:0061448	2.26711679020601e-20	connective tissue development
GO:0002062	5.79716736597537e-20	chondrocyte differentiation
GO:0015248	4.60143030917194e-17	sterol transporter activity
GO:0017127	4.60143030917194e-17	cholesterol transporter activity
GO:0120015	4.60143030917194e-17	intermembrane sterol transfer activity
GO:0120020	4.60143030917194e-17	intermembrane cholesterol transfer activity
GO:0030100	1.62994314234602e-16	regulation of endocytosis
GO:0015485	5.50876573495905e-16	cholesterol binding
GO:0070449	1.04751096205338e-15	elongin complex
GO:0051865	1.23911239953094e-15	protein autoubiquitination
GO:0002063	1.6854748167586e-15	chondrocyte development
GO:0032330	1.6854748167586e-15	regulation of chondrocyte differentiation
GO:0061035	1.6854748167586e-15	regulation of cartilage development
GO:0061181	1.6854748167586e-15	regulation of chondrocyte development
GO:0061572	1.6854748167586e-15	actin filament bundle organization
GO:0031005	1.6854748167586e-15	filamin binding
GO:0001836	2.04832626326225e-15	release of cytochrome c from mitochondria
GO:0008637	2.04832626326225e-15	apoptotic mitochondrial changes
GO:0032934	3.35089274814177e-15	sterol binding
GO:0038066	1.53698971897032e-14	p38MAPK cascade
GO:0016579	8.56714548984036e-14	protein deubiquitination
GO:0001655	8.71012854984104e-14	urogenital system development
GO:0001822	8.71012854984104e-14	kidney development
GO:0072001	8.71012854984104e-14	renal system development
GO:0070646	1.04865803476453e-13	protein modification by small protein removal
GO:0006956	1.26943012297038e-13	complement activation
GO:0072376	1.26943012297038e-13	protein activation cascade
GO:0060627	2.34311878023746e-13	regulation of vesicle-mediated transport
GO:0000350	7.89098733722251e-13	generation of catalytic spliceosome for second transesterification step
GO:0000393	7.89098733722251e-13	spliceosomal conformational changes to generate catalytic conformation
GO:0050290	1.01077661411367e-12	sphingomyelin phosphodiesterase D activity
GO:0051648	1.34130474333237e-12	vesicle localization
GO:0051650	1.34130474333237e-12	establishment of vesicle localization
GO:0019783	1.45562544712132e-12	ubiquitin-like protein-specific protease activity
GO:0036459	2.0217926687506e-12	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	2.0217926687506e-12	ubiquitinyl hydrolase activity
GO:0060284	2.11601854232322e-12	regulation of cell development
GO:0001055	2.2574358087937e-12	RNA polymerase II activity
GO:0018343	2.40642292314229e-12	protein farnesylation
GO:0005965	2.40642292314229e-12	protein farnesyltransferase complex
GO:0003352	2.85382769511439e-12	regulation of cilium movement
GO:0060632	2.85382769511439e-12	regulation of microtubule-based movement
GO:0004370	3.11591603435256e-12	glycerol kinase activity
GO:0006891	5.78185804728347e-12	intra-Golgi vesicle-mediated transport
GO:0006903	7.40710285491632e-12	vesicle targeting
GO:0048199	7.40710285491632e-12	vesicle targeting, to, from or within Golgi
GO:0007250	8.06474368428787e-12	activation of NF-kappaB-inducing kinase activity
GO:0032872	8.06474368428787e-12	regulation of stress-activated MAPK cascade
GO:0038061	8.06474368428787e-12	NIK/NF-kappaB signaling
GO:0046328	8.06474368428787e-12	regulation of JNK cascade
GO:0070302	8.06474368428787e-12	regulation of stress-activated protein kinase signaling cascade
GO:1901222	8.06474368428787e-12	regulation of NIK/NF-kappaB signaling
GO:1901224	8.06474368428787e-12	positive regulation of NIK/NF-kappaB signaling
GO:0034329	8.47291224805427e-12	cell junction assembly
GO:0034330	8.47291224805427e-12	cell junction organization
GO:0030433	1.18262612065084e-11	ubiquitin-dependent ERAD pathway
GO:0034976	1.18262612065084e-11	response to endoplasmic reticulum stress
GO:0036503	1.18262612065084e-11	ERAD pathway
GO:0006901	1.42312698920986e-11	vesicle coating
GO:0048207	1.42312698920986e-11	vesicle targeting, rough ER to cis-Golgi
GO:0048208	1.42312698920986e-11	COPII vesicle coating
GO:0007254	1.49170307621143e-11	JNK cascade
GO:0097193	1.67555036967172e-11	intrinsic apoptotic signaling pathway
GO:0016639	5.44506421073688e-11	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0002253	5.55005207836499e-11	activation of immune response
GO:0017124	8.6200290181948e-11	SH3 domain binding
GO:0034594	1.00424243697304e-10	phosphatidylinositol trisphosphate phosphatase activity
GO:0016314	1.00424243697304e-10	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
GO:0051717	1.00424243697304e-10	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity
GO:0051800	1.00424243697304e-10	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity
GO:0052743	1.00424243697304e-10	inositol tetrakisphosphate phosphatase activity
GO:0106017	1.00424243697304e-10	phosphatidylinositol-3,4-bisphosphate phosphatase activity
GO:0017174	1.18173488109323e-10	glycine N-methyltransferase activity
GO:0050731	1.32827119671618e-10	positive regulation of peptidyl-tyrosine phosphorylation
GO:0061098	1.32827119671618e-10	positive regulation of protein tyrosine kinase activity
GO:0071816	1.7517203808191e-10	tail-anchored membrane protein insertion into ER membrane
GO:0017046	2.00727940662017e-10	peptide hormone binding
GO:0051424	2.00727940662017e-10	corticotropin-releasing hormone binding
GO:0004909	3.40492065518489e-10	interleukin-1, type I, activating receptor activity
GO:0006703	4.46011641484747e-10	estrogen biosynthetic process
GO:0008210	4.46011641484747e-10	estrogen metabolic process
GO:0004303	4.46011641484747e-10	estradiol 17-beta-dehydrogenase activity
GO:0000818	5.58483764466403e-10	nuclear MIS12/MIND complex
GO:0071107	5.74653833381758e-10	response to parathyroid hormone
GO:0042165	6.57762307839621e-10	neurotransmitter binding
GO:0006376	9.6320799720658e-10	mRNA splice site selection
GO:0008285	1.65952882739579e-09	negative regulation of cell proliferation
GO:0043890	1.8981295329157e-09	N-acetylgalactosamine-6-sulfatase activity
GO:0006959	2.07865070401103e-09	humoral immune response
GO:0033209	2.11395951063064e-09	tumor necrosis factor-mediated signaling pathway
GO:0034612	2.11395951063064e-09	response to tumor necrosis factor
GO:0071356	2.11395951063064e-09	cellular response to tumor necrosis factor
GO:0000012	2.92679775519042e-09	single strand break repair
GO:0033674	2.9387127032137e-09	positive regulation of kinase activity
GO:0045860	2.9387127032137e-09	positive regulation of protein kinase activity
GO:0051347	2.9387127032137e-09	positive regulation of transferase activity
GO:0015888	3.41226141205083e-09	thiamine transport
GO:0045117	3.41226141205083e-09	azole transport
GO:0015234	3.41226141205083e-09	thiamine transmembrane transporter activity
GO:1901474	3.41226141205083e-09	azole transmembrane transporter activity
GO:0005031	3.82711401354801e-09	tumor necrosis factor-activated receptor activity
GO:0005035	3.82711401354801e-09	death receptor activity
GO:0005834	5.54039325568409e-09	heterotrimeric G-protein complex
GO:0009898	5.54039325568409e-09	cytoplasmic side of plasma membrane
GO:0019897	5.54039325568409e-09	extrinsic component of plasma membrane
GO:0031234	5.54039325568409e-09	extrinsic component of cytoplasmic side of plasma membrane
GO:0098562	5.54039325568409e-09	cytoplasmic side of membrane
GO:1905360	5.54039325568409e-09	GTPase complex
GO:0051184	5.99884664305368e-09	cofactor transmembrane transporter activity
GO:0098552	6.63778676040421e-09	side of membrane
GO:0080135	1.37005650622103e-08	regulation of cellular response to stress
GO:0008890	1.41138368697086e-08	glycine C-acetyltransferase activity
GO:0070647	1.64903604528074e-08	protein modification by small protein conjugation or removal
GO:0016408	1.95358446073557e-08	C-acyltransferase activity
GO:0016453	1.95358446073557e-08	C-acetyltransferase activity
GO:0050730	2.1277874296609e-08	regulation of peptidyl-tyrosine phosphorylation
GO:0061097	2.1277874296609e-08	regulation of protein tyrosine kinase activity
GO:0001934	2.39729584366481e-08	positive regulation of protein phosphorylation
GO:0042327	2.39729584366481e-08	positive regulation of phosphorylation
GO:0006269	2.98371708653113e-08	DNA replication, synthesis of RNA primer
GO:0003896	2.98371708653113e-08	DNA primase activity
GO:0005212	3.19822614837389e-08	structural constituent of eye lens
GO:0046920	3.47787727520705e-08	alpha-(1->3)-fucosyltransferase activity
GO:0030238	3.85063173054212e-08	male sex determination
GO:0010562	4.1712965377321e-08	positive regulation of phosphorus metabolic process
GO:0045937	4.1712965377321e-08	positive regulation of phosphate metabolic process
GO:0021549	4.43583590712635e-08	cerebellum development
GO:0022037	4.43583590712635e-08	metencephalon development
GO:0030902	4.43583590712635e-08	hindbrain development
GO:0097190	4.79520182457401e-08	apoptotic signaling pathway
GO:0031401	9.62318435929359e-08	positive regulation of protein modification process
GO:0006954	1.2806303106525e-07	inflammatory response
GO:0019433	1.33101610618664e-07	triglyceride catabolic process
