ann_term	q_val	annotation
GO:0002790	1	peptide secretion
GO:0009306	1	protein secretion
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0042136	0.992881585146356	neurotransmitter biosynthetic process
GO:0044085	0.992881585146356	cellular component biogenesis
GO:0000123	0.992881585146356	histone acetyltransferase complex
GO:0005388	0.992881585146356	calcium-transporting ATPase activity
GO:0019213	0.992881585146356	deacetylase activity
GO:0008174	0.992881585146356	mRNA methyltransferase activity
GO:0009698	0.987268188166439	phenylpropanoid metabolic process
GO:0009737	0.987268188166439	response to abscisic acid
GO:0009738	0.987268188166439	abscisic acid-activated signaling pathway
GO:0009791	0.987268188166439	post-embryonic development
GO:0009808	0.987268188166439	lignin metabolic process
GO:0046271	0.987268188166439	phenylpropanoid catabolic process
GO:0046274	0.987268188166439	lignin catabolic process
GO:0071973	0.987268188166439	bacterial-type flagellum-dependent cell motility
GO:0071215	0.987268188166439	cellular response to abscisic acid stimulus
GO:0097588	0.987268188166439	archaeal or bacterial-type flagellum-dependent cell motility
GO:0010427	0.987268188166439	abscisic acid binding
GO:0019139	0.987268188166439	cytokinin dehydrogenase activity
GO:0052716	0.987268188166439	hydroquinone:oxygen oxidoreductase activity
GO:0033108	0.987268188166439	mitochondrial respiratory chain complex assembly
GO:0008446	0.987268188166439	GDP-mannose 4,6-dehydratase activity
GO:0019478	0.985769853057554	D-amino acid catabolic process
GO:0046655	0.985769853057554	folic acid metabolic process
GO:0046656	0.985769853057554	folic acid biosynthetic process
GO:0008696	0.985769853057554	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.985769853057554	RNA glycosylase activity
GO:0030598	0.985769853057554	rRNA N-glycosylase activity
GO:0044179	0.982462250401681	hemolysis in other organism
GO:0051715	0.982462250401681	cytolysis in other organism
GO:0000184	0.981984897460367	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000280	0.981984897460367	nuclear division
GO:0046039	0.981984897460367	GTP metabolic process
