ann_term	CC	annotation
GO:0048731	0.797494739081966	system development
GO:0048513	0.784165211529219	animal organ development
GO:0048018	0.767584408784682	receptor ligand activity
GO:0030545	0.767584408784682	receptor regulator activity
GO:0032502	0.754648017740016	developmental process
GO:0048856	0.754648017740016	anatomical structure development
GO:0009888	0.749277464433691	tissue development
GO:0007275	0.748406171418763	multicellular organism development
GO:0008091	0.744789113595181	spectrin
GO:0010942	0.73836329058361	positive regulation of cell death
GO:0043065	0.73836329058361	positive regulation of apoptotic process
GO:0043068	0.73836329058361	positive regulation of programmed cell death
GO:0005126	0.734555370049599	cytokine receptor binding
GO:0030141	0.733615203856351	secretory granule
GO:0009611	0.731827043136836	response to wounding
GO:0016477	0.731827043136836	cell migration
GO:0002682	0.73137965127448	regulation of immune system process
GO:0050776	0.73137965127448	regulation of immune response
GO:0004890	0.731144122201071	GABA-A receptor activity
GO:0030334	0.72964574047473	regulation of cell migration
GO:0016917	0.728869956968719	GABA receptor activity
GO:0004896	0.725966646631919	cytokine receptor activity
GO:0051240	0.725283135150516	positive regulation of multicellular organismal process
GO:0008283	0.720959172033095	cell proliferation
GO:0008083	0.72079472648309	growth factor activity
GO:0045995	0.719878708998388	regulation of embryonic development
GO:0005125	0.719878708998388	cytokine activity
GO:1903522	0.71946565792551	regulation of blood circulation
GO:0099528	0.716951050541	G protein-coupled neurotransmitter receptor activity
GO:0004715	0.713702801696849	non-membrane spanning protein tyrosine kinase activity
GO:0007417	0.712348440686608	central nervous system development
GO:0005164	0.711813717726082	tumor necrosis factor receptor binding
GO:0032813	0.711813717726082	tumor necrosis factor receptor superfamily binding
GO:0007399	0.710676635109906	nervous system development
GO:0051239	0.709479965874207	regulation of multicellular organismal process
GO:0044057	0.709473079343211	regulation of system process
GO:0023061	0.705748690376297	signal release
GO:0008227	0.705748690376297	G protein-coupled amine receptor activity
GO:0060627	0.705725862374849	regulation of vesicle-mediated transport
GO:0008543	0.70550509084867	fibroblast growth factor receptor signaling pathway
GO:0044344	0.70550509084867	cellular response to fibroblast growth factor stimulus
GO:0071774	0.70550509084867	response to fibroblast growth factor
GO:0001518	0.704991222029027	voltage-gated sodium channel complex
GO:0034706	0.704991222029027	sodium channel complex
GO:0005248	0.704991222029027	voltage-gated sodium channel activity
GO:0007187	0.70210543542291	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.70210543542291	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0016247	0.701978645406487	channel regulator activity
GO:0099106	0.701978645406487	ion channel regulator activity
GO:0015296	0.701455719547329	anion:cation symporter activity
GO:0051694	0.700445164513626	pointed-end actin filament capping
GO:0005523	0.700445164513626	tropomyosin binding
GO:0006955	0.699737238087355	immune response
GO:0048584	0.699737238087355	positive regulation of response to stimulus
GO:0007420	0.699559420207495	brain development
GO:0060322	0.699559420207495	head development
GO:0007269	0.699027274277475	neurotransmitter secretion
GO:0099643	0.699027274277475	signal release from synapse
GO:0008284	0.698318281773811	positive regulation of cell proliferation
GO:0016604	0.698318281773811	nuclear body
GO:0016607	0.698318281773811	nuclear speck
GO:0002684	0.695922678748858	positive regulation of immune system process
GO:0050778	0.695922678748858	positive regulation of immune response
GO:0040008	0.695835549212074	regulation of growth
GO:0002376	0.695686660732291	immune system process
GO:0030522	0.695095165861504	intracellular receptor signaling pathway
GO:0017017	0.69474489788102	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.69474489788102	MAP kinase phosphatase activity
GO:0005576	0.694276176320815	extracellular region
GO:0007229	0.693642580569306	integrin-mediated signaling pathway
GO:0062023	0.692563595218914	collagen-containing extracellular matrix
GO:0140030	0.691745996622333	modification-dependent protein binding
GO:0042127	0.690987868183097	regulation of cell proliferation
GO:0099503	0.690382292556807	secretory vesicle
GO:0002253	0.688735869673999	activation of immune response
GO:0006616	0.688676871968437	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0046658	0.68765473905858	anchored component of plasma membrane
GO:0070840	0.687187527330403	dynein complex binding
GO:0030155	0.686797900170213	regulation of cell adhesion
GO:0060070	0.684491632887464	canonical Wnt signaling pathway
GO:0040012	0.684318496623341	regulation of locomotion
GO:2000145	0.684318496623341	regulation of cell motility
GO:0015379	0.684054879539119	potassium:chloride symporter activity
GO:0045087	0.683838384570486	innate immune response
GO:0007249	0.682933693584648	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.682933693584648	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0042165	0.681968668048166	neurotransmitter binding
GO:0047961	0.68141219782657	glycine N-acyltransferase activity
GO:0017049	0.681112487089334	GTP-Rho binding
GO:0031012	0.681088227007227	extracellular matrix
GO:0005547	0.680744415919102	phosphatidylinositol-3,4,5-trisphosphate binding
GO:0045862	0.680558708738791	positive regulation of proteolysis
GO:0030100	0.680375889488825	regulation of endocytosis
GO:0015377	0.680359306929364	cation:chloride symporter activity
GO:0003013	0.679495343596315	circulatory system process
GO:0008015	0.679495343596315	blood circulation
GO:0050793	0.678468304751196	regulation of developmental process
GO:0003015	0.673981379249268	heart process
GO:0008016	0.673981379249268	regulation of heart contraction
GO:0060047	0.673981379249268	heart contraction
GO:0042060	0.673656268925784	wound healing
GO:0031593	0.672191339473999	polyubiquitin modification-dependent protein binding
GO:0070530	0.672191339473999	K63-linked polyubiquitin modification-dependent protein binding
GO:0006954	0.671808417584328	inflammatory response
GO:0022008	0.671304938144193	neurogenesis
GO:0004860	0.671084745346325	protein kinase inhibitor activity
GO:0019210	0.671084745346325	kinase inhibitor activity
GO:0005102	0.670917196920621	signaling receptor binding
GO:0002063	0.670617549148129	chondrocyte development
GO:0032330	0.670617549148129	regulation of chondrocyte differentiation
GO:0061035	0.670617549148129	regulation of cartilage development
GO:0061181	0.670617549148129	regulation of chondrocyte development
GO:0061572	0.670617549148129	actin filament bundle organization
GO:0031005	0.670617549148129	filamin binding
GO:0004908	0.669197029808081	interleukin-1 receptor activity
GO:0015026	0.669184165953139	coreceptor activity
GO:0003810	0.668604578311399	protein-glutamine gamma-glutamyltransferase activity
GO:1903524	0.667004620368442	positive regulation of blood circulation
GO:0008373	0.665091465358364	sialyltransferase activity
GO:0007596	0.664506475722867	blood coagulation
GO:0007599	0.664506475722867	hemostasis
GO:0004969	0.663935662690762	histamine receptor activity
GO:0080134	0.663061523301718	regulation of response to stress
