ann_term	q_val	annotation
GO:0046173	1	polyol biosynthetic process
GO:1901682	1	sulfur compound transmembrane transporter activity
GO:0035600	0.997353347926314	tRNA methylthiolation
GO:0035598	0.997353347926314	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0005853	0.995707352830519	eukaryotic translation elongation factor 1 complex
GO:0090304	0.995217962703595	nucleic acid metabolic process
GO:0006654	0.99372831652762	phosphatidic acid biosynthetic process
GO:0046473	0.99372831652762	phosphatidic acid metabolic process
GO:0052689	0.99273556586972	carboxylic ester hydrolase activity
GO:0044179	0.992417622299659	hemolysis in other organism
GO:0051715	0.992417622299659	cytolysis in other organism
GO:0033036	0.991877285216583	macromolecule localization
GO:0019478	0.99038437971458	D-amino acid catabolic process
GO:0046655	0.99038437971458	folic acid metabolic process
GO:0046656	0.99038437971458	folic acid biosynthetic process
GO:0008696	0.99038437971458	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.99038437971458	RNA glycosylase activity
GO:0030598	0.99038437971458	rRNA N-glycosylase activity
GO:0071973	0.99038437971458	bacterial-type flagellum-dependent cell motility
GO:0097588	0.99038437971458	archaeal or bacterial-type flagellum-dependent cell motility
GO:0006527	0.99038437971458	arginine catabolic process
GO:0015772	0.990047894579658	oligosaccharide transport
GO:1901071	0.98991837615345	glucosamine-containing compound metabolic process
GO:0016307	0.987785186369227	phosphatidylinositol phosphate kinase activity
GO:0008830	0.987785186369227	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0070925	0.98645005903671	organelle assembly
GO:0071702	0.980405003206835	organic substance transport
GO:0022884	0.980225182308147	macromolecule transmembrane transporter activity
GO:0031090	0.978415595918811	organelle membrane
GO:0005953	0.977278344213812	CAAX-protein geranylgeranyltransferase complex
GO:0045735	0.977278344213812	nutrient reservoir activity
GO:0008174	0.976725211975053	mRNA methyltransferase activity
GO:0009310	0.975248111719998	amine catabolic process
GO:0000184	0.974253063550406	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0047750	0.970203944564119	cholestenol delta-isomerase activity
GO:0016790	0.966390279934462	thiolester hydrolase activity
GO:0000782	0.965860823425608	telomere cap complex
GO:0000783	0.965860823425608	nuclear telomere cap complex
GO:1990879	0.965860823425608	CST complex
