ann_term	CC	annotation
GO:0048731	0.919193196513581	system development
GO:0007275	0.916728552765276	multicellular organism development
GO:0048856	0.916355715753115	anatomical structure development
GO:0048018	0.914584780728181	receptor ligand activity
GO:0030545	0.914584780728181	receptor regulator activity
GO:0032502	0.913393757884014	developmental process
GO:0009888	0.900513825011441	tissue development
GO:0048513	0.897470294167313	animal organ development
GO:0009611	0.892405762767947	response to wounding
GO:0008083	0.892128920142962	growth factor activity
GO:0008091	0.88237999715741	spectrin
GO:0010942	0.881846094539817	positive regulation of cell death
GO:0043065	0.881846094539817	positive regulation of apoptotic process
GO:0043068	0.881846094539817	positive regulation of programmed cell death
GO:0005576	0.878775875288897	extracellular region
GO:0004890	0.877850359909329	GABA-A receptor activity
GO:0016917	0.876451501347422	GABA receptor activity
GO:0099528	0.874911508293051	G protein-coupled neurotransmitter receptor activity
GO:0008283	0.873336046861529	cell proliferation
GO:0051240	0.873076142379457	positive regulation of multicellular organismal process
GO:0008227	0.87260286061586	G protein-coupled amine receptor activity
GO:0015296	0.867930132412006	anion:cation symporter activity
GO:0023061	0.86752383572604	signal release
GO:0004860	0.867415858402022	protein kinase inhibitor activity
GO:0019210	0.867415858402022	kinase inhibitor activity
GO:0045995	0.866940886077711	regulation of embryonic development
GO:0007269	0.865610956222083	neurotransmitter secretion
GO:0099643	0.865610956222083	signal release from synapse
GO:0030141	0.864788052015777	secretory granule
GO:0005126	0.862396303415877	cytokine receptor binding
GO:0031012	0.860294120855709	extracellular matrix
GO:0002682	0.858715669940938	regulation of immune system process
GO:0007399	0.85839956466757	nervous system development
GO:0050776	0.857996477587554	regulation of immune response
GO:0070840	0.857833024779966	dynein complex binding
GO:0015377	0.857620737577476	cation:chloride symporter activity
GO:0030522	0.856848286684792	intracellular receptor signaling pathway
GO:0004715	0.855871591088918	non-membrane spanning protein tyrosine kinase activity
GO:0008373	0.855806209965883	sialyltransferase activity
GO:0005164	0.855668459856227	tumor necrosis factor receptor binding
GO:0032813	0.855668459856227	tumor necrosis factor receptor superfamily binding
GO:0016477	0.85458976046429	cell migration
GO:0030334	0.853551928497123	regulation of cell migration
GO:0005125	0.851812594918267	cytokine activity
GO:0045087	0.85141140006484	innate immune response
GO:0048584	0.851174234991875	positive regulation of response to stimulus
GO:0006955	0.850113231765972	immune response
GO:0007187	0.848442165161825	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.848442165161825	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0015464	0.848407717796803	acetylcholine receptor activity
GO:0016907	0.848407717796803	G protein-coupled acetylcholine receptor activity
GO:0002376	0.848178461177561	immune system process
GO:1903522	0.846782024513949	regulation of blood circulation
GO:0015379	0.84649144011955	potassium:chloride symporter activity
GO:0051239	0.845476673004567	regulation of multicellular organismal process
GO:0004896	0.844938526969182	cytokine receptor activity
GO:0007229	0.844680664796494	integrin-mediated signaling pathway
GO:0006869	0.844589944883023	lipid transport
GO:0044057	0.844430050201268	regulation of system process
GO:0017017	0.843951982800825	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.843951982800825	MAP kinase phosphatase activity
GO:0016604	0.843937594040749	nuclear body
GO:0016607	0.843937594040749	nuclear speck
GO:0043565	0.843849455415748	sequence-specific DNA binding
GO:0099503	0.84317360882545	secretory vesicle
GO:0042060	0.84284032766117	wound healing
GO:0017049	0.842246078893164	GTP-Rho binding
GO:0080134	0.842034239345395	regulation of response to stress
GO:0062023	0.839411467944469	collagen-containing extracellular matrix
GO:0007268	0.838896604528876	chemical synaptic transmission
GO:0098916	0.838896604528876	anterograde trans-synaptic signaling
GO:0099536	0.838896604528876	synaptic signaling
