ann_term	q_val	annotation
GO:0007399	0.00062606798033649	nervous system development
GO:0016247	0.00062606798033649	channel regulator activity
GO:0099106	0.00062606798033649	ion channel regulator activity
GO:0007420	0.00062606798033649	brain development
GO:0060322	0.00062606798033649	head development
GO:0051049	0.00062606798033649	regulation of transport
GO:0032879	0.00089328602178187	regulation of localization
GO:0007417	0.00127227458314154	central nervous system development
GO:0019956	0.00258514026108613	chemokine binding
GO:0007212	0.00472097065567295	dopamine receptor signaling pathway
GO:0016477	0.00654880071046538	cell migration
GO:0048731	0.00730688150306067	system development
GO:0019955	0.00730688150306067	cytokine binding
GO:0030168	0.00730688150306067	platelet activation
GO:0004952	0.00775797870373375	dopamine neurotransmitter receptor activity
GO:0004936	0.00833797593934508	alpha-adrenergic receptor activity
GO:0062023	0.00849433734339473	collagen-containing extracellular matrix
GO:0046580	0.00849433734339473	negative regulation of Ras protein signal transduction
GO:0051058	0.00849433734339473	negative regulation of small GTPase mediated signal transduction
GO:0016917	0.00849433734339473	GABA receptor activity
GO:0048584	0.00849433734339473	positive regulation of response to stimulus
GO:0017017	0.00849433734339473	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.00849433734339473	MAP kinase phosphatase activity
GO:0004890	0.00849433734339473	GABA-A receptor activity
GO:0016604	0.00849433734339473	nuclear body
GO:0016607	0.00849433734339473	nuclear speck
GO:1903522	0.00849433734339473	regulation of blood circulation
GO:0035257	0.00849433734339473	nuclear hormone receptor binding
GO:0051427	0.00849433734339473	hormone receptor binding
GO:0043114	0.00849433734339473	regulation of vascular permeability
GO:0048245	0.00849433734339473	eosinophil chemotaxis
GO:0071621	0.00849433734339473	granulocyte chemotaxis
GO:0072677	0.00849433734339473	eosinophil migration
GO:0097530	0.00849433734339473	granulocyte migration
GO:0030374	0.00849433734339473	nuclear receptor transcription coactivator activity
GO:0005923	0.00849433734339473	bicellular tight junction
GO:0043296	0.00849433734339473	apical junction complex
GO:0070160	0.00849433734339473	tight junction
GO:0099528	0.00911129591390476	G protein-coupled neurotransmitter receptor activity
GO:0035586	0.00935301972381293	purinergic receptor activity
GO:0040011	0.0101235052563457	locomotion
GO:0008083	0.010675152687682	growth factor activity
GO:0045907	0.0107001119778755	positive regulation of vasoconstriction
GO:0042613	0.0107001119778755	MHC class II protein complex
GO:0004910	0.0110673732700948	interleukin-1, type II, blocking receptor activity
GO:0050776	0.0111931819641763	regulation of immune response
GO:0045995	0.0111931819641763	regulation of embryonic development
GO:0098797	0.0132471122938152	plasma membrane protein complex
GO:0007275	0.0132471122938152	multicellular organism development
GO:0007193	0.0132471122938152	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0007195	0.0132471122938152	adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:0001614	0.0132471122938152	purinergic nucleotide receptor activity
GO:0016502	0.0132471122938152	nucleotide receptor activity
GO:0048856	0.0139263675151234	anatomical structure development
GO:0042611	0.0144485244718235	MHC protein complex
GO:0042310	0.015949615385212	vasoconstriction
