ann_term	CC	annotation
GO:0048856	0.969634813473347	anatomical structure development
GO:0007275	0.963578171212036	multicellular organism development
GO:0048731	0.959558623934864	system development
GO:0016917	0.957967518982349	GABA receptor activity
GO:0032502	0.957901018061426	developmental process
GO:0005102	0.957533507779677	signaling receptor binding
GO:0004890	0.956821223526542	GABA-A receptor activity
GO:0045995	0.955826404973375	regulation of embryonic development
GO:0048018	0.954613646921742	receptor ligand activity
GO:0030545	0.954613646921742	receptor regulator activity
GO:0048513	0.954520718629911	animal organ development
GO:0030334	0.951140891122977	regulation of cell migration
GO:0016477	0.949318003975743	cell migration
GO:0008083	0.947142650950925	growth factor activity
GO:0030155	0.945900215145206	regulation of cell adhesion
GO:0032879	0.94433052721333	regulation of localization
GO:0009611	0.943938740039302	response to wounding
GO:0060627	0.943776831544477	regulation of vesicle-mediated transport
GO:0051239	0.942898378769685	regulation of multicellular organismal process
GO:0099503	0.942816381168503	secretory vesicle
GO:0048584	0.941939800707874	positive regulation of response to stimulus
GO:0007399	0.941660907776103	nervous system development
GO:0007420	0.941121242785895	brain development
GO:0060322	0.941121242785895	head development
GO:0008091	0.940599967326793	spectrin
GO:0007417	0.940304007325706	central nervous system development
GO:0001518	0.939542531622673	voltage-gated sodium channel complex
GO:0034706	0.939542531622673	sodium channel complex
GO:0005248	0.939542531622673	voltage-gated sodium channel activity
GO:0004715	0.939170051661648	non-membrane spanning protein tyrosine kinase activity
GO:2000026	0.938682394809923	regulation of multicellular organismal development
GO:1903522	0.938601215217278	regulation of blood circulation
GO:0017017	0.936831865534199	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.936831865534199	MAP kinase phosphatase activity
GO:0040012	0.936643612876703	regulation of locomotion
GO:0007517	0.93645794287061	muscle organ development
GO:0061061	0.93645794287061	muscle structure development
GO:0030522	0.93619331599599	intracellular receptor signaling pathway
GO:0042060	0.93535523122533	wound healing
GO:0010942	0.935177707205464	positive regulation of cell death
GO:0043065	0.935177707205464	positive regulation of apoptotic process
GO:0043068	0.935177707205464	positive regulation of programmed cell death
GO:0005164	0.934474000893027	tumor necrosis factor receptor binding
GO:0032813	0.934474000893027	tumor necrosis factor receptor superfamily binding
GO:0051262	0.934473388556374	protein tetramerization
GO:0042165	0.933183131367053	neurotransmitter binding
GO:2000145	0.932988512716208	regulation of cell motility
GO:0044057	0.932854300949766	regulation of system process
GO:0062023	0.931828754604378	collagen-containing extracellular matrix
GO:0007249	0.931039839714192	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.931039839714192	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0099528	0.931002941723669	G protein-coupled neurotransmitter receptor activity
GO:0001501	0.930680125547831	skeletal system development
GO:0051216	0.930680125547831	cartilage development
GO:0061448	0.930680125547831	connective tissue development
GO:0006836	0.929836921621871	neurotransmitter transport
GO:0002063	0.929095411971129	chondrocyte development
GO:0032330	0.929095411971129	regulation of chondrocyte differentiation
GO:0061035	0.929095411971129	regulation of cartilage development
GO:0061181	0.929095411971129	regulation of chondrocyte development
GO:0061572	0.929095411971129	actin filament bundle organization
GO:0031005	0.929095411971129	filamin binding
GO:0046777	0.929052809370632	protein autophosphorylation
GO:0005160	0.92831478262851	transforming growth factor beta receptor binding
GO:0009896	0.927111388457431	positive regulation of catabolic process
GO:0031331	0.927111388457431	positive regulation of cellular catabolic process
GO:0016604	0.926967240124074	nuclear body
GO:0016607	0.926967240124074	nuclear speck
GO:0043114	0.92660928998076	regulation of vascular permeability
GO:0048245	0.92660928998076	eosinophil chemotaxis
GO:0071621	0.92660928998076	granulocyte chemotaxis
GO:0072677	0.92660928998076	eosinophil migration
GO:0097530	0.92660928998076	granulocyte migration
GO:0002062	0.926427191050532	chondrocyte differentiation
GO:0051694	0.926158471063272	pointed-end actin filament capping
GO:0005523	0.926158471063272	tropomyosin binding
GO:0005539	0.925851365305649	glycosaminoglycan binding
GO:0015026	0.925817494805521	coreceptor activity
GO:0009605	0.925337519950756	response to external stimulus
GO:0005496	0.925277471749056	steroid binding
GO:0003013	0.924211291943265	circulatory system process
GO:0008015	0.924211291943265	blood circulation
GO:0008277	0.924193603233309	regulation of G protein-coupled receptor signaling pathway
GO:0004879	0.92412223954416	nuclear receptor activity
GO:0098531	0.92412223954416	transcription factor activity, direct ligand regulated sequence-specific DNA binding
GO:0019229	0.924005884571641	regulation of vasoconstriction
GO:0015379	0.923446592311501	potassium:chloride symporter activity
GO:0051049	0.923369297359224	regulation of transport
GO:0009967	0.923276629894103	positive regulation of signal transduction
GO:0010647	0.923276629894103	positive regulation of cell communication
GO:0023056	0.923276629894103	positive regulation of signaling
GO:0043560	0.923040212896291	insulin receptor substrate binding
GO:0035586	0.922987599651918	purinergic receptor activity
GO:0006955	0.922923183090849	immune response
GO:0040011	0.922410611178496	locomotion
GO:0048699	0.922397080907776	generation of neurons
GO:0045907	0.921970049178986	positive regulation of vasoconstriction
GO:0005923	0.921954466933254	bicellular tight junction
GO:0043296	0.921954466933254	apical junction complex
GO:0070160	0.921954466933254	tight junction
GO:0030212	0.921261580613428	hyaluronan metabolic process
GO:1903510	0.921261580613428	mucopolysaccharide metabolic process
GO:0019955	0.920468183430976	cytokine binding
GO:0030168	0.92026359599679	platelet activation
GO:0002376	0.920121070650517	immune system process
GO:0050878	0.920052410992902	regulation of body fluid levels
GO:0007169	0.919860838507994	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0003012	0.919175843739636	muscle system process
GO:0006935	0.91913827156111	chemotaxis
GO:0042330	0.91913827156111	taxis
GO:0006936	0.918934012927648	muscle contraction
GO:0051270	0.918552004830656	regulation of cellular component movement
GO:0022008	0.917834950758076	neurogenesis
GO:0016247	0.917720128565262	channel regulator activity
GO:0099106	0.917720128565262	ion channel regulator activity
GO:0030141	0.917558627251313	secretory granule
GO:0042310	0.916979741543822	vasoconstriction
GO:0097756	0.916979741543822	negative regulation of blood vessel diameter
GO:0004896	0.916935945071295	cytokine receptor activity
GO:0004953	0.916902146518658	icosanoid receptor activity
GO:0005179	0.9166195974266	hormone activity
GO:0007212	0.916417445341	dopamine receptor signaling pathway
GO:0097755	0.916180060451995	positive regulation of blood vessel diameter
GO:0035196	0.916180060451995	production of miRNAs involved in gene silencing by miRNA
GO:0030422	0.916180060451995	production of siRNA involved in RNA interference
GO:0031050	0.916180060451995	dsRNA processing
GO:0042311	0.916180060451995	vasodilation
GO:0050885	0.916180060451995	neuromuscular process controlling balance
GO:0050905	0.916180060451995	neuromuscular process
GO:0050957	0.916180060451995	equilibrioception
GO:0070918	0.916180060451995	production of small RNA involved in gene silencing by RNA
GO:0070920	0.916180060451995	regulation of production of small RNA involved in gene silencing by RNA
GO:0090065	0.916180060451995	regulation of production of siRNA involved in RNA interference
GO:0090075	0.916180060451995	relaxation of muscle
GO:1900368	0.916180060451995	regulation of RNA interference
GO:1903798	0.916180060451995	regulation of production of miRNAs involved in gene silencing by miRNA
GO:0043293	0.916180060451995	apoptosome
GO:0070578	0.916180060451995	RISC-loading complex
GO:0005018	0.916180060451995	platelet-derived growth factor alpha-receptor activity
GO:0035197	0.916180060451995	siRNA binding
GO:0061980	0.916180060451995	regulatory RNA binding
GO:0070883	0.916180060451995	pre-miRNA binding
GO:0019956	0.915766946200806	chemokine binding
GO:0043548	0.915552683611045	phosphatidylinositol 3-kinase binding
GO:0006939	0.91552690268911	smooth muscle contraction
GO:0098772	0.915353310176269	molecular function regulator
GO:0050817	0.914489419617331	coagulation
GO:0031110	0.914002782449577	regulation of microtubule polymerization or depolymerization
GO:0003018	0.913082065482886	vascular process in circulatory system
GO:0035150	0.913082065482886	regulation of tube size
GO:0035296	0.913082065482886	regulation of tube diameter
GO:0050880	0.913082065482886	regulation of blood vessel size
GO:0097746	0.913082065482886	regulation of blood vessel diameter
GO:0004993	0.913013287567008	G protein-coupled serotonin receptor activity
GO:0099589	0.913013287567008	serotonin receptor activity
GO:0031593	0.913012846299772	polyubiquitin modification-dependent protein binding
GO:0070530	0.913012846299772	K63-linked polyubiquitin modification-dependent protein binding
GO:0007599	0.912988665629179	hemostasis
GO:0098609	0.912447130986726	cell-cell adhesion
GO:0030182	0.91228631191867	neuron differentiation
GO:0015296	0.91212366310542	anion:cation symporter activity
GO:0007167	0.911470757945458	enzyme linked receptor protein signaling pathway
GO:0016528	0.911381498692489	sarcoplasm
GO:0030314	0.911381498692489	junctional membrane complex
GO:0007596	0.911374562714299	blood coagulation
GO:0006940	0.910351338141705	regulation of smooth muscle contraction
GO:0001637	0.909960884595656	G protein-coupled chemoattractant receptor activity
GO:0004950	0.909960884595656	chemokine receptor activity
GO:0004954	0.908992837359261	prostanoid receptor activity
GO:0004935	0.908880588133282	adrenergic receptor activity
GO:0032101	0.908655143506274	regulation of response to external stimulus
GO:0008227	0.908503987910354	G protein-coupled amine receptor activity
GO:0007217	0.908203776825474	tachykinin receptor signaling pathway
GO:1903530	0.908055674345539	regulation of secretion by cell
GO:0045125	0.907274250073888	bioactive lipid receptor activity
GO:0001527	0.907140327316166	microfibril
GO:0044420	0.907140327316166	extracellular matrix component
GO:0038036	0.906984697825757	sphingosine-1-phosphate receptor activity
GO:0001614	0.906902204648341	purinergic nucleotide receptor activity
GO:0016502	0.906902204648341	nucleotide receptor activity
GO:0060070	0.906361309168615	canonical Wnt signaling pathway
GO:0042287	0.906307534555467	MHC protein binding
GO:0008543	0.905998757982135	fibroblast growth factor receptor signaling pathway
GO:0044344	0.905998757982135	cellular response to fibroblast growth factor stimulus
GO:0071774	0.905998757982135	response to fibroblast growth factor
GO:0001608	0.905801607031987	G protein-coupled nucleotide receptor activity
GO:0045028	0.905801607031987	G protein-coupled purinergic nucleotide receptor activity
GO:0070915	0.905761833408808	lysophosphatidic acid receptor activity
GO:0005540	0.90559116755836	hyaluronic acid binding
GO:0071310	0.905200620630075	cellular response to organic substance
GO:0007610	0.904846724525887	behavior
GO:1902533	0.904558798769517	positive regulation of intracellular signal transduction
GO:0004952	0.90438160520243	dopamine neurotransmitter receptor activity
GO:0016594	0.90434519894277	glycine binding
GO:0004985	0.904312554414514	opioid receptor activity
GO:0043123	0.904307705261508	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0048384	0.903750045596131	retinoic acid receptor signaling pathway
GO:0019221	0.903625586350561	cytokine-mediated signaling pathway
GO:0034097	0.903625586350561	response to cytokine
GO:0071345	0.903625586350561	cellular response to cytokine stimulus
GO:0004936	0.903290703236598	alpha-adrenergic receptor activity
GO:0046580	0.903135646885047	negative regulation of Ras protein signal transduction
GO:0051058	0.903135646885047	negative regulation of small GTPase mediated signal transduction
GO:0006937	0.902860868231861	regulation of muscle contraction
GO:0090257	0.902860868231861	regulation of muscle system process
GO:0007507	0.90284085689641	heart development
GO:0005030	0.902450637328778	neurotrophin receptor activity
GO:0019199	0.902388185980086	transmembrane receptor protein kinase activity
GO:0005577	0.902269247174632	fibrinogen complex
GO:0004955	0.902027579680196	prostaglandin receptor activity
GO:0080134	0.901748736531679	regulation of response to stress
GO:0050795	0.901616929249877	regulation of behavior
GO:0007156	0.901570520830991	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.901511405705063	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0051345	0.901077642341417	positive regulation of hydrolase activity
GO:0015377	0.90029031804938	cation:chloride symporter activity
GO:1901618	0.900004790432242	organic hydroxy compound transmembrane transporter activity
GO:0004714	0.899998167285876	transmembrane receptor protein tyrosine kinase activity
GO:0043085	0.899948059559714	positive regulation of catalytic activity
GO:0005003	0.89991859549957	ephrin receptor activity
