Feature	Pfam
0	PF00378
1	PF00005
2	PF00005
3	PF00664
4	PF00664
5	PF02347
6	PF02347
7	PF07529
8	PF00176
9	PF00271
10	PF00439
11	PF13516
12	PF13516
13	PF00520
14	PF14703
15	PF08790
16	PF00561
17	PF00300
18	PF01363
19	PF13410
20	PF13410
21	PF14497
22	PF13417
23	PF02798
24	PF02798
25	PF13243
26	PF13249
27	PF03871
28	PF01191
29	PF00188
30	PF00188
31	PF00188
32	PF00702
33	PF00690
34	PF00122
35	PF06807
36	PF00240
37	PF16575
38	PF00226
39	PF12796
40	PF00270
41	PF04408
42	PF07717
43	PF00271
44	PF00481
45	PF01193
46	PF01000
47	PF06565
48	PF06565
49	PF06565
50	PF02878
51	PF02878
52	PF00408
53	PF02880
54	PF02558
55	PF08546
56	PF14050
57	PF04969
58	PF01504
59	PF01556
60	PF00226
61	PF00684
62	PF00561
63	PF01565
64	PF04030
65	PF13855
66	PF13855
67	PF13855
68	PF13855
69	PF01384
70	PF00076
71	PF00076
72	PF00076
73	PF00076
74	PF00076
75	PF00069
76	PF00169
77	PF12796
78	PF01363
79	PF14559
80	PF14559
81	PF13174
82	PF13432
83	PF13432
84	PF07974
85	PF01590
86	PF12796
87	PF00382
88	PF00382
89	PF08271
90	PF03937
91	PF01753
92	PF13640
93	PF00487
94	PF13802
95	PF01055
96	PF08240
97	PF13602
98	PF13637
99	PF12796
100	PF12796
101	PF12796
102	PF12796
103	PF12796
104	PF12796
105	PF12796
106	PF12796
107	PF00023
108	PF00023
109	PF00400
110	PF00400
111	PF00400
112	PF00400
113	PF00400
114	PF00400
115	PF00400
116	PF05391
117	PF00076
118	PF01363
119	PF01363
120	PF01363
121	PF01590
122	PF01590
123	PF00027
124	PF00027
125	PF00027
126	PF00027
127	PF00643
128	PF00520
129	PF00520
130	PF14580
131	PF00271
132	PF00176
133	PF06026
134	PF00733
135	PF13537
136	PF00069
137	PF04874
138	PF01778
139	PF02798
140	PF14497
141	PF06418
142	PF00117
143	PF01142
144	PF00026
145	PF02789
146	PF00883
147	PF07714
148	PF00610
149	PF00169
150	PF00650
151	PF00650
152	PF02544
153	PF00400
154	PF00400
155	PF16124
156	PF00270
