ann_term	CC	annotation
PF06008	0.961310660109115	Laminin Domain I
PF07546	0.946280273224083	EMI domain
PF14160	0.944799096832166	Centrosome-associated C terminus
PF06009	0.944685976323578	Laminin Domain II
PF05986	0.944001635194257	ADAM-TS Spacer 1
PF01463	0.943881243175664	Leucine rich repeat C-terminal domain
PF00045	0.943524394017339	Hemopexin
PF06512	0.941032717426704	Sodium ion transport-associated
PF08686	0.94096906899697	PLAC (protease and lacunin) domain
PF01034	0.937202257897028	Syndecan domain
PF01586	0.936592341648148	Myogenic Basic domain
PF07525	0.933959391019894	SOCS box
PF05210	0.931744527019912	Sprouty protein (Spry)
PF09047	0.931421667389725	MEF2 binding
PF12185	0.931421667389725	Nup358/RanBP2 E3 ligase domain
PF14919	0.931421667389725	MDM2-binding
PF18440	0.931421667389725	Putative GlcNAc-1 phosphotransferase regulatory domain
PF18104	0.929583418892244	Jumonji domain-containing protein 2A Tudor domain
PF18411	0.928694813251225	Annexin-like domain
PF18696	0.928694813251225	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF00038	0.928121049064629	Intermediate filament protein
PF11414	0.924819916800781	Adenomatous polyposis coli tumour suppressor protein
PF12075	0.924804462892323	KN motif
PF00683	0.92411615342158	TB domain
PF17960	0.923874903038074	TIG domain
PF00859	0.921783292528405	CTF/NF-I family transcription modulation region
PF15705	0.921634101440158	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF11933	0.921201993549194	Cytoplasmic domain of voltage-gated Na+ ion channel
PF15706	0.920439753734606	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF08430	0.919774299952518	Forkhead N-terminal region
PF06345	0.918950678728674	DRF Autoregulatory Domain
PF05760	0.918661033622571	Immediate early response protein (IER)
PF15068	0.917610500871731	FAM101 family
PF05196	0.917607420209816	PTN/MK heparin-binding protein family, N-terminal domain
PF00019	0.917498807286632	Transforming growth factor beta like domain
PF16423	0.917331882883847	Transcription factor COE1 helix-loop-helix domain
PF08504	0.917157807030409	Runx inhibition domain
PF00229	0.916633694407194	TNF(Tumour Necrosis Factor) family
PF14161	0.915977181323047	Centrosome-associated N terminus
PF03250	0.914959081684835	Tropomodulin
PF00880	0.914222408581776	Nebulin repeat
PF15230	0.914030408587675	Serine/arginine repetitive matrix protein C-terminus
PF05924	0.91205650988907	SAMP Motif
PF15321	0.911263417520943	ATPase family AAA domain containing 4
PF01049	0.91115321025063	Cadherin cytoplasmic region
PF16519	0.910409106763622	Tetramerisation domain of TRPM
PF09289	0.910303948923054	Follistatin/Osteonectin-like EGF domain
PF12336	0.910011946762375	SOX transcription factor
PF06752	0.909858735579609	Enhancer of Polycomb C-terminus
PF16920	0.909580515513989	Tyrosine-protein kinase receptor C2 Ig-like domain
PF03826	0.909354798323567	OAR domain
PF01839	0.909121767835313	FG-GAP repeat
PF04272	0.908737349647629	Phospholamban
PF06959	0.908737349647629	RecQ helicase protein-like 5 (RecQ5)
PF07941	0.908737349647629	Potassium channel Kv1.4 tandem inactivation domain
PF07988	0.908737349647629	LMSTEN motif
PF08157	0.908737349647629	NUC129 domain
PF08384	0.908737349647629	Pro-opiomelanocortin, N-terminal region
PF09034	0.908737349647629	TRADD, N-terminal domain
PF09263	0.908737349647629	Peroxisome biogenesis factor 1, N-terminal
PF09396	0.908737349647629	Thrombin light chain
PF10580	0.908737349647629	Gap junction protein N-terminal region
PF12162	0.908737349647629	STAT1 TAZ2 binding domain
PF12374	0.908737349647629	Double-sex mab3 related transcription factor 1
PF12547	0.908737349647629	Capicua transcriptional repressor modulator
PF13341	0.908737349647629	RAG2 PHD domain
PF14396	0.908737349647629	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
PF14669	0.908737349647629	Putative aspartate racemase
PF14991	0.908737349647629	Protein melan-A
PF15117	0.908737349647629	Uncharacterised protein family UPF0697
PF15355	0.908737349647629	Stretch-responsive small skeletal muscle X protein, Chisel
PF15429	0.908737349647629	Domain of unknown function (DUF4628)
PF15435	0.908737349647629	UNC119-binding protein C5orf30 homologue
PF16598	0.908737349647629	Linker region of enhancer of mRNA-decapping protein 3
PF16599	0.908737349647629	Unstructured linker region on PTN13 protein between PDZ
PF16602	0.908737349647629	Linker region of USP19 deubiquitinase
PF16606	0.908737349647629	Unstructured conserved, between two C2H2-type zinc-fingers
PF16638	0.908737349647629	Unstructured region on methyltransferase between zinc-fingers
PF16700	0.908737349647629	Synphilin-1 alpha-Synuclein-binding domain
PF16726	0.908737349647629	Inositol polyphosphate 5-phosphatase clathrin binding domain
PF17256	0.908737349647629	Anaphase-promoting complex, subunit 16
PF17756	0.908737349647629	RET Cadherin like domain 1
PF17812	0.908737349647629	RET Cadherin like domain 3
PF17813	0.908737349647629	RET Cadherin like domain 4
PF17968	0.908737349647629	Toll-like receptor 3 trans-membrane domain
PF18455	0.908737349647629	Gamma-aminobutyric acid type B receptor subunit 2 coiled-coil domain
PF06789	0.907589699337694	Uncharacterised protein family (UPF0258)
PF12598	0.907589699337694	T-box transcription factor
PF16184	0.907526796308283	Cadherin-like
PF05395	0.907025016206055	Protein phosphatase inhibitor 1/DARPP-32
PF14061	0.906749044254894	Polycomb-like MTF2 factor 2
PF00093	0.906515397516523	von Willebrand factor type C domain
PF06621	0.90622581695261	Single-minded protein C-terminus
PF09316	0.906166864251821	C-myb, C-terminal
PF00123	0.90487180654646	Peptide hormone
PF07474	0.904821388951065	G2F domain
PF12485	0.904706007411714	Lymphocyte signaling adaptor protein
PF10482	0.904652136314247	Tumour-suppressor protein CtIP N-terminal domain
PF12845	0.90434942201447	TBD domain
PF12067	0.903989564535211	Sox 17/18 central domain
PF01108	0.903677528859373	Tissue factor
PF14818	0.903463596238576	Domain of unknown function (DUF4482)
PF06668	0.903271354133227	Inter-alpha-trypsin inhibitor heavy chain C-terminus
PF12232	0.902398307013783	Myogenic determination factor 5
PF12310	0.902043609321687	Transcription factor protein N terminal
PF06818	0.901850856327426	Fez1
PF06387	0.901693640238075	D1 dopamine receptor-interacting protein (calcyon)
PF01160	0.901680734934611	Vertebrate endogenous opioids neuropeptide
PF03508	0.9015643906242	Gap junction alpha-1 protein (Cx43)
PF15184	0.9015643906242	Mitochondrial import receptor subunit TOM6 homolog
PF18720	0.901239590553769	Tenascin EGF domain
PF01530	0.901037258721002	Zinc finger, C2HC type
PF11057	0.900809409472085	Cortexin of kidney
PF00193	0.900505723086395	Extracellular link domain
PF13914	0.900503517300308	Phostensin PP1-binding and SH3-binding region
PF17887	0.90038466697912	Jak1 pleckstrin homology-like domain
PF18379	0.900379610041752	FERM F1 ubiquitin-like domain
PF01017	0.900220352702756	STAT protein, all-alpha domain
PF16597	0.900168381251568	Thyroglobulin_1 repeat associated disordered domain
PF00157	0.900079495388003	Pou domain - N-terminal to homeobox domain
PF05110	0.90001973423241	AF-4 proto-oncoprotein
PF08702	0.899949678130609	Fibrinogen alpha/beta chain family
PF10524	0.899862499252523	Nuclear factor I protein pre-N-terminus
PF09596	0.899754180314987	MamL-1 domain
PF12203	0.899365409848602	Glutamine rich N terminal domain of histone deacetylase 4
PF08383	0.899232938039557	Maf N-terminal region
PF16959	0.898859022930662	Renal amino acid transporter
PF11918	0.898598720102585	N-terminal domain of Peptidase_S41 in eukaryotic IRBP
PF09067	0.89840504717008	Erythropoietin receptor, ligand binding
PF15063	0.898118736159373	Thyroid cancer protein 1
PF04988	0.898014894299072	A-kinase anchoring protein 95 (AKAP95)
PF08947	0.897946548437479	BPS (Between PH and SH2)
PF06328	0.897425289161354	Ig-like C2-type domain
PF15282	0.897387201619475	BMP-2-inducible protein kinase C-terminus
PF08826	0.897228064677046	DMPK coiled coil domain like
PF13293	0.897085769929508	Domain of unknown function (DUF4074)
PF00007	0.896942978182816	Cystine-knot domain
PF01437	0.896766484128983	Plexin repeat
PF12284	0.896622655626866	Hox protein A13 N terminal
PF15090	0.896506227440081	Domain of unknown function (DUF4553)
PF17217	0.896343145181196	UPA domain
PF02038	0.896049611775457	ATP1G1/PLM/MAT8 family
PF17950	0.896008347411757	S-adenosylmethionine decarboxylase N -terminal
PF18561	0.895881917244999	Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain
PF03509	0.895695878833801	Gap junction alpha-8 protein (Cx50)
PF08365	0.895695878833801	Insulin-like growth factor II E-peptide
PF09303	0.895695878833801	KCNMB2, ball and chain domain
PF14665	0.895695878833801	Rapamycin-insensitive companion of mTOR, phosphorylation-site
PF15187	0.895695878833801	Oesophageal cancer-related gene 4
PF16801	0.895695878833801	Dimerisation domain of Male-specific-Lethal 1
PF18442	0.895695878833801	E3 gp78 Ube2g2-binding region (G2BR)
PF18445	0.895695878833801	PR zinc knuckle motif
PF16616	0.895566490432735	Unstructured region on Polyhomeotic-like protein 1 and 2
PF14998	0.895523390955193	Transcription Regulator
PF12235	0.895357360288382	Fragile X-related 1 protein core C terminal
PF01390	0.895285565113037	SEA domain
PF15920	0.89522225084041	N-terminal of Junction-mediating and WASP homolog-associated
PF00594	0.894967398962994	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF05507	0.894920791224521	Microfibril-associated glycoprotein (MAGP)
PF15269	0.894920791224521	Zinc-finger
PF00243	0.894912670957961	Nerve growth factor family
PF00748	0.894858576842162	Calpain inhibitor
PF00976	0.894811406053031	Corticotropin ACTH domain
PF16748	0.894770919252463	Inscuteable LGN-binding domain
PF12595	0.894751627942123	Rhomboid serine protease
PF16629	0.894751627942123	Armadillo-associated region on APC
PF07292	0.894730494080219	Nmi/IFP 35 domain (NID)
PF08758	0.894508832615521	Cadherin prodomain like
PF08736	0.894412451331616	FERM adjacent (FA)
PF16615	0.894205432654027	Unstructured region one on RhoGEF 6 and 7
PF14723	0.893967110674955	Sperm-specific antigen 2 C-terminus
PF15467	0.893895179579266	Secretogranin-3
PF10393	0.893793179930099	Trimeric coiled-coil oligomerisation domain of matrilin
PF18786	0.893696039244165	Importin 13 repeat
