Feature	GO
locus_tag:OT_ostta15g02640|protein_id:XP_003083419.1	GO:0006139; GO:0006364
locus_tag:OT_ostta01g01560|protein_id:XP_022838170.1	GO:0055114; GO:0050661; GO:0051287; GO:0006006; GO:0016620
locus_tag:OT_ostta03g00490|protein_id:XP_022838408.1	GO:0000387; GO:0005681
locus_tag:OT_ostta02g01660|protein_id:XP_003074982.1	GO:0003676
locus_tag:OT_ostta04g00110|protein_id:XP_003078530.1	GO:0004672; GO:0005524; GO:0006468
locus_tag:OT_ostta07g04410|protein_id:XP_022839519.1	GO:0009507
locus_tag:OT_ostta08g00870|protein_id:XP_022840921.1	GO:0005515
locus_tag:OT_ostta05g01930|protein_id:XP_003079294.2	GO:0004252; GO:0005515; GO:0006508
locus_tag:OT_ostta03g03360|protein_id:XP_022838530.1	GO:0016787; GO:0030163; GO:0005524; GO:0005737
locus_tag:OT_ostta02g02360|protein_id:XP_003075045.1	GO:0004298; GO:0051603; GO:0005839; GO:0004175
locus_tag:OT_ostta14g01040|protein_id:XP_022841311.1	GO:0005524; GO:0019538; GO:0005515
locus_tag:OT_ostta06g04120|protein_id:XP_022839300.1	GO:0016787
locus_tag:OT_ostta03g05810|protein_id:XP_003078516.2	GO:0003677; GO:0004518
locus_tag:OT_ostta09g00110|protein_id:XP_003080999.1	GO:0016491; GO:0045454; GO:0016209; GO:0051920; GO:0055114
locus_tag:OT_ostta15g02220|protein_id:XP_003083372.2	GO:0008017; GO:0005515
locus_tag:OT_ostta03g02540|protein_id:XP_022838495.1	GO:0003676
locus_tag:OT_ostta17g00590|protein_id:XP_003083825.1	GO:0005515
locus_tag:OT_ostta07g00560|protein_id:XP_003079757.2	GO:0055085; GO:0022857
locus_tag:OT_ostta15g00405|protein_id:XP_003083183.1	GO:0003755; GO:0000413
locus_tag:OT_ostta03g00770|protein_id:XP_022838421.1	GO:0003723; GO:0005515
locus_tag:OT_ostta06g04340|protein_id:XP_003080081.1	GO:0005515
locus_tag:OT_ostta16g00660|protein_id:XP_003083515.2	GO:0046422; GO:0055114; GO:0009507
locus_tag:OT_ostta10g03140|protein_id:XP_022839854.1	GO:0045454
locus_tag:OT_ostta15g00320|protein_id:XP_022841093.1	GO:0005507; GO:0006825; GO:0016531; GO:0005758
locus_tag:OT_ostta17g02190|protein_id:XP_003084007.2	GO:0004527; GO:0003676
locus_tag:OT_ostta01g05090|protein_id:XP_003074559.2	GO:0016301; GO:0003951
locus_tag:OT_ostta07g02690|protein_id:XP_022839438.1	GO:0033179; GO:1902600; GO:0015078
locus_tag:OT_ostta03g05600|protein_id:XP_022838648.1	GO:0016491; GO:0016705; GO:0005506; GO:0031418; GO:0055114
locus_tag:OT_ostta05g01910|protein_id:XP_003079292.1	GO:0005515
locus_tag:OT_ostta10g02420|protein_id:XP_003081676.2	GO:0016787
locus_tag:OT_ostta07g02150|protein_id:XP_022839416.1	GO:0000062
locus_tag:OT_ostta18g01030|protein_id:XP_022840550.1	GO:0019808; GO:0015846; GO:0042597
locus_tag:OT_ostta06g03270|protein_id:XP_022839258.1	GO:0003849; GO:0009073; GO:0003824
locus_tag:OT_ostta01g01850|protein_id:XP_003074243.1	GO:0016702; GO:0055114
locus_tag:OT_ostta10g02270|protein_id:XP_003081662.2	GO:0003755
locus_tag:OT_ostta11g01760|protein_id:XP_003081994.2	GO:0006260; GO:0005524; GO:0003678; GO:0003677; GO:0006270; GO:0042555
locus_tag:OT_ostta03g04900|protein_id:XP_022838609.1	GO:0000166; GO:0005388; GO:0016021; GO:0006816
locus_tag:OT_ostta19g00165|protein_id:XP_003084274.1	GO:0003676
locus_tag:OT_ostta06g00850|protein_id:XP_003079704.1	GO:0006886; GO:0016192
locus_tag:OT_ostta04g01600|protein_id:XP_003078689.2	GO:0003824
locus_tag:OT_ostta03g01040|protein_id:XP_022838433.1	GO:0006790; GO:0008441; GO:0046854
locus_tag:OT_ostta11g00110|protein_id:XP_022839877.1	GO:0003824; GO:0018344; GO:0004663
locus_tag:OT_ostta03g02250|protein_id:XP_003078135.2	GO:0016624; GO:0006099; GO:0030976; GO:0055114; GO:0004591
locus_tag:OT_ostta18g01250|protein_id:XP_003084170.1	GO:0016491; GO:0055114
locus_tag:OT_ostta08g01900|protein_id:XP_022840970.1	GO:0005524; GO:0003777; GO:0008017; GO:0007018
locus_tag:OT_ostta01g01690|protein_id:XP_003074224.1	GO:0003755
locus_tag:OT_ostta17g02140|protein_id:XP_022840494.1	GO:0005515
locus_tag:OT_ostta10g00810|protein_id:XP_022839755.1	GO:0005515
locus_tag:OT_ostta12g02500|protein_id:XP_022840122.1	GO:0009055; GO:0051536
locus_tag:OT_ostta07g02660|protein_id:XP_022839437.1	GO:0030915; GO:0006281
locus_tag:OT_ostta03g02960|protein_id:XP_022838513.1	GO:0005840; GO:0003735; GO:0006412
locus_tag:OT_ostta13g02380|protein_id:XP_022840236.1	GO:0003676
locus_tag:OT_ostta05g02422|protein_id:XP_003079348.1	GO:0006511; GO:0016579; GO:0004843
locus_tag:OT_ostta04g00890|protein_id:XP_003078621.2	GO:0016491; GO:0016705; GO:0055114; GO:0005506; GO:0031418
locus_tag:OT_ostta04g01790|protein_id:XP_003078706.1	GO:0015979; GO:0009538; GO:0009522
locus_tag:OT_ostta09g03700|protein_id:XP_003081361.2	GO:0055085; GO:0016020; GO:0006811; GO:0005216
locus_tag:OT_ostta12g01940|protein_id:XP_003082337.1	GO:0005634; GO:0003677; GO:0006351; GO:0003899
locus_tag:OT_ostta04g05410|protein_id:XP_003079073.2	GO:0005525; GO:0003924
locus_tag:OT_ostta03g01600|protein_id:XP_022838461.1	GO:0003735; GO:0000463; GO:0022625
locus_tag:OT_ostta15g01060|protein_id:XP_003083249.2	GO:0003700; GO:0006355
locus_tag:OT_ostta12g02600|protein_id:XP_022840129.1	GO:0016020
locus_tag:OT_ostta18g00200|protein_id:XP_022840512.1	GO:0016491; GO:0045454; GO:0004791; GO:0005737; GO:0055114; GO:0019430
locus_tag:OT_ostta07g00980|protein_id:XP_022839368.1	GO:0005515; GO:0008270
locus_tag:OT_ostta07g01230|protein_id:XP_003080218.2	GO:0016772
locus_tag:OT_ostta01g03350|protein_id:XP_022838245.1	GO:0008270
locus_tag:OT_ostta11g01460|protein_id:XP_022839937.1	GO:0006486; GO:0008417; GO:0016020
locus_tag:OT_ostta10g00670|protein_id:XP_003081501.1	GO:0006468; GO:0005524; GO:0004672
locus_tag:OT_ostta05g00330|protein_id:XP_003079129.2	GO:0006261; GO:0006260; GO:0003887; GO:0003677
locus_tag:OT_ostta02g03310|protein_id:XP_003075173.2	GO:0005515
locus_tag:OT_ostta04g00880|protein_id:XP_003078620.2	GO:0005524; GO:0016887
locus_tag:OT_ostta10g03200|protein_id:XP_003081763.2	GO:0006544; GO:0004375; GO:0003824; GO:0055114; GO:0006546
locus_tag:OT_ostta01g00620|protein_id:XP_003074121.2	GO:0006799; GO:0009358; GO:0008976
locus_tag:OT_ostta02g04910|protein_id:XP_022840864.1	GO:0008270; GO:0005779; GO:0008022; GO:0006625
locus_tag:OT_ostta03g00640|protein_id:XP_003077970.2	GO:0004252; GO:0006508; GO:0005515
locus_tag:OT_ostta08g01040|protein_id:XP_003080670.2	GO:0003723; GO:0009982; GO:0001522; GO:0006396; GO:0009451
locus_tag:OT_ostta06g02250|protein_id:XP_022839224.1	GO:0005515
locus_tag:OT_ostta01g05540|protein_id:XP_022838341.1	GO:0008137; GO:0005739; GO:0003954
locus_tag:OT_ostta05g01410|protein_id:XP_003079239.2	GO:0005525; GO:0003924
locus_tag:OT_ostta06g04450|protein_id:XP_003080093.2	GO:0003824; GO:0016747
locus_tag:OT_ostta04g04860|protein_id:XP_003079027.2	GO:0003824; GO:0055114; GO:0005507; GO:0016715; GO:0016020; GO:0006518; GO:0004497
locus_tag:OT_ostta08g01980|protein_id:XP_022840973.1	GO:0006412; GO:0005840; GO:0003735
locus_tag:OT_ostta17g00890|protein_id:XP_022840436.1	GO:0005515
locus_tag:OT_ostta09g01910|protein_id:XP_022839609.1	GO:0005515
locus_tag:OT_ostta01g06050|protein_id:XP_003074656.2	GO:0003677
locus_tag:OT_ostta08g03480|protein_id:XP_003080909.3	GO:0016491; GO:0050660; GO:0071949; GO:0055114; GO:0003824
locus_tag:OT_ostta05g04330|protein_id:XP_003079541.1	GO:0005991; GO:0003824; GO:0004555
locus_tag:OT_ostta14g02420|protein_id:XP_022841374.1	GO:0004372; GO:0003824; GO:0035999; GO:0019264; GO:0030170
locus_tag:OT_ostta01g02850|protein_id:XP_003074349.2	GO:0005524; GO:0006468; GO:0004672
locus_tag:OT_ostta02g05100|protein_id:XP_003075330.2	GO:0006396; GO:0008173
locus_tag:OT_ostta06g00670|protein_id:XP_003079692.2	GO:0005515
locus_tag:OT_ostta06g02730|protein_id:XP_003079909.2	GO:0005515
locus_tag:OT_ostta03g02390|protein_id:XP_003078152.1	GO:0008299
locus_tag:OT_ostta06g02260|protein_id:XP_022839225.1	GO:0003714
locus_tag:OT_ostta03g01860|protein_id:XP_022838469.1	GO:0005524
locus_tag:OT_ostta15g01830|protein_id:XP_022841172.1	GO:0003676; GO:0005852; GO:0006413; GO:0005515; GO:0003723; GO:0031369; GO:0003743
locus_tag:OT_ostta18g00550|protein_id:XP_022840526.1	GO:0003824
locus_tag:OT_ostta16g02140|protein_id:XP_022840369.1	GO:0005515; GO:0003824
locus_tag:OT_ostta01g03680|protein_id:XP_003074421.2	GO:0003725
locus_tag:OT_ostta16g01770|protein_id:XP_003083636.2	GO:0003735; GO:0005840; GO:0006414
locus_tag:OT_ostta02g03500|protein_id:XP_022840801.1	GO:0042254; GO:0001522
locus_tag:OT_ostta08g01810|protein_id:XP_022840964.1	GO:0005515
locus_tag:OT_ostta05g02020|protein_id:XP_022838986.1	GO:0004672; GO:0005524; GO:0006468
locus_tag:OT_ostta01g06400|protein_id:XP_022838380.1	GO:0005634; GO:0000245
locus_tag:OT_ostta14g02260|protein_id:XP_022841363.1	GO:0046872; GO:0006508; GO:0003824; GO:0004222
locus_tag:OT_ostta04g01570|protein_id:XP_022838728.1	GO:0030117; GO:0030126; GO:0006886; GO:0005515; GO:0016192; GO:0005198
locus_tag:OT_ostta06g04020|protein_id:XP_003080040.1	GO:0005515
locus_tag:OT_ostta04g00970|protein_id:XP_022838706.1	GO:0003676; GO:0005524
locus_tag:OT_ostta01g05850|protein_id:XP_003074637.1	GO:0016787; GO:0008531; GO:0009231
locus_tag:OT_ostta04g03170|protein_id:XP_003078851.2	GO:0008299
locus_tag:OT_ostta16g00970|protein_id:XP_022840312.1	GO:0003676; GO:0008270
locus_tag:OT_ostta12g02640|protein_id:XP_003082415.2	GO:0003824; GO:0016829
locus_tag:OT_ostta05g01680|protein_id:XP_022838974.1	GO:0006260; GO:0003677; GO:0005524; GO:0006270
locus_tag:OT_ostta01g05020|protein_id:XP_022838319.1	GO:0003824; GO:0004356; GO:0006807
locus_tag:OT_ostta17g00830|protein_id:XP_003083851.1	GO:0005515
locus_tag:OT_ostta04g02930|protein_id:XP_003078829.2	GO:0003677
locus_tag:OT_ostta04g04540|protein_id:XP_003078990.2	GO:0016636; GO:0055114; GO:0010024; GO:0050897
locus_tag:OT_ostta10g02900|protein_id:XP_022839843.1	GO:0003677; GO:0005515
locus_tag:OT_ostta03g04410|protein_id:XP_003078340.1	GO:0005515
locus_tag:OT_ostta12g02830|protein_id:XP_003082433.1	GO:0003743; GO:0006413
locus_tag:OT_ostta11g00070|protein_id:XP_022839876.1	GO:0045454
locus_tag:OT_ostta05g04570|protein_id:XP_003079571.2	GO:0005515
locus_tag:OT_ostta16g01250|protein_id:XP_003078415.2	GO:0009058; GO:0030170; GO:0003824; GO:0016740
locus_tag:OT_ostta07g02350|protein_id:XP_003080330.2	GO:0005524; GO:0003676
locus_tag:OT_ostta02g03890|protein_id:XP_003075231.2	GO:0004540; GO:0004672; GO:0006397; GO:0046872; GO:0006468; GO:0005524
locus_tag:OT_ostta17g00570|protein_id:XP_022840425.1	GO:0015979; GO:0009522; GO:0016020
locus_tag:OT_ostta02g00900|protein_id:XP_003074844.1	GO:0050567; GO:0006412; GO:0030956
locus_tag:OT_ostta06g04500|protein_id:XP_022839317.1	GO:0016020
locus_tag:OT_ostta18g01040|protein_id:XP_003084147.1	GO:0005524; GO:0003777; GO:0008017; GO:0007018
locus_tag:OT_ostta09g02120|protein_id:XP_003081199.1	GO:0008080
locus_tag:OT_ostta05g02100|protein_id:XP_022838990.1	GO:0005515
locus_tag:OT_ostta01g03170|protein_id:XP_003074374.1	GO:0005509; GO:0009523; GO:0019898; GO:0015979; GO:0009654
locus_tag:OT_ostta10g02680|protein_id:XP_022839836.1	GO:0003677
locus_tag:OT_ostta02g05470|protein_id:XP_003075367.2	GO:0006482; GO:0051723
locus_tag:OT_ostta03g02610|protein_id:XP_003078170.1	GO:0030697; GO:0008173; GO:0006396
locus_tag:OT_ostta04g04790|protein_id:XP_022838856.1	GO:0005509
locus_tag:OT_ostta09g01090|protein_id:XP_022839576.1	GO:0017186; GO:0016603
locus_tag:OT_ostta05g02430|protein_id:XP_022839010.1	GO:0005524; GO:0006468; GO:0004672
locus_tag:OT_ostta13g01670|protein_id:XP_022840213.1	GO:0016887; GO:0005515; GO:0016021; GO:0006812; GO:0000166
locus_tag:OT_ostta01g02710|protein_id:XP_022838217.1	GO:0045454
locus_tag:OT_ostta11g00780|protein_id:XP_022839901.1	GO:0006412; GO:0005840; GO:0003735
locus_tag:OT_ostta10g02810|protein_id:XP_003081721.2	GO:0006139; GO:0003676; GO:0008408
locus_tag:OT_ostta15g01350|protein_id:XP_003083280.1	GO:0016491; GO:0008270; GO:0055114; GO:0006069; GO:0051903
locus_tag:OT_ostta04g00070|protein_id:XP_003078526.2	GO:0008942; GO:0055114; GO:0016491; GO:0051537
locus_tag:OT_ostta06g02460|protein_id:XP_003079879.2	GO:0006436; GO:0004830; GO:0005524; GO:0006418; GO:0004812; GO:0000166
locus_tag:OT_ostta04g02970|protein_id:XP_022838788.1	GO:0003735; GO:0015934; GO:0003723; GO:0006412
locus_tag:OT_ostta02g02780|protein_id:XP_003075118.2	GO:0042779; GO:0016891
locus_tag:OT_ostta04g04370|protein_id:XP_003078973.2	GO:0005515
locus_tag:OT_ostta03g02000|protein_id:XP_022838476.1	GO:0016879; GO:0008033; GO:0000166; GO:0005524; GO:0005737; GO:0005515
locus_tag:OT_ostta12g02990|protein_id:XP_003082448.1	GO:0005515
locus_tag:OT_ostta01g05590|protein_id:XP_022838343.1	GO:0015299; GO:0055085; GO:0016021; GO:0006812
locus_tag:OT_ostta16g02420|protein_id:XP_022840386.1	GO:0016788; GO:0004536; GO:0016888
locus_tag:OT_ostta03g01150|protein_id:XP_022838438.1	GO:0016787; GO:0030163; GO:0005737; GO:0005524
locus_tag:OT_ostta16g02045|protein_id:XP_003083671.2	GO:0003824; GO:0006289; GO:0006284; GO:0006281; GO:0008534; GO:0003684
locus_tag:OT_ostta04g03090|protein_id:XP_003078844.2	GO:0008312; GO:0030942; GO:0006614; GO:0048500; GO:0005786
locus_tag:OT_ostta02g02490|protein_id:XP_003075063.1	GO:0005515
locus_tag:OT_ostta12g02610|protein_id:XP_003082412.2	GO:0003855; GO:0019632; GO:0003824; GO:0055114; GO:0004764; GO:0050661
locus_tag:OT_ostta03g00820|protein_id:XP_022838424.1	GO:0006072; GO:0004370; GO:0005975; GO:0016773
locus_tag:OT_ostta20g00370|protein_id:XP_022840615.1	GO:0016570; GO:0016593; GO:0006368
locus_tag:OT_ostta14g01290|protein_id:XP_003082941.2	GO:0016491; GO:0055114
locus_tag:OT_ostta15g01450|protein_id:XP_022841155.1	GO:0003677; GO:0005515
locus_tag:OT_ostta16g01780|protein_id:XP_003083637.2	GO:0005737; GO:0033862; GO:0006221
locus_tag:OT_ostta12g00610|protein_id:XP_003082216.2	GO:0016020
locus_tag:OT_ostta13g02520|protein_id:XP_022840243.1	GO:0005524; GO:0003676
locus_tag:OT_ostta01g06390|protein_id:XP_003074689.1	GO:0004643; GO:0003824; GO:0003937; GO:0006164
locus_tag:OT_ostta06g04200|protein_id:XP_003075104.2	GO:0004425; GO:0006568; GO:0003824
locus_tag:OT_ostta09g00050|protein_id:XP_022839530.1	GO:0055114; GO:0009916
locus_tag:OT_ostta08g01790|protein_id:XP_003080748.1	GO:0008479; GO:0101030; GO:0016763; GO:0006400
locus_tag:OT_ostta02g04810|protein_id:XP_003080047.2	GO:0005975; GO:0004553
locus_tag:OT_ostta01g03760|protein_id:XP_022838262.1	GO:0016787; GO:0005524
locus_tag:OT_ostta06g00570|protein_id:XP_003079683.1	GO:0016021
locus_tag:OT_ostta12g01680|protein_id:XP_003082317.2	GO:0005515
locus_tag:OT_ostta02g01770|protein_id:XP_022840730.1	GO:0008270; GO:0006351; GO:0003676; GO:0006379
locus_tag:OT_ostta01g03570|protein_id:XP_022838255.1	GO:0005515; GO:0003723
locus_tag:OT_ostta05g02080|protein_id:XP_003079314.2	GO:0005515
locus_tag:OT_ostta16g01710|protein_id:XP_003083629.2	GO:0005515
locus_tag:OT_ostta13g02460|protein_id:XP_003082728.2	GO:0005852; GO:0005737; GO:0003743
locus_tag:OT_ostta10g01640|protein_id:XP_003081597.2	GO:0022857; GO:0055085
locus_tag:OT_ostta13g00030|protein_id:XP_022840147.1	GO:0005524; GO:0005515
locus_tag:OT_ostta06g03310|protein_id:XP_003079971.1	GO:0016020; GO:0016192
locus_tag:OT_ostta07g00880|protein_id:XP_003080187.2	GO:0016772; GO:0016020
locus_tag:OT_ostta14g00030|protein_id:XP_003082794.2	GO:0005839; GO:0051603; GO:0004298; GO:0004175
locus_tag:OT_ostta09g03770|protein_id:XP_003081369.2	GO:0005247; GO:0006821; GO:0055085; GO:0016020
locus_tag:OT_ostta15g02840|protein_id:XP_022841221.1	GO:0005525
locus_tag:OT_ostta09g04490|protein_id:XP_003081433.1	GO:0005515
locus_tag:OT_ostta06g04390|protein_id:XP_003080087.2	GO:0005515
locus_tag:OT_ostta06g04350|protein_id:XP_003080083.2	GO:0016787
locus_tag:OT_ostta14g00920|protein_id:XP_003082899.2	GO:0016787; GO:0005524; GO:0003677
locus_tag:OT_ostta11g01320|protein_id:XP_022839929.1	GO:0005515
locus_tag:OT_ostta03g03020|protein_id:XP_022838517.1	GO:0006629
locus_tag:OT_ostta12g02805|protein_id:XP_022840134.1	GO:0016021
locus_tag:OT_ostta14g00320|protein_id:XP_003082833.2	GO:0003677
locus_tag:OT_ostta15g00790|protein_id:XP_022841118.1	GO:0005515
locus_tag:OT_ostta17g00740|protein_id:XP_003083840.1	GO:0008289
locus_tag:OT_ostta02g03900|protein_id:XP_022840817.1	GO:0005840; GO:0003735; GO:0006412
locus_tag:OT_ostta14g02510|protein_id:XP_022841381.1	GO:0016757
locus_tag:OT_ostta06g03990|protein_id:XP_022839294.1	GO:0005524; GO:0030983; GO:0006298
locus_tag:OT_ostta18g01390|protein_id:XP_003084185.2	GO:0016787
locus_tag:OT_ostta15g02030|protein_id:XP_003083353.2	GO:0005484; GO:0006890
locus_tag:OT_ostta11g02990|protein_id:XP_022839998.1	GO:0005515; GO:0008270
locus_tag:OT_ostta05g03320|protein_id:XP_022839052.1	GO:0005515
locus_tag:OT_ostta01g05420|protein_id:XP_003074594.1	GO:0005515; GO:0000413; GO:0003755
locus_tag:OT_ostta15g00590|protein_id:XP_022841106.1	GO:0005515; GO:0008270; GO:0046872
locus_tag:OT_ostta01g01790|protein_id:XP_022838181.1	GO:0003676
locus_tag:OT_ostta11g01720|protein_id:XP_003081989.2	GO:0006259; GO:0008094; GO:0006281; GO:0003677; GO:0005524
locus_tag:OT_ostta05g03790|protein_id:XP_022839069.1	GO:0005524; GO:0006468; GO:0004672
locus_tag:OT_ostta01g00270|protein_id:XP_003074088.2	GO:0003755
locus_tag:OT_ostta04g01490|protein_id:XP_003078678.1	GO:0003700; GO:0006355
locus_tag:OT_ostta08g02680|protein_id:XP_022841005.1	GO:0000398; GO:0000956
locus_tag:OT_ostta16g01610|protein_id:XP_003083615.1	GO:0008270
locus_tag:OT_ostta08g02780|protein_id:XP_003080844.1	GO:0055085; GO:0022857
