ann_term	q_val	annotation
PF00941	1	FAD binding domain in molybdopterin dehydrogenase
PF01315	1	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF01799	1	[2Fe-2S] binding domain
PF04118	1	Dopey, N-terminal
PF09741	1	Uncharacterized conserved protein (DUF2045)
PF11995	1	Domain of unknown function (DUF3490)
PF13664	1	Domain of unknown function (DUF4149)
PF16594	1	Putative AtpZ or ATP-synthase-associated
PF13671	0.992996822391013	AAA domain
PF00324	0.992996822391013	Amino acid permease
PF01223	0.992996822391013	DNA/RNA non-specific endonuclease
PF16579	0.992996822391013	Adenylate sensor of SNF1-like protein kinase
PF10156	0.992996822391013	Subunit 17 of Mediator complex
PF11798	0.992996822391013	IMS family HHH motif
PF15938	0.992996822391013	Domain of unknown function (DUF4750)
PF02689	0.991964212321343	Helicase
PF01551	0.991544190298416	Peptidase family M23
PF00334	0.98608428344359	Nucleoside diphosphate kinase
PF01753	0.98608428344359	MYND finger
PF14845	0.98608428344359	beta-acetyl hexosaminidase like
PF08614	0.98608428344359	Autophagy protein 16 (ATG16)
PF01242	0.98608428344359	6-pyruvoyl tetrahydropterin synthase
PF01869	0.98608428344359	BadF/BadG/BcrA/BcrD ATPase family
PF02496	0.98608428344359	ABA/WDS induced protein
PF11805	0.98608428344359	Protein of unknown function (DUF3326)
PF13963	0.98608428344359	Transposase-associated domain
PF11559	0.98608428344359	Afadin- and alpha -actinin-Binding
PF13092	0.98608428344359	Kinetochore complex Sim4 subunit Fta1
PF14186	0.98608428344359	Cytoskeletal adhesion
PF01609	0.984762855354198	Transposase DDE domain
PF04886	0.98286151588869	PT repeat
PF00126	0.981122302277658	Bacterial regulatory helix-turn-helix protein, lysR family
PF00486	0.981122302277658	Transcriptional regulatory protein, C terminal
PF00691	0.981122302277658	OmpA family
PF01523	0.981122302277658	Putative modulator of DNA gyrase
PF02504	0.981122302277658	Fatty acid synthesis protein
PF03971	0.981122302277658	Monomeric isocitrate dehydrogenase
PF04386	0.981122302277658	Stringent starvation protein B
PF05491	0.981122302277658	RuvB C-terminal winged helix domain
PF13437	0.981122302277658	HlyD family secretion protein
PF17864	0.981122302277658	RuvB AAA lid domain
PF08385	0.980643475510263	Dynein heavy chain, N-terminal region 1
PF06333	0.980643475510263	Mediator complex subunit 13 C-terminal domain
PF12832	0.980620431617126	MFS_1 like family
PF15901	0.980579256123665	Sortilin, neurotensin receptor 3, C-terminal
PF09169	0.980371936383097	BRCA2, helical
PF03107	0.978032901235533	C1 domain
PF00854	0.973419346475465	POT family
PF15511	0.973419346475465	Centromere kinetochore component CENP-T histone fold
PF00917	0.973419346475465	MATH domain
PF03820	0.973419346475465	Tricarboxylate carrier
PF17677	0.973419346475465	Glycosyl hydrolases family 38 C-terminal beta sandwich domain
PF10243	0.97340565321345	Microtubule-binding protein MIP-T3 CH-like domain
PF17102	0.973250906160729	Stealth protein CR3, conserved region 3
PF02326	0.969047550453857	Plant ATP synthase F0
PF03017	0.969047550453857	TNP1/EN/SPM transposase
PF06533	0.969047550453857	Protein of unknown function (DUF1110)
PF08224	0.969047550453857	Domain of unknown function (DUF1719)
PF12274	0.969047550453857	Protein of unknown function (DUF3615)
PF06839	0.966757787029045	GRF zinc finger
PF09066	0.966757787029045	Beta2-adaptin appendage, C-terminal sub-domain
PF07002	0.966726822087838	Copine
PF16455	0.966657545021373	Ubiquitin-binding domain
PF10558	0.966520537600264	Mitochondrial 18 KDa protein (MTP18)
PF12204	0.96648529780079	Domain of unknown function (DUF3598)
PF14244	0.96648529780079	gag-polypeptide of LTR copia-type
PF06209	0.96648529780079	Cofactor of BRCA1 (COBRA1)
PF13738	0.96648529780079	Pyridine nucleotide-disulphide oxidoreductase
PF00067	0.959801873646776	Cytochrome P450
PF01603	0.959801873646776	Protein phosphatase 2A regulatory B subunit (B56 family)
PF03311	0.959801873646776	Cornichon protein
PF12530	0.959722130989503	Protein of unknown function (DUF3730)
PF11571	0.959710353798417	Mediator complex subunit 27
PF07289	0.959525381966751	Bardet-Biedl syndrome 5 protein
PF17749	0.959525381966751	Microtubule-binding protein MIP-T3 C-terminal region
PF07893	0.959525381966751	Protein of unknown function (DUF1668)
PF12142	0.959525381966751	Polyphenol oxidase middle domain
PF12143	0.959525381966751	Protein of unknown function (DUF_B2219)
PF12617	0.959525381966751	Iron-Sulfur binding protein C terminal
PF13952	0.959525381966751	Domain of unknown function (DUF4216)
PF11380	0.959525381966751	Stealth protein CR2, conserved region 2
PF02033	0.959525381966751	Ribosome-binding factor A
PF16531	0.959525381966751	Centriolar protein SAS N-terminal
PF00139	0.958395571073726	Legume lectin domain
PF18389	0.953760043564118	TrmO C-terminal domain
PF06027	0.953539588627588	Solute carrier family 35
PF00145	0.953381065237658	C-5 cytosine-specific DNA methylase
PF17921	0.95337172193303	Integrase zinc binding domain
PF12584	0.953188525792808	Trafficking protein particle complex subunit 10, TRAPPC10
PF14675	0.953188525792808	FANCI solenoid 1
PF14678	0.953188525792808	FANCI solenoid 4
PF07989	0.953188525792808	Centrosomin N-terminal motif 1
PF11069	0.953188525792808	Protein of unknown function (DUF2870)
PF14931	0.953053548129777	Intraflagellar transport complex B, subunit 20
PF05427	0.952877911461164	Acidic fibroblast growth factor binding (FIBP)
PF17170	0.951743294773251	6-bladed beta-propeller
PF00912	0.947852101236403	Transglycosylase
PF01559	0.947852101236403	Zein seed storage protein
PF01620	0.947852101236403	Ribonuclease (pollen allergen)
PF01824	0.947852101236403	MatK/TrnK amino terminal region
PF03048	0.947852101236403	UL92 family
PF03157	0.947852101236403	High molecular weight glutenin subunit
PF03310	0.947852101236403	Caulimovirus DNA-binding protein
PF07346	0.947852101236403	Protein of unknown function (DUF1477)
PF08298	0.947852101236403	PrkA AAA domain
PF09339	0.947852101236403	IclR helix-turn-helix domain
PF10548	0.947852101236403	P22AR C-terminal domain
PF10999	0.947852101236403	Protein of unknown function (DUF2839)
PF11321	0.947852101236403	Protein of unknown function (DUF3123)
