Feature	Pfam
0	PF07690
1	PF00076
2	PF00076
3	PF00076
4	PF00076
5	PF00324
6	PF00324
7	PF03522
8	PF03522
9	PF03522
10	PF13499
11	PF13202
12	PF13202
13	PF15261
14	PF13853
15	PF13853
16	PF14836
17	PF14533
18	PF00443
19	PF06337
20	PF00069
21	PF00057
22	PF00059
23	PF13347
24	PF14935
25	PF00090
26	PF00090
27	PF00090
28	PF00090
29	PF00090
30	PF16489
31	PF16489
32	PF01825
33	PF00002
34	PF00002
35	PF00415
36	PF00415
37	PF00415
38	PF00415
39	PF00415
40	PF00415
41	PF00415
42	PF00415
43	PF00415
44	PF00415
45	PF00415
46	PF00415
47	PF00415
48	PF00415
49	PF00415
50	PF00415
51	PF06701
52	PF00173
53	PF11515
54	PF03256
55	PF00632
56	PF00569
57	PF01437
58	PF01403
59	PF00169
60	PF00169
61	PF00373
62	PF00784
63	PF00271
64	PF00622
65	PF00270
66	PF00664
67	PF00664
68	PF00005
69	PF00005
70	PF00003
71	PF18837
72	PF01582
73	PF13855
74	PF13855
75	PF13855
76	PF13855
77	PF00023
78	PF12796
79	PF12796
80	PF12796
81	PF07714
82	PF13853
83	PF00226
84	PF13414
85	PF13181
86	PF13181
87	PF13432
88	PF12129
89	PF08516
90	PF00200
91	PF01421
92	PF01562
93	PF13853
94	PF00069
95	PF00618
96	PF00595
97	PF00617
98	PF00788
99	PF13853
100	PF08516
101	PF01421
102	PF00200
103	PF01562
104	PF07974
105	PF05004
106	PF04836
107	PF02469
108	PF02469
109	PF02469
110	PF02469
111	PF00628
112	PF17811
113	PF02373
114	PF13908
115	PF00098
116	PF00076
117	PF00076
118	PF00270
119	PF02889
120	PF00271
121	PF13516
122	PF13516
123	PF13516
124	PF13516
125	PF13516
126	PF13516
127	PF13853
128	PF02690
129	PF02690
130	PF00412
131	PF00412
132	PF00632
133	PF00397
134	PF00397
135	PF00397
136	PF00397
137	PF13853
138	PF13853
139	PF06736
140	PF06736
141	PF12874
142	PF12874
143	PF12874
144	PF12874
145	PF00001
146	PF00505
147	PF01066
148	PF00069
149	PF00786
150	PF00144
151	PF00144
152	PF00246
153	PF18027
154	PF01352
155	PF01352
156	PF00096
157	PF00096
158	PF00096
159	PF00096
160	PF00096
161	PF00096
162	PF00096
163	PF00096
164	PF00096
165	PF00096
166	PF00096
167	PF00096
168	PF00096
169	PF00096
170	PF00096
171	PF00096
172	PF00096
173	PF00096
174	PF00096
175	PF00096
176	PF00096
177	PF00096
178	PF00096
179	PF02771
180	PF02770
181	PF00441
182	PF07859
183	PF07859
184	PF00096
185	PF00096
186	PF00096
187	PF00096
188	PF00096
189	PF00096
190	PF00096
191	PF00096
192	PF00096
193	PF00096
194	PF01391
195	PF01391
196	PF01391
197	PF01391
198	PF00386
199	PF05805
200	PF08758
201	PF00028
202	PF00028
203	PF00028
204	PF00028
205	PF00028
206	PF13637
207	PF12796
208	PF07647
209	PF13602
210	PF08240
211	PF01633
212	PF01352
213	PF00096
214	PF00096
215	PF00096
216	PF00096
217	PF00096
218	PF00096
219	PF00096
220	PF00096
221	PF00096
222	PF00096
223	PF00096
224	PF00096
225	PF00096
226	PF00096
227	PF00096
228	PF09789
