ann_term	generic	annotation
PF00002	29.115877857869	7 transmembrane receptor (Secretin family)
PF00003	53.4978711933683	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	22.6372804163059	ATPase family associated with various cellular activities (AAA)
PF00005	57.582509970871	ABC transporter
PF00006	1.55440072573375	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	5.48340011012116	Cystine-knot domain
PF00008	216.680262976664	EGF-like domain
PF00009	4.8904152805423	Elongation factor Tu GTP binding domain
PF00010	49.2056394074394	Helix-loop-helix DNA-binding domain
PF00011	11.7655120044677	Hsp20/alpha crystallin family
PF00012	6.32239885428998	Hsp70 protein
PF00013	33.0009641732425	KH domain
PF00014	30.8118598443961	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	0.756787468664269	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	0.986269371281129	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	48.7954708943154	SH2 domain
PF00018	51.2047089848407	SH3 domain
PF00019	17.2981869780412	Transforming growth factor beta like domain
PF00020	17.0552577870233	TNFR/NGFR cysteine-rich region
PF00021	14.015575751155	u-PAR/Ly-6 domain
PF00022	10.3958033490792	Actin
PF00023	25.5540030270615	Ankyrin repeat
PF00024	15.6696322144897	PAN domain
PF00025	10.6711638247071	ADP-ribosylation factor family
PF00026	7.40481688708864	Eukaryotic aspartyl protease
PF00027	33.5273444859987	Cyclic nucleotide-binding domain
PF00028	313.241379156972	Cadherin domain
PF00029	14.1832523232384	Connexin
PF00030	36.6735943868681	Beta/Gamma crystallin
PF00031	9.37749293454139	Cystatin domain
PF00032	0.366528899738389	Cytochrome b(C-terminal)/b6/petD
PF00033	0.4903101471559	Cytochrome b/b6/petB
PF00034	1.23582876130665	Cytochrome c
PF00035	12.6589689528609	Double-stranded RNA binding motif
PF00036	6.03483155682012	EF hand
PF00037	0.842075358320684	4Fe-4S binding domain
PF00038	30.7381906369969	Intermediate filament protein
PF00039	7.54568576985377	Fibronectin type I domain
PF00040	11.938267136491	Fibronectin type II domain
PF00041	276.348672674375	Fibronectin type III domain
PF00042	7.75183262789575	Globin
PF00043	11.9897683653416	Glutathione S-transferase, C-terminal domain
PF00044	2.58628863216944	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	35.4221011873273	Hemopexin
PF00046	96.720423924011	Homeodomain
PF00047	24.0993733939245	Immunoglobulin domain
PF00048	16.560357923229	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	3.87858664250708	Insulin/IGF/Relaxin family
PF00050	13.2915253626003	Kazal-type serine protease inhibitor domain
PF00051	38.8946128543647	Kringle domain
PF00052	5.21022692849982	Laminin B (Domain IV)
PF00053	100.984072151418	Laminin EGF domain
PF00054	10.2970035849408	Laminin G domain
PF00055	8.17467140166824	Laminin N-terminal (Domain VI)
PF00056	2.99545109670101	lactate/malate dehydrogenase, NAD binding domain
PF00057	133.739676274848	Low-density lipoprotein receptor domain class A
PF00058	50.637551443189	Low-density lipoprotein receptor repeat class B
PF00059	133.624813972147	Lectin C-type domain
PF00060	21.7165625942296	Ligand-gated ion channel
PF00061	16.6739983873761	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	4.52267016866645	C-type lysozyme/alpha-lactalbumin family
PF00063	24.5760415482603	Myosin head (motor domain)
PF00066	6.54703263804576	LNR domain
PF00067	90.8344203437877	Cytochrome P450
PF00068	4.2767872393783	Phospholipase A2
PF00069	218.824130296455	Protein kinase domain
PF00070	0.149071198499986	Pyridine nucleotide-disulphide oxidoreductase
PF00071	51.9585304727615	Ras family
PF00072	12.7652859448007	Response regulator receiver domain
PF00074	6.03131558424592	Pancreatic ribonuclease
PF00075	9.38906520664041	RNase H
PF00076	108.263697899288	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	10.6866290477419	Retroviral aspartyl protease
PF00078	42.2845459746564	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	18.0155095919762	Serpin (serine protease inhibitor)
PF00080	3.5714920629277	Copper/zinc superoxide dismutase (SODC)
PF00081	1.31809473763221	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	18.0600289718662	Subtilase family
PF00083	26.6121981600373	Sugar (and other) transporter
PF00084	193.59436923108	Sushi repeat (SCR repeat)
PF00085	15.3378451859932	Thioredoxin
PF00086	15.2264721634873	Thyroglobulin type-1 repeat
PF00087	1.45990175399344	Snake toxin and toxin-like protein
PF00088	9.28243698409186	Trefoil (P-type) domain
PF00089	85.943063134904	Trypsin
PF00090	164.852358187561	Thrombospondin type 1 domain
PF00091	8.34998336658357	Tubulin/FtsZ family, GTPase domain
PF00092	58.2827312990458	von Willebrand factor type A domain
PF00093	26.0380452027374	von Willebrand factor type C domain
PF00094	37.9432324517678	von Willebrand factor type D domain
PF00095	11.7386093509815	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	2296.08959698304	Zinc finger, C2H2 type
PF00097	10.1922430397738	Zinc finger, C3HC4 type (RING finger)
PF00098	30.3514431454272	Zinc knuckle
PF00100	16.9463800848381	Zona pellucida-like domain
PF00101	1.65144564768954	Ribulose bisphosphate carboxylase, small chain
PF00102	33.5183049642545	Protein-tyrosine phosphatase
PF00103	6.52671278653962	Somatotropin hormone family
PF00104	52.6671461428117	Ligand-binding domain of nuclear hormone receptor
PF00105	54.9249441961437	Zinc finger, C4 type (two domains)
PF00106	23.188903650782	short chain dehydrogenase
PF00107	12.6219305699695	Zinc-binding dehydrogenase
PF00108	2.06265495285699	Thiolase, N-terminal domain
PF00109	8.87949630021065	Beta-ketoacyl synthase, N-terminal domain
PF00110	9.61391037649471	wnt family
PF00111	4.68071478612945	2Fe-2S iron-sulfur cluster binding domain
PF00112	15.1366836499675	Papain family cysteine protease
PF00113	1.79139356621902	Enolase, C-terminal TIM barrel domain
PF00115	0.786245393106896	Cytochrome C and Quinol oxidase polypeptide I
PF00116	0.252262489554756	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	3.82931277955149	Glutamine amidotransferase class-I
PF00118	4.63463029591336	TCP-1/cpn60 chaperonin family
PF00119	0.517374881180723	ATP synthase A chain
PF00120	1.40453809942175	Glutamine synthetase, catalytic domain
PF00121	0.968180632616526	Triosephosphate isomerase
PF00122	12.8716664802891	E1-E2 ATPase
PF00123	4.74149957100264	Peptide hormone
PF00124	0.149071198499986	Photosynthetic reaction centre protein
PF00125	36.9192129226543	Core histone H2A/H2B/H3/H4
PF00126	0.756787468664269	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	0.608857184163142	Copper binding proteins, plastocyanin/azurin family
PF00128	4.348226156385	Alpha amylase, catalytic domain
PF00129	11.9277284958498	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	28.4282367807897	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	2.49504559582636	Metallothionein
PF00132	5.40183283523268	Bacterial transferase hexapeptide (six repeats)
PF00133	1.85128947689785	tRNA synthetases class I (I, L, M and V)
PF00134	12.7181966195104	Cyclin, N-terminal domain
PF00135	25.8387970761689	Carboxylesterase family
PF00136	0.986269371281129	DNA polymerase family B
PF00137	2.59506135463951	ATP synthase subunit C
PF00139	17.3726826083395	Legume lectin domain
PF00140	0.252262489554756	Sigma-70 factor, region 1.2
PF00141	40.460692984274	Peroxidase
PF00142	0.149071198499986	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00143	10.6996176652167	Interferon alpha/beta domain
PF00144	4.57959902968887	Beta-lactamase
PF00145	3.66322152199289	C-5 cytosine-specific DNA methylase
PF00146	0.287799032014152	NADH dehydrogenase
PF00147	39.7493790053773	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148	0.149071198499986	Nitrogenase component 1 type Oxidoreductase
PF00149	18.1615922854642	Calcineurin-like phosphoesterase
PF00150	9.27024129876746	Cellulase (glycosyl hydrolase family 5)
PF00151	8.27482490888643	Lipase
PF00152	3.218946436587	tRNA synthetases class II (D, K and N)
PF00153	33.2781361171918	Mitochondrial carrier protein
PF00154	1.37547053473318	recA bacterial DNA recombination protein
