ann_term	cv	annotation
PF00002	1.08821802624925	7 transmembrane receptor (Secretin family)
PF00003	1.81828112062052	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	0.369219869058994	ATPase family associated with various cellular activities (AAA)
PF00005	0.523794814774448	ABC transporter
PF00006	0.290240799410867	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	1.53262735997175	Cystine-knot domain
PF00008	1.44517738757224	EGF-like domain
PF00009	0.235619579897648	Elongation factor Tu GTP binding domain
PF00010	0.853935122766977	Helix-loop-helix DNA-binding domain
PF00011	1.04427621341429	Hsp20/alpha crystallin family
PF00012	0.396803275373848	Hsp70 protein
PF00013	0.639553569248886	KH domain
PF00014	1.49250128417419	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	5.67590601498202	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	3.69851014230423	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	1.13068804852945	SH2 domain
PF00018	1.01150654272073	SH3 domain
PF00019	1.33062976754163	Transforming growth factor beta like domain
PF00020	1.4292115463986	TNFR/NGFR cysteine-rich region
PF00021	1.87708603810111	u-PAR/Ly-6 domain
PF00022	0.498201438454277	Actin
PF00023	0.804709682447704	Ankyrin repeat
PF00024	1.46597390780049	PAN domain
PF00025	0.505476181170336	ADP-ribosylation factor family
PF00026	0.789613175163481	Eukaryotic aspartyl protease
PF00027	0.866588455985033	Cyclic nucleotide-binding domain
PF00028	1.31307518044376	Cadherin domain
PF00029	1.71111623202608	Connexin
PF00030	2.03240362981412	Beta/Gamma crystallin
PF00031	1.44516158237795	Cystatin domain
PF00032	2.35625721260393	Cytochrome b(C-terminal)/b6/petD
PF00033	2.75799457775194	Cytochrome b/b6/petB
PF00034	0.68657153405925	Cytochrome c
PF00035	0.79008821481101	Double-stranded RNA binding motif
PF00036	0.744020328923028	EF hand
PF00037	0.743007669106486	4Fe-4S binding domain
PF00038	1.51668703800972	Intermediate filament protein
PF00039	1.68096960219515	Fibronectin type I domain
PF00040	1.49644017031225	Fibronectin type II domain
PF00041	1.20174819002192	Fibronectin type III domain
PF00042	1.05706808562215	Globin
PF00043	1.01037373865238	Glutathione S-transferase, C-terminal domain
PF00044	0.770748267865066	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	1.41940743849486	Hemopexin
PF00046	1.01195514451999	Homeodomain
PF00047	1.39751520969923	Immunoglobulin domain
PF00048	1.92562301432896	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	1.3635656165064	Insulin/IGF/Relaxin family
PF00050	1.17739890023034	Kazal-type serine protease inhibitor domain
PF00051	2.42082652620527	Kringle domain
PF00052	1.01939222514127	Laminin B (Domain IV)
PF00053	1.09632888946051	Laminin EGF domain
PF00054	1.18205398296514	Laminin G domain
PF00055	1.21006649037852	Laminin N-terminal (Domain VI)
PF00056	0.568756537348293	lactate/malate dehydrogenase, NAD binding domain
PF00057	1.23274998614669	Low-density lipoprotein receptor domain class A
PF00058	1.21855070317835	Low-density lipoprotein receptor repeat class B
PF00059	1.6843463946069	Lectin C-type domain
PF00060	1.38028999539595	Ligand-gated ion channel
PF00061	1.66370272157855	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	1.69600131324992	C-type lysozyme/alpha-lactalbumin family
PF00063	0.873555979203566	Myosin head (motor domain)
PF00066	1.03374199548091	LNR domain
PF00067	0.951256438322189	Cytochrome P450
PF00068	1.30922058348315	Phospholipase A2
PF00069	0.60393044240052	Protein kinase domain
PF00070	6.70820393249937	Pyridine nucleotide-disulphide oxidoreductase
PF00071	0.621183281422494	Ras family
PF00072	1.60457504892746	Response regulator receiver domain
PF00074	2.30007797704293	Pancreatic ribonuclease
PF00075	1.90318889323792	RNase H
PF00076	0.509449587521485	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	3.53601696432636	Retroviral aspartyl protease
PF00078	1.64460204741533	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	1.23206372589503	Serpin (serine protease inhibitor)
PF00080	0.795629419959141	Copper/zinc superoxide dismutase (SODC)
PF00081	0.697814861099408	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	1.08071981879518	Subtilase family
PF00083	0.527322288508004	Sugar (and other) transporter
PF00084	1.45949851154274	Sushi repeat (SCR repeat)
PF00085	0.397582392494064	Thioredoxin
PF00086	1.18340457229176	Thyroglobulin type-1 repeat
PF00087	1.87701654084871	Snake toxin and toxin-like protein
PF00088	1.58223357683384	Trefoil (P-type) domain
PF00089	1.25852191378805	Trypsin
PF00090	1.3351972855364	Thrombospondin type 1 domain
PF00091	0.529224297882057	Tubulin/FtsZ family, GTPase domain
PF00092	1.19377465109561	von Willebrand factor type A domain
PF00093	1.33909946756935	von Willebrand factor type C domain
PF00094	1.41814407004116	von Willebrand factor type D domain
PF00095	1.30751836830239	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	1.66201312354003	Zinc finger, C2H2 type
PF00097	0.626572318018883	Zinc finger, C3HC4 type (RING finger)
PF00098	0.813954077201564	Zinc knuckle
PF00100	1.40698727641645	Zona pellucida-like domain
PF00101	2.47716847153431	Ribulose bisphosphate carboxylase, small chain
PF00102	1.03380652734164	Protein-tyrosine phosphatase
PF00103	2.77077429617248	Somatotropin hormone family
PF00104	1.80917677589811	Ligand-binding domain of nuclear hormone receptor
PF00105	1.85696655809652	Zinc finger, C4 type (two domains)
PF00106	0.438814408866775	short chain dehydrogenase
PF00107	0.62416140181168	Zinc-binding dehydrogenase
PF00108	0.372768967383793	Thiolase, N-terminal domain
PF00109	1.29313052915689	Beta-ketoacyl synthase, N-terminal domain
PF00110	1.16297302941468	wnt family
PF00111	0.780119131021576	2Fe-2S iron-sulfur cluster binding domain
PF00112	0.704395826523821	Papain family cysteine protease
PF00113	0.571721350920965	Enolase, C-terminal TIM barrel domain
PF00115	3.93122696553448	Cytochrome C and Quinol oxidase polypeptide I
PF00116	3.78393734332135	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	0.531848997159929	Glutamine amidotransferase class-I
PF00118	0.318409714986414	TCP-1/cpn60 chaperonin family
PF00119	2.32818696531326	ATP synthase A chain
PF00120	0.513855402227471	Glutamine synthetase, catalytic domain
PF00121	0.565819850230438	Triosephosphate isomerase
PF00122	0.462270543984844	E1-E2 ATPase
PF00123	1.69339270392951	Peptide hormone
PF00124	6.70820393249937	Photosynthetic reaction centre protein
PF00125	0.844618495942777	Core histone H2A/H2B/H3/H4
PF00126	5.67590601498202	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	2.49077938975831	Copper binding proteins, plastocyanin/azurin family
PF00128	0.625144335582509	Alpha amylase, catalytic domain
PF00129	1.93771762567957	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	1.0049258877734	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	2.38887344281247	Metallothionein
PF00132	0.610759993933344	Bacterial transferase hexapeptide (six repeats)
PF00133	0.211979711095174	tRNA synthetases class I (I, L, M and V)
PF00134	0.542482320263476	Cyclin, N-terminal domain
PF00135	1.38587111850727	Carboxylesterase family
PF00136	0.22415212983662	DNA polymerase family B
PF00137	0.358213990671098	ATP synthase subunit C
PF00139	2.8531778006397	Legume lectin domain
PF00140	3.78393734332135	Sigma-70 factor, region 1.2
PF00141	2.59733407174369	Peroxidase
PF00142	6.70820393249937	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00143	2.5475280155278	Interferon alpha/beta domain
PF00144	1.34694089108496	Beta-lactamase
PF00145	0.941971248512458	C-5 cytosine-specific DNA methylase
PF00146	3.23773911015921	NADH dehydrogenase
PF00147	1.75709435681923	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148	6.70820393249937	Nitrogenase component 1 type Oxidoreductase
PF00149	0.483592693991651	Calcineurin-like phosphoesterase
PF00150	1.42375719605644	Cellulase (glycosyl hydrolase family 5)
PF00151	1.44328341434066	Lipase
PF00152	0.456948232323076	tRNA synthetases class II (D, K and N)
PF00153	0.254896361748703	Mitochondrial carrier protein
PF00154	1.93425543946854	recA bacterial DNA recombination protein
PF00155	0.383685954392724	Aminotransferase class I and II
PF00156	0.383631065407363	Phosphoribosyl transferase domain
PF00157	1.28791917271797	Pou domain - N-terminal to homeobox domain
PF00158	3.42948445635253	Sigma-54 interaction domain
PF00159	1.67388055181294	Pancreatic hormone peptide
PF00160	0.317445402089066	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	4.07399099132566	Ribosome inactivating protein
PF00162	0.669870147468865	Phosphoglycerate kinase
PF00163	0.442443659741503	Ribosomal protein S4/S9 N-terminal domain
PF00164	0.407177699508793	Ribosomal protein S12/S23
PF00166	1.16786288454783	Chaperonin 10 Kd subunit
PF00167	1.37260911500746	Fibroblast growth factor
PF00168	0.702801990667304	C2 domain
PF00169	0.86398553232946	PH domain
PF00170	0.9949677088204	bZIP transcription factor
PF00171	0.354447180400862	Aldehyde dehydrogenase family
PF00172	3.09104204353602	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173	0.291050435710548	Cytochrome b5-like Heme/Steroid binding domain
PF00174	0.723302530131534	Oxidoreductase molybdopterin binding domain
PF00175	0.301329239503123	Oxidoreductase NAD-binding domain
PF00176	0.276364059211843	SNF2 family N-terminal domain
PF00177	0.307506115824908	Ribosomal protein S7p/S5e
PF00178	1.15842591073782	Ets-domain
PF00179	0.364824293549967	Ubiquitin-conjugating enzyme
PF00180	0.345762061807583	Isocitrate/isopropylmalate dehydrogenase
PF00181	0.442771200435996	Ribosomal Proteins L2, RNA binding domain
PF00182	2.33355058478613	Chitinase class I
PF00183	1.741379750746	Hsp90 protein
PF00184	1.60793486978004	Neurohypophysial hormones, C-terminal Domain
PF00185	0.280291655060841	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	0.501745206004254	Dihydrofolate reductase
PF00187	2.97884429155085	Chitin recognition protein
PF00188	0.845599301161658	Cysteine-rich secretory protein family
PF00189	0.457869987781911	Ribosomal protein S3, C-terminal domain
PF00190	2.8284040853247	Cupin
PF00191	0.809485883070948	Annexin
PF00193	1.60209315369913	Extracellular link domain
PF00194	0.791016610644642	Eukaryotic-type carbonic anhydrase
PF00195	3.40291949818257	Chalcone and stilbene synthases, N-terminal domain
PF00196	4.68920423564984	Bacterial regulatory proteins, luxR family
PF00197	3.6699942958386	Trypsin and protease inhibitor
PF00198	0.375233241561629	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	0.667417161611564	Catalase
PF00200	1.29659555761318	Disintegrin
PF00201	1.62086799247963	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	0.364261158181408	Aminotransferase class-III
PF00203	0.741517778557571	Ribosomal protein S19
PF00204	0.492846555504578	DNA gyrase B
PF00205	0.688364895255103	Thiamine pyrophosphate enzyme, central domain
PF00206	0.275026151899274	Lyase
PF00207	1.40416215748899	Alpha-2-macroglobulin family
PF00208	0.601939189232765	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209	1.25818707757686	Sodium:neurotransmitter symporter family
PF00210	1.10993484022315	Ferritin-like domain
PF00211	0.922095186540548	Adenylate and Guanylate cyclase catalytic domain
PF00212	1.8711616494955	Atrial natriuretic peptide
PF00213	0.489794844704382	ATP synthase delta (OSCP) subunit
PF00214	1.7158582690814	Calcitonin / CGRP / IAPP family
PF00215	0.489794844704382	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	3.78393734332135	Bacterial DNA-binding protein
PF00217	1.13046565927763	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	1.50486224938045	Indole-3-glycerol phosphate synthase
PF00219	1.47470670971741	Insulin-like growth factor binding protein
PF00220	1.777964292328	Neurohypophysial hormones, N-terminal Domain
PF00221	1.52695036958311	Aromatic amino acid lyase
PF00223	3.78393734332135	Photosystem I psaA/psaB protein
PF00224	1.06340186394584	Pyruvate kinase, barrel domain
PF00225	0.485813606197332	Kinesin motor domain
PF00226	0.435528750614683	DnaJ domain
PF00227	0.222791402492583	Proteasome subunit
PF00228	4.22471104230851	Bowman-Birk serine protease inhibitor family
PF00229	1.46987140650539	TNF(Tumour Necrosis Factor) family
PF00230	0.867578610071788	Major intrinsic protein
PF00231	0.42472917354166	ATP synthase
PF00232	1.13805722477977	Glycosyl hydrolase family 1
PF00233	0.83609655488104	3'5'-cyclic nucleotide phosphodiesterase
PF00234	3.09994679120224	Protease inhibitor/seed storage/LTP family
PF00235	0.793406217148025	Profilin
PF00236	1.91880644720049	Glycoprotein hormone
PF00237	0.310360023594828	Ribosomal protein L22p/L17e
PF00238	0.4950044984042	Ribosomal protein L14p/L23e
PF00240	0.605153144744855	Ubiquitin family
PF00241	0.542507808506945	Cofilin/tropomyosin-type actin-binding protein
PF00243	1.60491668810489	Nerve growth factor family
PF00244	0.730256546548082	14-3-3 protein
PF00245	1.20749173287843	Alkaline phosphatase
PF00246	0.752658640028194	Zinc carboxypeptidase
PF00248	0.552592668565345	Aldo/keto reductase family
PF00249	1.62572484235255	Myb-like DNA-binding domain
PF00250	1.07922107468837	Forkhead domain
PF00251	1.76424793183602	Glycosyl hydrolases family 32 N-terminal domain
PF00252	0.808200273266621	Ribosomal protein L16p/L10e
PF00253	0.454142354628413	Ribosomal protein S14p/S29e
PF00254	0.53231828785187	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	0.583695965934487	Glutathione peroxidase
PF00257	3.00942359150685	Dehydrin
PF00258	0.312525557306601	Flavodoxin
PF00260	3.23773911015921	Protamine P1
PF00261	1.2809749297469	Tropomyosin
PF00262	0.567984837966566	Calreticulin family
PF00264	1.11440534631413	Common central domain of tyrosinase
PF00265	0.706176464559973	Thymidine kinase
PF00266	0.424533345696806	Aminotransferase class-V
PF00268	0.611163127519818	Ribonucleotide reductase, small chain
PF00270	0.232035953150845	DEAD/DEAH box helicase
PF00271	0.217718176200525	Helicase conserved C-terminal domain
PF00272	4.71939903724269	Cecropin family
PF00273	2.06027592440644	Serum albumin family
PF00274	0.881803468541858	Fructose-bisphosphate aldolase class-I
PF00275	1.12249721603218	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	0.317188470927452	Ribosomal protein L23
PF00277	2.11770513868057	Serum amyloid A protein
PF00278	0.569168096779368	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280	3.09804811097279	Potato inhibitor I family
PF00281	0.793564855843282	Ribosomal protein L5
PF00282	0.555828619761032	Pyridoxal-dependent decarboxylase conserved domain
PF00283	4.68920423564984	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	3.78393734332135	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285	0.364562368267619	Citrate synthase, C-terminal domain
PF00287	1.17655316231354	Sodium / potassium ATPase beta chain
PF00288	0.388633971284503	GHMP kinases N terminal domain
PF00289	0.382792182502027	Biotin carboxylase, N-terminal domain
PF00290	1.54933882313732	Tryptophan synthase alpha chain
PF00291	0.521180171974488	Pyridoxal-phosphate dependent enzyme
PF00292	1.07851492546207	'Paired box' domain
PF00293	0.326996330009454	NUDIX domain
PF00294	0.660851858357156	pfkB family carbohydrate kinase
PF00295	2.27484743859338	Glycosyl hydrolases family 28
PF00296	3.7356503286791	Luciferase-like monooxygenase
PF00297	0.343994303938304	Ribosomal protein L3
PF00298	0.477973567155761	Ribosomal protein L11, RNA binding domain
PF00300	0.441238043067906	Histidine phosphatase superfamily (branch 1)
PF00301	2.28632297090169	Rubredoxin
PF00303	0.445169099214276	Thymidylate synthase
PF00304	2.90821590251163	Gamma-thionin family
PF00305	1.05771476919612	Lipoxygenase
PF00306	0.610871103155956	ATP synthase alpha/beta chain, C terminal domain
PF00307	0.785387674253764	Calponin homology (CH) domain
PF00308	6.70820393249937	Bacterial dnaA  protein
PF00310	1.200600911543	Glutamine amidotransferases class-II
PF00311	2.3544219781074	Phosphoenolpyruvate carboxylase
PF00312	0.42331299939563	Ribosomal protein S15
PF00313	0.827465960308426	'Cold-shock' DNA-binding domain
PF00314	2.69873109863968	Thaumatin family
PF00316	0.613790066834837	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	0.317188470927452	Ribonucleotide reductase, all-alpha domain
PF00318	0.666665668692661	Ribosomal protein S2
PF00319	2.15088462934847	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	0.7308691519264	GATA zinc finger
PF00321	3.79230457697004	Plant thionin
PF00322	1.80102176486725	Endothelin family
PF00323	4.36145936240226	Mammalian defensin
PF00324	0.793524195988203	Amino acid permease
PF00326	0.390609604607102	Prolyl oligopeptidase family
PF00327	0.575855801805784	Ribosomal protein L30p/L7e
PF00328	0.532486050129773	Histidine phosphatase superfamily (branch 2)
PF00329	0.805840390804159	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	0.318670001649165	Aconitase family (aconitate hydratase)
PF00331	1.88152327949405	Glycosyl hydrolase family 10
PF00332	2.540271044764	Glycosyl hydrolases family 17
PF00333	0.466221147022906	Ribosomal protein S5, N-terminal domain
PF00334	0.59225847201279	Nucleoside diphosphate kinase
PF00335	0.793594953302524	Tetraspanin family
PF00337	1.21389507774174	Galactoside-binding lectin
PF00338	0.457483340063399	Ribosomal protein S10p/S20e
PF00339	0.911034307013154	Arrestin (or S-antigen), N-terminal domain
PF00340	2.00833333877186	Interleukin-1 / 18
PF00341	1.43992309242075	PDGF/VEGF domain
PF00342	0.700093239644755	Phosphoglucose isomerase
PF00343	0.722158968798314	Carbohydrate phosphorylase
PF00344	0.671739912099275	SecY translocase
PF00346	1.08112495523467	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	0.620680252284652	Ribosomal protein L6
PF00348	0.588254824785082	Polyprenyl synthetase
PF00349	0.863175994971741	Hexokinase
PF00350	0.596852961397918	Dynamin family
PF00351	0.894304089764839	Biopterin-dependent aromatic amino acid hydroxylase
PF00352	0.51632036198458	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00353	4.38489141567642	RTX calcium-binding nonapeptide repeat (4 copies)
PF00354	1.95369861100664	Pentaxin family
PF00355	0.624858590048674	Rieske [2Fe-2S] domain
PF00356	6.70820393249937	Bacterial regulatory proteins, lacI family
PF00357	1.7400250770127	Integrin alpha cytoplasmic region
PF00359	1.98036947580653	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00360	2.34568413492422	Phytochrome region
