ann_term	q_val	annotation
PF08911	0.999671551864491	NUP50 (Nucleoporin 50 kDa)
PF01753	0.997503637248535	MYND finger
PF01485	0.997280411110262	IBR domain, a half RING-finger domain
PF16910	0.997057139971343	Repeating coiled region of VPS13
PF02326	0.995853659567638	Plant ATP synthase F0
PF15901	0.995853659567638	Sortilin, neurotensin receptor 3, C-terminal
PF11958	0.994174869413216	Domain of unknown function (DUF3472)
PF16871	0.994174869413216	Domain of unknown function (DUF5077)
PF02036	0.994174869413216	SCP-2 sterol transfer family
PF17170	0.994174869413216	6-bladed beta-propeller
PF00067	0.993542618307124	Cytochrome P450
PF06333	0.993542618307124	Mediator complex subunit 13 C-terminal domain
PF12780	0.993415235243234	P-loop containing dynein motor region D4
PF05719	0.992774501627677	Golgi phosphoprotein 3 (GPP34)
PF03034	0.992774501627677	Phosphatidyl serine synthase
PF05236	0.991409906920069	Transcription initiation factor TFIID component TAF4 family
PF12971	0.991404016556093	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF07498	0.990896356740261	Rho termination factor, N-terminal domain
PF16076	0.990608756759981	Acyltransferase C-terminus
PF00161	0.99053668745715	Ribosome inactivating protein
PF00228	0.99053668745715	Bowman-Birk serine protease inhibitor family
PF02788	0.99053668745715	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF07762	0.99053668745715	Protein of unknown function (DUF1618)
PF12442	0.99053668745715	Protein of unknown function (DUF3681)
PF13016	0.99053668745715	Cys-rich Gliadin N-terminal
PF12832	0.99053668745715	MFS_1 like family
PF18136	0.989847555004384	DNA mitochondrial polymerase exonuclease domain
PF00908	0.987089820439883	dTDP-4-dehydrorhamnose 3,5-epimerase
PF06565	0.987049303562399	DUF1126 PH-like domain
PF12777	0.986993057200529	Microtubule-binding stalk of dynein motor
PF02183	0.986647464431378	Homeobox associated leucine zipper
PF14244	0.986191774264366	gag-polypeptide of LTR copia-type
PF05804	0.986191774264366	Kinesin-associated protein (KAP)
PF10587	0.986191774264366	Eukaryotic elongation factor 1 beta central acidic region
PF12781	0.986191774264366	ATP-binding dynein motor region
PF03017	0.986066074480121	TNP1/EN/SPM transposase
PF06533	0.986066074480121	Protein of unknown function (DUF1110)
PF08224	0.986066074480121	Domain of unknown function (DUF1719)
PF12274	0.986066074480121	Protein of unknown function (DUF3615)
PF14369	0.985587152996884	zinc-ribbon
