Feature	Pfam
0	PF00622
1	PF00632
2	PF08683
3	PF02142
4	PF01808
5	PF01095
6	PF00027
7	PF00027
8	PF00027
9	PF00027
10	PF00520
11	PF07885
12	PF01124
13	PF00050
14	PF03947
15	PF00181
16	PF03092
17	PF00632
18	PF00230
19	PF00069
20	PF01207
21	PF00375
22	PF01925
23	PF07728
24	PF07728
25	PF07728
26	PF07728
27	PF07728
28	PF07728
29	PF07728
30	PF07728
31	PF17865
32	PF17867
33	PF17867
34	PF17867
35	PF03211
36	PF03211
37	PF03211
38	PF03211
39	PF00433
40	PF00069
41	PF00122
42	PF00702
43	PF03083
44	PF16810
45	PF00005
46	PF01061
47	PF02854
48	PF02854
49	PF02847
50	PF02847
51	PF01873
52	PF00324
53	PF00689
54	PF13246
55	PF00122
56	PF00690
57	PF01490
58	PF03732
59	PF03732
60	PF00098
61	PF00176
62	PF00385
63	PF00385
64	PF00271
65	PF12257
66	PF01363
67	PF07690
68	PF00515
69	PF13181
70	PF13181
71	PF13181
72	PF13181
73	PF13181
74	PF04564
75	PF00168
76	PF00249
77	PF09369
78	PF00270
79	PF00271
80	PF13912
81	PF00005
82	PF00664
83	PF06650
84	PF16908
85	PF12624
86	PF00153
87	PF00153
88	PF00153
89	PF00153
90	PF00153
91	PF00153
92	PF16810
93	PF13639
94	PF04615
95	PF06762
96	PF00255
97	PF00230
98	PF00249
99	PF00249
100	PF00249
101	PF02866
102	PF00056
103	PF02319
104	PF02319
105	PF13204
106	PF12904
107	PF16987
108	PF02135
109	PF02135
110	PF08214
111	PF00439
112	PF00569
113	PF06325
114	PF06859
115	PF13185
116	PF00443
117	PF13855
118	PF13855
119	PF13855
120	PF08030
121	PF08022
122	PF01794
123	PF01222
124	PF03188
125	PF03188
126	PF00964
127	PF04587
128	PF10277
129	PF10277
130	PF01778
131	PF04874
132	PF08016
133	PF08016
134	PF02026
135	PF02026
136	PF11051
137	PF11051
138	PF03092
139	PF02902
140	PF03221
141	PF11968
142	PF00076
143	PF00076
144	PF02824
145	PF00587
146	PF07973
147	PF03129
148	PF02824
149	PF00587
150	PF07973
151	PF03129
152	PF13202
153	PF13202
154	PF13499
155	PF11717
156	PF03092
157	PF03092
158	PF03083
159	PF03083
160	PF00903
161	PF13246
162	PF00122
163	PF16209
164	PF16212
165	PF01040
166	PF00484
167	PF05645
168	PF17835
169	PF01926
170	PF03184
171	PF01571
172	PF13456
173	PF00612
174	PF00612
175	PF00612
176	PF00063
177	PF00153
178	PF00153
179	PF13176
180	PF12894
181	PF00483
182	PF02020
183	PF00003
184	PF13424
185	PF00536
186	PF12770
187	PF00249
188	PF02518
189	PF00989
190	PF00989
191	PF00989
192	PF00989
193	PF00989
194	PF00989
195	PF00989
196	PF00989
197	PF00989
198	PF00989
199	PF00989
200	PF00989
201	PF00989
202	PF00989
203	PF00989
204	PF00989
205	PF00989
206	PF00989
207	PF00989
208	PF00989
209	PF00989
210	PF00989
211	PF00989
212	PF00989
213	PF00989
214	PF00989
215	PF00512
216	PF00072
217	PF08448
218	PF13639
219	PF01554
220	PF01554
221	PF00005
222	PF01061
223	PF00929
224	PF00202
225	PF01566
226	PF00076
227	PF00076
228	PF00076
229	PF00076
230	PF00076
231	PF05495
232	PF03732
233	PF01493
234	PF04898
235	PF01645
236	PF00310
237	PF04142
238	PF00520
239	PF00520
240	PF00520
241	PF00520
242	PF16905
243	PF00400
244	PF00400
245	PF00400
246	PF00400
247	PF00400
248	PF00400
249	PF00400
250	PF03092
251	PF03092
252	PF01842
253	PF10369
254	PF05918
255	PF00076
256	PF00620
257	PF04727
258	PF02759
259	PF04137
260	PF12780
261	PF12774
262	PF08385
263	PF17852
264	PF12775
265	PF03028
266	PF12781
267	PF08393
268	PF18198
269	PF12777
270	PF17857
271	PF18199
272	PF12780
273	PF12774
274	PF08385
275	PF17852
276	PF12775
277	PF03028
278	PF12781
279	PF08393
280	PF18198
281	PF12777
282	PF17857
283	PF18199
284	PF03092
285	PF10988
286	PF01554
287	PF01554
288	PF17857
289	PF12777
290	PF12775
291	PF12780
292	PF03028
293	PF12774
294	PF08393
295	PF18199
296	PF18198
297	PF17852
298	PF12781
299	PF02987
300	PF00249
301	PF00249
302	PF01116
303	PF01116
304	PF01363
305	PF03358
306	PF03732
307	PF00005
308	PF00005
309	PF17653
310	PF00664
311	PF00664
312	PF03372
313	PF00069
314	PF00397
315	PF12698
316	PF12698
317	PF00005
318	PF00005
319	PF00005
320	PF00005
321	PF12848
322	PF10282
323	PF00400
324	PF00400
325	PF00400
326	PF00400
327	PF00400
328	PF00400
329	PF00400
330	PF08799
331	PF08514
332	PF13456
333	PF07738
334	PF00083
335	PF13639
336	PF00787
337	PF00083
338	PF00083
339	PF00005
340	PF00005
341	PF12698
342	PF12698
343	PF00005
344	PF00005
345	PF01061
346	PF01061
347	PF13419
348	PF00443
349	PF00090
350	PF00090
351	PF00090
352	PF00090
353	PF00090
354	PF00090
355	PF00090
356	PF00090
357	PF00090
358	PF00090
359	PF00090
360	PF00090
361	PF00090
362	PF00090
363	PF01926
364	PF08438
365	PF13920
366	PF12698
367	PF12698
368	PF00005
369	PF00005
370	PF00270
371	PF07717
372	PF00271
373	PF04408
374	PF01764
375	PF00071
376	PF13246
377	PF16209
378	PF16212
379	PF03669
380	PF00186
381	PF02902
382	PF01545
383	PF00253
384	PF00503
385	PF01757
386	PF13499
387	PF13202
388	PF14560
389	PF01302
390	PF14580
391	PF08288
392	PF08016
393	PF00083
394	PF03822
395	PF00069
396	PF03639
397	PF17652
398	PF14288
399	PF00083
400	PF02364
401	PF03184
402	PF00664
403	PF00664
404	PF00005
405	PF00005
406	PF01709
407	PF13520
408	PF00536
409	PF07714
410	PF00036
411	PF13499
412	PF00536
413	PF07714
414	PF00036
415	PF13499
416	PF01764
417	PF00005
418	PF00005
419	PF12698
420	PF12698
421	PF13520
422	PF12678
423	PF02096
424	PF05630
425	PF00909
426	PF02364
427	PF02364
428	PF03935
429	PF14288
430	PF07967
431	PF08600
432	PF03221
433	PF00106
434	PF03849
435	PF18307
436	PF00069
437	PF00069
438	PF00916
439	PF01740
440	PF13414
441	PF13414
442	PF13414
443	PF13414
444	PF13414
445	PF00515
446	PF13181
447	PF13181
448	PF13844
449	PF13844
450	PF00083
451	PF05024
452	PF00027
453	PF00027
454	PF00027
455	PF00027
456	PF00520
457	PF06454
458	PF00501
459	PF13347
460	PF12998
461	PF00612
462	PF00612
463	PF00612
464	PF00612
465	PF00612
466	PF00153
467	PF00153
468	PF00153
469	PF13520
470	PF13181
471	PF07719
472	PF13456
473	PF13456
474	PF00005
475	PF00005
476	PF00664
477	PF00664
478	PF08030
479	PF08022
480	PF00083
481	PF16683
482	PF12838
483	PF00118
484	PF02902
485	PF00069
486	PF00069
487	PF11834
488	PF00156
489	PF13522
490	PF01416
491	PF00069
492	PF05495
493	PF00642
494	PF00069
495	PF13456
496	PF01545
497	PF00083
498	PF03129
499	PF13393
500	PF00221
501	PF00005
502	PF01061
503	PF07714
504	PF03553
505	PF16212
506	PF13246
507	PF16209
508	PF00122
509	PF00027
510	PF13906
511	PF13520
512	PF01398
513	PF08969
514	PF01026
515	PF03828
516	PF16810
517	PF03184
518	PF03221
519	PF00787
520	PF13639
521	PF00134
522	PF02984
523	PF00069
524	PF12937
525	PF00160
526	PF07714
527	PF00654
528	PF00270
529	PF00271
530	PF08152
531	PF00118
532	PF06664
533	PF06664
534	PF00856
535	PF00083
536	PF14288
537	PF02364
538	PF02364
539	PF00083
540	PF00083
541	PF01061
542	PF01061
543	PF06422
544	PF00005
545	PF00005
546	PF00004
547	PF00999
548	PF07699
549	PF07699
550	PF03092
551	PF01751
552	PF16898
553	PF00179
554	PF00521
555	PF02518
556	PF00204
557	PF00650
558	PF18271
559	PF00230
560	PF17652
561	PF03639
562	PF07690
563	PF01541
564	PF05686
565	PF00027
566	PF00027
567	PF00520
568	PF00520
569	PF07690
570	PF00083
571	PF07690
572	PF00562
573	PF04560
574	PF04566
575	PF04563
576	PF04565
577	PF04567
578	PF04561
579	PF01965
580	PF04434
581	PF14438
582	PF06741
583	PF04627
584	PF00806
585	PF00806
586	PF00806
587	PF00806
588	PF00806
589	PF00632
590	PF00415
591	PF00415
592	PF01553
593	PF00782
594	PF13432
595	PF13432
596	PF00581
597	PF13621
598	PF05653
599	PF05653
600	PF00332
601	PF00652
602	PF05351
603	PF01504
604	PF00857
605	PF02225
606	PF00179
607	PF00254
608	PF13499
609	PF13499
610	PF00397
611	PF00815
612	PF00227
613	PF14295
614	PF14295
615	PF14295
616	PF14295
617	PF10181
618	PF01734
619	PF00840
620	PF13967
621	PF14703
622	PF14703
623	PF02714
624	PF13240
625	PF10152
626	PF10152
627	PF10152
628	PF02181
629	PF01363
630	PF00168
631	PF01457
632	PF01457
633	PF03732
634	PF00266
635	PF13456
636	PF00089
637	PF13513
638	PF03810
639	PF13085
640	PF13534
641	PF01554
642	PF01554
643	PF00069
644	PF00076
645	PF00106
646	PF00106
647	PF02933
648	PF02359
649	PF00083
650	PF10493
651	PF03901
652	PF00155
653	PF00800
654	PF01363
655	PF00654
656	PF12832
657	PF08393
658	PF17857
659	PF12777
660	PF08385
661	PF12775
662	PF12781
663	PF18198
664	PF03028
665	PF18199
666	PF17852
667	PF12780
668	PF12774
669	PF02574
670	PF08321
671	PF13499
672	PF00149
673	PF00232
674	PF01756
675	PF14749
676	PF00230
677	PF00415
678	PF00415
679	PF00415
680	PF00415
681	PF00415
682	PF00755
683	PF00149
684	PF00885
685	PF08288
686	PF00106
687	PF01648
688	PF02801
689	PF17951
690	PF18325
691	PF18325
692	PF16073
693	PF08354
694	PF00698
695	PF00109
696	PF01575
697	PF18314
698	PF01490
699	PF02676
700	PF13418
701	PF02475
702	PF11397
703	PF14295
704	PF14295
705	PF14295
706	PF05199
707	PF00732
708	PF00400
709	PF00400
710	PF00400
711	PF00400
712	PF00400
713	PF00400
714	PF00400
