ann_term	CC	annotation
PF07303	0.884365732865825	Occludin homology domain
PF05986	0.875746887059396	ADAM-TS Spacer 1
PF06009	0.874924405438984	Laminin Domain II
PF11414	0.873548624283366	Adenomatous polyposis coli tumour suppressor protein
PF08686	0.871008208820989	PLAC (protease and lacunin) domain
PF01034	0.868718247626208	Syndecan domain
PF07686	0.867541033875081	Immunoglobulin V-set domain
PF06512	0.866224875657042	Sodium ion transport-associated
PF07474	0.864062975263047	G2F domain
PF06008	0.863470701866605	Laminin Domain I
PF05902	0.863411289452491	4.1 protein C-terminal domain (CTD)
PF02351	0.862993344639256	GDNF/GAS1 domain
PF16423	0.862425187963757	Transcription factor COE1 helix-loop-helix domain
PF14160	0.861014276594053	Centrosome-associated C terminus
PF01530	0.860106671161086	Zinc finger, C2HC type
PF07546	0.859645993658166	EMI domain
PF16184	0.859194909696162	Cadherin-like
PF14575	0.857468721366265	Ephrin type-A receptor 2 transmembrane domain
PF00880	0.857447344870647	Nebulin repeat
PF12052	0.856749612277916	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF00777	0.856249218809485	Glycosyltransferase family 29 (sialyltransferase)
PF11879	0.855622532043557	Domain of unknown function (DUF3399)
PF01049	0.854990488067518	Cadherin cytoplasmic region
PF03520	0.854906919170188	KCNQ voltage-gated potassium channel
PF00061	0.85369037728546	Lipocalin / cytosolic fatty-acid binding protein family
PF10534	0.853618815998124	Connector enhancer of kinase suppressor of ras
PF06461	0.853237993661395	Domain of Unknown Function (DUF1086)
PF05210	0.853056726018098	Sprouty protein (Spry)
PF01463	0.852556008553967	Leucine rich repeat C-terminal domain
PF16493	0.850671281461131	N-terminal of Homeobox Meis and PKNOX1
PF06345	0.849848707173365	DRF Autoregulatory Domain
PF13912	0.848487581566063	C2H2-type zinc finger
PF02191	0.848060468137167	Olfactomedin-like domain
PF00079	0.847995947113354	Serpin (serine protease inhibitor)
PF08430	0.847310525840636	Forkhead N-terminal region
PF02078	0.845854416322071	Synapsin, N-terminal domain
PF10524	0.84472352154414	Nuclear factor I protein pre-N-terminus
PF16885	0.844414796721963	Voltage-gated calcium channel subunit alpha, C-term
PF10177	0.841441454273274	Uncharacterised conserved protein (DUF2371)
PF01275	0.840308416553462	Myelin proteolipid protein (PLP or lipophilin)
PF00093	0.840171068384232	von Willebrand factor type C domain
PF08736	0.840031990240152	FERM adjacent (FA)
PF10541	0.839878190737961	Nuclear envelope localisation domain
PF07525	0.839823373024033	SOCS box
PF00229	0.839807487542103	TNF(Tumour Necrosis Factor) family
PF09316	0.839204197658975	C-myb, C-terminal
PF13909	0.839091874668734	C2H2-type zinc-finger domain
PF00157	0.838432591583238	Pou domain - N-terminal to homeobox domain
PF01403	0.83787627900692	Sema domain
PF02793	0.837598122718761	Hormone receptor domain
PF05672	0.837561085633761	MAP7 (E-MAP-115) family
PF06467	0.837169170328105	MYM-type Zinc finger with FCS sequence motif
PF01835	0.836934788319508	MG2 domain
PF00418	0.836793174988151	Tau and MAP protein, tubulin-binding repeat
PF00007	0.835835836094906	Cystine-knot domain
PF02750	0.835801881668653	Synapsin, ATP binding domain
PF18039	0.835235428343225	UBA-like domain
PF11601	0.835156003865205	Shal-type voltage-gated potassium channels, N-terminal
