ID	CC	annotation
PF05482	0.999867020096921	Serendipity locus alpha protein (SRY-A)
PF01120	0.999814087368038	Alpha-L-fucosidase
PF03103	0.999807545373677	Domain of unknown function (DUF243)
PF08454	0.998358572734515	RyR and IP3R Homology associated
PF03392	0.998358572734515	Insect pheromone-binding family, A10/OS-D
PF07086	0.997573689076923	Jagunal, ER re-organisation during oogenesis
PF16086	0.997185094071007	Domain of unknown function (DUF4816)
PF15932	0.997157062346031	Domain of unknown function (DUF4748)
PF00239	0.997157062346031	Resolvase, N terminal domain
PF00353	0.997157062346031	Haemolysin-type calcium-binding repeat (2 copies)
PF00395	0.997157062346031	S-layer homology domain
PF00807	0.997157062346031	Apidaecin
PF01010	0.997157062346031	NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus
PF01372	0.997157062346031	Melittin
PF01890	0.997157062346031	Cobalamin synthesis G C-terminus
PF02576	0.997157062346031	RimP N-terminal domain
PF02601	0.997157062346031	Exonuclease VII, large subunit
PF03078	0.997157062346031	ATHILA ORF-1 family
PF03384	0.997157062346031	Drosophila protein of unknown function, DUF287
PF03524	0.997157062346031	Conjugal transfer protein
PF03716	0.997157062346031	WCCH motif
PF03754	0.997157062346031	Domain of unknown function (DUF313)
PF04510	0.997157062346031	Family of unknown function (DUF577)
PF04554	0.997157062346031	Extensin-like region
PF04642	0.997157062346031	Protein of unknown function, DUF601
PF04776	0.997157062346031	Protein MS5
PF04984	0.997157062346031	Phage tail sheath protein subtilisin-like domain
PF05278	0.997157062346031	Arabidopsis phospholipase-like protein (PEARLI 4)
PF05659	0.997157062346031	Arabidopsis broad-spectrum mildew resistance protein RPW8
PF05695	0.997157062346031	Plant protein of unknown function (DUF825)
PF05758	0.997157062346031	Ycf1
PF05919	0.997157062346031	Mitovirus RNA-dependent RNA polymerase
PF06176	0.997157062346031	Lipopolysaccharide core biosynthesis protein (WaaY)
PF06449	0.997157062346031	Mitochondrial domain of unknown function (DUF1082)
PF06521	0.997157062346031	PAR1 protein
PF06545	0.997157062346031	Protein of unknown function (DUF1116)
PF06651	0.997157062346031	Protein of unknown function (DUF1163)
PF06683	0.997157062346031	Protein of unknown function (DUF1184)
PF06721	0.997157062346031	Protein of unknown function (DUF1204)
PF06746	0.997157062346031	Protein of unknown function (DUF1216)
PF06826	0.997157062346031	Predicted Permease Membrane Region
PF06876	0.997157062346031	Plant self-incompatibility response (SCRL) protein
PF07072	0.997157062346031	Cell division protein
PF07127	0.997157062346031	Late nodulin protein
PF07224	0.997157062346031	Chlorophyllase
PF07265	0.997157062346031	Tapetum specific protein TAP35/TAP44
PF07279	0.997157062346031	Protein of unknown function (DUF1442)
PF07564	0.997157062346031	Domain of Unknown Function (DUF1542)
PF07725	0.997157062346031	Leucine Rich Repeat
PF07750	0.997157062346031	GcrA cell cycle regulator
PF07918	0.997157062346031	CAP160 repeat
PF08026	0.997157062346031	Bee antimicrobial peptide
PF08257	0.997157062346031	Sulfakinin family
PF08744	0.997157062346031	Plant transcription factor NOZZLE
PF09331	0.997157062346031	Domain of unknown function (DUF1985)
PF09519	0.997157062346031	HindVP restriction endonuclease
PF10950	0.997157062346031	Organ specific protein
PF11671	0.997157062346031	Complementary sex determiner protein
PF11690	0.997157062346031	Protein of unknown function (DUF3287)
PF11943	0.997157062346031	Protein of unknown function (DUF3460)
PF12278	0.997157062346031	Sex determination protein N terminal
PF12398	0.997157062346031	Receptor serine/threonine kinase
PF13187	0.997157062346031	4Fe-4S dicluster domain
PF13396	0.997157062346031	Phospholipase_D-nuclease N-terminal
PF13406	0.997157062346031	Transglycosylase SLT domain
PF13411	0.997157062346031	MerR HTH family regulatory protein
PF13412	0.997157062346031	Winged helix-turn-helix DNA-binding
PF13441	0.997157062346031	YMGG-like Gly-zipper
PF13756	0.997157062346031	Stimulus-sensing domain
PF14576	0.997157062346031	Sieve element occlusion N-terminus
PF14577	0.997157062346031	Sieve element occlusion C-terminus
PF16269	0.997157062346031	Domain of unknown function (DUF4922)
PF16327	0.997157062346031	Cytochrome c-type biogenesis protein CcmF C-terminal
PF17232	0.997157062346031	Family of unknown function (DUF5306)
PF17454	0.997157062346031	Honey bee toxin
PF17521	0.997157062346031	Honey bee peptides
PF15489	0.997157062346031	CST, telomere maintenance, complex subunit CTC1
PF15868	0.997157062346031	Transcription activator MBF2
PF16009	0.997157062346031	Domain of unknown function (DUF4779)
PF06757	0.997157062346031	Insect allergen related repeat, nitrile-specifier detoxification
PF08372	0.997157062346031	Plant phosphoribosyltransferase C-terminal
PF16116	0.997157062346031	Domain of unknown function (DUF4832)
