ann_term	CC	annotation
PF07303	0.883935149701416	Occludin homology domain
PF11414	0.879085064385092	Adenomatous polyposis coli tumour suppressor protein
PF05986	0.877447361690449	ADAM-TS Spacer 1
PF06009	0.877401509412698	Laminin Domain II
PF08686	0.874053458098438	PLAC (protease and lacunin) domain
PF06512	0.872674439348185	Sodium ion transport-associated
PF01034	0.870456393224962	Syndecan domain
PF07686	0.869601626926256	Immunoglobulin V-set domain
PF07474	0.868512339158459	G2F domain
PF06008	0.866940886077711	Laminin Domain I
PF00880	0.866559572945363	Nebulin repeat
PF02351	0.866459654476655	GDNF/GAS1 domain
PF14160	0.86576654384159	Centrosome-associated C terminus
PF05902	0.865481940208151	4.1 protein C-terminal domain (CTD)
PF16423	0.864621535789001	Transcription factor COE1 helix-loop-helix domain
PF01530	0.863325039114902	Zinc finger, C2HC type
PF07546	0.86231685686005	EMI domain
PF14575	0.86086173814329	Ephrin type-A receptor 2 transmembrane domain
PF01049	0.86000424043462	Cadherin cytoplasmic region
PF00061	0.859731810917006	Lipocalin / cytosolic fatty-acid binding protein family
PF11879	0.859332137042175	Domain of unknown function (DUF3399)
PF12052	0.857804929534035	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF03520	0.857333767668022	KCNQ voltage-gated potassium channel
PF05210	0.857333534141765	Sprouty protein (Spry)
PF16184	0.856590783442302	Cadherin-like
PF00777	0.855610066596778	Glycosyltransferase family 29 (sialyltransferase)
PF01463	0.854870679675419	Leucine rich repeat C-terminal domain
PF06345	0.854713911031038	DRF Autoregulatory Domain
PF06461	0.853305994459321	Domain of Unknown Function (DUF1086)
PF10534	0.853270416607243	Connector enhancer of kinase suppressor of ras
PF08430	0.852382816510999	Forkhead N-terminal region
PF13912	0.851696588195062	C2H2-type zinc finger
PF02078	0.850639230264608	Synapsin, N-terminal domain
PF10524	0.849582345206159	Nuclear factor I protein pre-N-terminus
PF16493	0.849318499757337	N-terminal of Homeobox Meis and PKNOX1
PF00229	0.849007228609049	TNF(Tumour Necrosis Factor) family
PF00079	0.847944999940423	Serpin (serine protease inhibitor)
PF02191	0.84743423090409	Olfactomedin-like domain
PF16885	0.84732246283898	Voltage-gated calcium channel subunit alpha, C-term
PF07525	0.847260072196171	SOCS box
PF06467	0.846924568411687	MYM-type Zinc finger with FCS sequence motif
PF00007	0.845510082204281	Cystine-knot domain
PF00157	0.844924950270045	Pou domain - N-terminal to homeobox domain
PF00093	0.844600627780305	von Willebrand factor type C domain
PF10541	0.844538516351573	Nuclear envelope localisation domain
PF08736	0.84382225380493	FERM adjacent (FA)
PF14061	0.843536313921895	Polycomb-like MTF2 factor 2
PF09316	0.843454041355287	C-myb, C-terminal
PF10177	0.843044809565095	Uncharacterised conserved protein (DUF2371)
PF13909	0.842079548111984	C2H2-type zinc-finger domain
PF01403	0.841357402882907	Sema domain
PF02793	0.841033080393167	Hormone receptor domain
PF05672	0.839959246826662	MAP7 (E-MAP-115) family
PF18039	0.839688140875342	UBA-like domain
PF00045	0.839199404715008	Hemopexin
PF04089	0.839023332121238	BRICHOS domain
PF01275	0.838948769425811	Myelin proteolipid protein (PLP or lipophilin)
PF00019	0.838762822964989	Transforming growth factor beta like domain
PF09727	0.838545060649851	Cortactin-binding protein-2
PF16564	0.838480356590539	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF18561	0.838065882860143	Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain
PF15705	0.837927461732745	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF02750	0.837709300009178	Synapsin, ATP binding domain
PF00055	0.837076346018342	Laminin N-terminal (Domain VI)
PF12235	0.83687580194728	Fragile X-related 1 protein core C terminal
PF08687	0.836861505677458	Apx/Shroom domain ASD2
PF00927	0.836592136881875	Transglutaminase family, C-terminal ig like domain
PF11601	0.836350889239412	Shal-type voltage-gated potassium channels, N-terminal
PF00418	0.836324111402864	Tau and MAP protein, tubulin-binding repeat
PF14051	0.835472680702016	N-terminal domain of DPF2/REQ.
PF01835	0.835202768245371	MG2 domain
PF18100	0.833445865887933	Phosphodiesterase 4 upstream conserved regions (UCR)
PF02377	0.832349578351443	Dishevelled specific domain
PF09596	0.832056013769405	MamL-1 domain
PF16519	0.83189794562941	Tetramerisation domain of TRPM
PF17960	0.831113163788634	TIG domain
PF10515	0.830915279702017	Beta-amyloid precursor protein C-terminus
PF18020	0.830849354215339	TIG domain found in plexin
PF09738	0.830822067304254	LRRFIP family
PF03826	0.830812592578218	OAR domain
PF02188	0.830200709235859	GoLoco motif
PF00049	0.829925859268936	Insulin/IGF/Relaxin family
PF15706	0.82991456616236	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF00683	0.829776408252228	TB domain
PF00038	0.829192488453922	Intermediate filament protein
PF09457	0.82857909678716	FIP domain
PF00167	0.828449367791264	Fibroblast growth factor
PF17902	0.828346138291207	SH3 domain
PF00046	0.827558687135692	Homeodomain
PF12605	0.82743602423216	Casein kinase 1 gamma C terminal
PF00688	0.827071206392026	TGF-beta propeptide
PF00554	0.827025165493362	Rel homology DNA-binding domain
PF01586	0.82661206298399	Myogenic Basic domain
PF01839	0.826563654299652	FG-GAP repeat
PF01390	0.826384704600159	SEA domain
PF15949	0.826078761483167	Domain of unknown function (DUF4757)
PF00868	0.825892756181342	Transglutaminase family
PF01448	0.825678323813444	ELM2 domain
PF08416	0.824946684902075	Phosphotyrosine-binding domain
PF16474	0.824914080750419	Kinase non-catalytic C-lobe domain
PF03250	0.824684795401251	Tropomodulin
PF12496	0.824675518529174	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
PF00341	0.8246489502925	PDGF/VEGF domain
PF12004	0.82450511694257	Domain of unknown function (DUF3498)
PF11461	0.824201172285057	Rab interacting lysosomal protein
PF14709	0.824065982270889	double strand RNA binding domain from DEAD END PROTEIN 1
PF12240	0.823775818459186	Angiomotin C terminal
PF14161	0.823703235894451	Centrosome-associated N terminus
PF11933	0.82340482528488	Cytoplasmic domain of voltage-gated Na+ ion channel
PF00047	0.823065614461584	Immunoglobulin domain
PF08412	0.822989012704934	Ion transport protein N-terminal
PF12075	0.822977193591665	KN motif
PF16000	0.822730354835501	CARMIL C-terminus
PF17904	0.821911537522602	FMRP KH0 domain
PF08337	0.821703460004677	Plexin cytoplasmic RasGAP domain
PF18336	0.821574826528123	Fragile X mental retardation Tudor domain
PF13922	0.820910307074461	PHD domain of transcriptional enhancer, Asx
PF17217	0.820415478864071	UPA domain
PF16526	0.818679111975606	C-terminal leucine zipper domain of cyclic nucleotide-gated channels
PF14875	0.818544427577814	N-term cysteine-rich ER, FAM69
PF01759	0.818473588712931	UNC-6/NTR/C345C module
PF00094	0.818265641613436	von Willebrand factor type D domain
PF07965	0.818212064220791	Integrin beta tail domain
PF05640	0.818006183621644	Na,K-Atpase Interacting protein
PF13914	0.817845199950328	Phostensin PP1-binding and SH3-binding region
PF05283	0.817352261480144	Multi-glycosylated core protein 24 (MGC-24), sialomucin
PF12130	0.816708893662685	Bivalent Mical/EHBP Rab binding domain
PF00337	0.816385915698716	Galactoside-binding lectin
PF08826	0.816277630397968	DMPK coiled coil domain like
PF00357	0.815562163628512	Integrin alpha cytoplasmic region
PF17771	0.815541332699622	ADAM cysteine-rich domain
PF17789	0.815492052976147	Macroglobulin domain MG4
PF07545	0.81540798559851	Vestigial/Tondu family
PF02208	0.815356240949933	Sorbin homologous domain
PF01630	0.815312002030818	Hyaluronidase
PF17791	0.815204532561184	Macroglobulin domain MG3
PF11936	0.814709647522848	Domain of unknown function (DUF3454)
PF02828	0.814503500732454	L27 domain
PF07684	0.814302213811253	NOTCH protein
PF09289	0.813925656085287	Follistatin/Osteonectin-like EGF domain
PF02173	0.813831286890807	pKID domain
PF08073	0.813569478374063	CHDNT (NUC034) domain
PF01186	0.813369641436648	Lysyl oxidase
PF06818	0.813355480494334	Fez1
PF13895	0.813271075271443	Immunoglobulin domain
PF11971	0.812969967561817	CAMSAP CH domain
PF12260	0.81275215928786	Protein-kinase domain of FAM69
PF12548	0.81247729492448	Sulfatase protein
PF08075	0.812298107802224	NOPS (NUC059) domain
PF15733	0.812230353665476	Domain of unknown function (DUF4682)
PF11577	0.812215129312429	NF-kappa-B essential modulator NEMO
PF08788	0.812092195755345	NHR2 domain like
PF00028	0.811525844370024	Cadherin domain
PF15898	0.811324755127	cGMP-dependent protein kinase interacting domain
PF02376	0.811192832402589	CUT domain
PF00473	0.810710956806897	Corticotropin-releasing factor family
PF12336	0.810654417963006	SOX transcription factor
PF15636	0.810261337113637	GHH signature containing HNH/Endo VII superfamily nuclease toxin
PF12114	0.809863154999748	Period protein 2/3C-terminal region
PF14722	0.809578067204271	Ki-ras-induced actin-interacting protein-IP3R-interacting domain
PF10226	0.80957379888841	CCDC85 family
PF06021	0.809288540031696	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF01108	0.808809054832239	Tissue factor
PF12714	0.808809054832239	TILa domain
PF16034	0.808580259920104	JAKMIP CC3 domain
PF00992	0.808375755544556	Troponin
PF14447	0.80791271176698	Prokaryotic RING finger family 4
PF08347	0.807796268482543	N-terminal CTNNB1 binding
PF00836	0.807640982564075	Stathmin family
PF15936	0.80736562256112	Domain of unknown function (DUF4749)
PF08742	0.806908247126885	C8 domain
PF08441	0.806784625476648	Integrin alpha
PF01166	0.806441960939583	TSC-22/dip/bun family
PF15494	0.806370829505161	Scavenger receptor cysteine-rich domain
PF18394	0.806033584954686	TANK-binding kinase 1 coiled-coil domain 1
PF01421	0.805941387003325	Reprolysin (M12B) family zinc metalloprotease
PF06816	0.805709225502394	NOTCH protein
PF15045	0.805676561645136	Clathrin-binding box of Aftiphilin, vesicle trafficking
PF07531	0.805487335517689	NHR1 homology to TAF
PF08344	0.805388232528509	Transient receptor ion channel II
PF06465	0.805383677788884	Domain of Unknown Function (DUF1087)
PF08947	0.805373022220994	BPS (Between PH and SH2)
PF05110	0.805058425717482	AF-4 proto-oncoprotein
