ann_term	q_val	annotation
PF15282	0.000428955545111897	BMP-2-inducible protein kinase C-terminus
PF00859	0.00567753444581899	CTF/NF-I family transcription modulation region
PF12016	0.00567753444581899	Stonin 2
PF13908	0.00736681621011333	Wnt and FGF inhibitory regulator
PF11414	0.00736681621011333	Adenomatous polyposis coli tumour suppressor protein
PF08504	0.0121682619895128	Runx inhibition domain
PF08383	0.0221736064015094	Maf N-terminal region
PF14946	0.0252354391240369	Domain of unknown function (DUF4501)
PF17695	0.0354200772568767	Family of unknown function (DUF5541)
PF06008	0.0354200772568767	Laminin Domain I
PF15298	0.0420719961924809	AJAP1/PANP C-terminus
PF16665	0.0420719961924809	Unstructured region on nuclear receptor coactivator protein
PF05760	0.0420719961924809	Immediate early response protein (IER)
PF14161	0.0420719961924809	Centrosome-associated N terminus
PF00123	0.0504914585049328	Peptide hormone
PF00045	0.0523064784567925	Hemopexin
PF13916	0.0523064784567925	PP1-regulatory protein, Phostensin N-terminal
PF09047	0.0534005492070033	MEF2 binding
PF12185	0.0534005492070033	Nup358/RanBP2 E3 ligase domain
PF14919	0.0534005492070033	MDM2-binding
PF18440	0.0534005492070033	Putative GlcNAc-1 phosphotransferase regulatory domain
PF14160	0.0562057273587353	Centrosome-associated C terminus
PF07525	0.0634389746373825	SOCS box
PF15706	0.0644009966592485	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF18411	0.0644009966592485	Annexin-like domain
PF18696	0.0644009966592485	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF12284	0.0702888946091529	Hox protein A13 N terminal
PF14981	0.0702888946091529	FAM165 family
PF01463	0.0767655776642988	Leucine rich repeat C-terminal domain
PF01271	0.0767655776642988	Granin (chromogranin or secretogranin)
PF08832	0.0775153789880211	Steroid receptor coactivator
PF03826	0.0782205089359326	OAR domain
PF06512	0.0782545261409051	Sodium ion transport-associated
PF11628	0.0807420031202506	T-cell surface glycoprotein CD3 zeta chain
PF15342	0.0807420031202506	FAM212 family
PF18162	0.0872112128266768	Arc C-lobe
PF00969	0.0941606296613851	Class II histocompatibility antigen, beta domain
PF16218	0.0941606296613851	Peptidase family C101
PF03700	0.095578184969834	Sorting nexin, N-terminal domain
PF06009	0.095578184969834	Laminin Domain II
PF00193	0.095578184969834	Extracellular link domain
PF18606	0.095578184969834	Zap  helix turn helix N-terminal domain
PF16920	0.095578184969834	Tyrosine-protein kinase receptor C2 Ig-like domain
PF02038	0.095578184969834	ATP1G1/PLM/MAT8 family
PF05604	0.095578184969834	Protein of unknown function (DUF776)
