Feature	GO
locus_tag:AgaP_AGAP006416|protein_id:XP_316450.1	GO:0004252; GO:0006508
locus_tag:AgaP_AGAP012018|protein_id:XP_320513.1	GO:0016021
locus_tag:AgaP_AGAP006387|protein_id:XP_316421.3	GO:0006269; GO:0003896; GO:0016779
locus_tag:AgaP_AGAP003884|protein_id:XP_003436647.1	GO:0003824; GO:0005509; GO:0016020; GO:0004571
locus_tag:AgaP_AGAP002433|protein_id:XP_312512.5	GO:0005634; GO:0003676; GO:0008270
locus_tag:AgaP_AGAP008152|protein_id:XP_317311.2	GO:0005515
locus_tag:AgaP_AGAP005265|protein_id:XP_314185.3	GO:0005634; GO:0003677; GO:0006334; GO:0000786
locus_tag:AgaP_AGAP007028|protein_id:XP_308744.4	GO:0016758
locus_tag:AgaP_AGAP011905|protein_id:XP_320623.4	GO:0016798
locus_tag:AgaP_AGAP003578|protein_id:XP_313331.4	GO:0016620; GO:0016491; GO:0055114
locus_tag:AgaP_AGAP008858|protein_id:XP_319601.4	GO:0005515
locus_tag:AgaP_AGAP007805|protein_id:XP_317699.4	GO:0006468; GO:0005524; GO:0004672
locus_tag:AgaP_AGAP011840|protein_id:XP_320677.3	GO:0004674; GO:0005524; GO:0004672; GO:0006468
gene:CPR70|protein_id:XP_316348.4	GO:0042302
locus_tag:AgaP_AGAP005506|protein_id:XP_315505.3	GO:0003676
locus_tag:AgaP_AGAP002210|protein_id:XP_565608.3	GO:0005506; GO:0055114; GO:0020037; GO:0016705
locus_tag:AgaP_AGAP013035|protein_id:XP_003436418.1	GO:0003676; GO:0005524
locus_tag:AgaP_AGAP011697|protein_id:XP_001238384.1	GO:0005515
locus_tag:AgaP_AGAP007390|protein_id:XP_308442.4	GO:0006516; GO:0005737
locus_tag:AgaP_AGAP000720|protein_id:XP_003437079.1	GO:0005515
locus_tag:AgaP_AGAP005932|protein_id:XP_556602.2	GO:0003676
locus_tag:AgaP_AGAP006348|protein_id:XP_316370.4	GO:0005515
locus_tag:AgaP_AGAP004247|protein_id:XP_003436755.1	GO:0004602; GO:0055114; GO:0006979
locus_tag:AgaP_AGAP003277|protein_id:XP_003436430.1	GO:0006508; GO:0004190
locus_tag:AgaP_AGAP008631|protein_id:XP_314727.4	GO:0008654; GO:0016020; GO:0016780
