ann_term	generic	annotation
PF00002	28.9767606368419	7 transmembrane receptor (Secretin family)
PF00003	52.9114290458262	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	22.4178586504918	ATPase family associated with various cellular activities (AAA)
PF00005	57.0878676925418	ABC transporter
PF00006	1.53792632830846	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	5.72312032725097	Cystine-knot domain
PF00008	214.850817808645	EGF-like domain
PF00009	4.84269458269423	Elongation factor Tu GTP binding domain
PF00010	49.1547295752253	Helix-loop-helix DNA-binding domain
PF00011	11.6341160818014	Hsp20/alpha crystallin family
PF00012	6.25176303636038	Hsp70 protein
PF00013	33.0470094095952	KH domain
PF00014	30.4819896138893	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	0.748589656240288	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	0.976041497494301	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	49.2465354724436	SH2 domain
PF00018	51.6265342030281	SH3 domain
PF00019	17.4975636675372	Transforming growth factor beta like domain
PF00020	17.4007051886641	TNFR/NGFR cysteine-rich region
PF00021	14.0469365030519	u-PAR/Ly-6 domain
PF00022	10.4887333158036	Actin
PF00023	25.4804367506688	Ankyrin repeat
PF00024	15.5022360861747	PAN domain
PF00025	10.6965387873361	ADP-ribosylation factor family
PF00026	7.32265362001012	Eukaryotic aspartyl protease
PF00027	33.1588185310757	Cyclic nucleotide-binding domain
PF00028	316.874638800545	Cadherin domain
PF00029	14.1915127388318	Connexin
PF00030	36.4354236508697	Beta/Gamma crystallin
PF00031	9.48428652146571	Cystatin domain
PF00032	0.36315844747302	Cytochrome b(C-terminal)/b6/petD
PF00033	0.48553969175602	Cytochrome b/b6/petB
PF00034	1.2276996280897	Cytochrome c
PF00035	12.7372746006046	Double-stranded RNA binding motif
PF00036	6.03023781586946	EF hand
PF00037	0.832898437243872	4Fe-4S binding domain
PF00038	31.4102970900471	Intermediate filament protein
PF00039	7.62062418988617	Fibronectin type I domain
PF00040	12.0108646468611	Fibronectin type II domain
PF00041	278.976556942822	Fibronectin type III domain
PF00042	7.71061756206374	Globin
PF00043	11.8714531952151	Glutathione S-transferase, C-terminal domain
PF00044	2.56518873315688	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	36.0566918082426	Hemopexin
PF00046	97.4675370210352	Homeodomain
PF00047	26.6391524723375	Immunoglobulin domain
PF00048	17.2788580987885	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	3.97771570404701	Insulin/IGF/Relaxin family
PF00050	13.2375545415891	Kazal-type serine protease inhibitor domain
PF00051	38.7124229520868	Kringle domain
PF00052	5.25117884165576	Laminin B (Domain IV)
PF00053	101.382634841195	Laminin EGF domain
PF00054	10.3687564881769	Laminin G domain
