ID	CC	annotation
PF00002	1082	7 transmembrane receptor (Secretin family)
PF00003	1164	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	2329	ATPase family associated with various cellular activities (AAA)
PF00005	4155	ABC transporter
PF00006	227	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	160	Cystine-knot domain
PF00008	6229	EGF-like domain
PF00009	816	Elongation factor Tu GTP binding domain
PF00010	2156	Helix-loop-helix DNA-binding domain
PF00011	350	Hsp20/alpha crystallin family
PF00012	611	Hsp70 protein
PF00013	2054	KH domain
PF00014	850	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	5	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	11	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	1855	SH2 domain
PF00018	2085	SH3 domain
PF00019	564	Transforming growth factor beta like domain
PF00020	509	TNFR/NGFR cysteine-rich region
PF00021	298	u-PAR/Ly-6 domain
PF00022	876	Actin
PF00023	1333	Ankyrin repeat
PF00024	455	PAN domain
PF00025	850	ADP-ribosylation factor family
PF00026	381	Eukaryotic aspartyl protease
PF00027	1575	Cyclic nucleotide-binding domain
PF00028	10029	Cadherin domain
PF00029	353	Connexin
PF00030	821	Beta/Gamma crystallin
PF00031	289	Cystatin domain
PF00032	35	Cytochrome b(C-terminal)/b6/petD
PF00033	46	Cytochrome b/b6/petB
PF00034	75	Cytochrome c
PF00035	622	Double-stranded RNA binding motif
PF00036	334	EF hand
PF00037	45	4Fe-4S binding domain
PF00038	869	Intermediate filament protein
PF00039	199	Fibronectin type I domain
PF00040	303	Fibronectin type II domain
PF00041	8981	Fibronectin type III domain
PF00042	319	Globin
PF00043	405	Glutathione S-transferase, C-terminal domain
PF00044	126	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	1078	Hemopexin
PF00046	4086	Homeobox domain
PF00047	775	Immunoglobulin domain
PF00048	420	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	128	Insulin/IGF/Relaxin family
PF00050	483	Kazal-type serine protease inhibitor domain
PF00051	713	Kringle domain
PF00052	200	Laminin B (Domain IV)
PF00053	3680	Laminin EGF domain
PF00054	362	Laminin G domain
PF00055	272	Laminin N-terminal (Domain VI)
PF00056	199	lactate/malate dehydrogenase, NAD binding domain
PF00057	4445	Low-density lipoprotein receptor domain class A
PF00058	1703	Low-density lipoprotein receptor repeat class B
PF00059	3295	Lectin C-type domain
PF00060	641	Ligand-gated ion channel
PF00061	451	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	117	C-type lysozyme/alpha-lactalbumin family
PF00063	1155	Myosin head (motor domain)
PF00066	257	LNR domain
PF00067	3104	Cytochrome P450
PF00068	146	Phospholipase A2
PF00069	13259	Protein kinase domain
PF00070	2	Pyridine nucleotide-disulphide oxidoreductase
PF00071	3407	Ras family
PF00072	253	Response regulator receiver domain
PF00074	119	Pancreatic ribonuclease
PF00075	202	RNase H
PF00076	8221	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	101	Retroviral aspartyl protease
PF00078	591	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	627	Serpin (serine protease inhibitor)
PF00080	173	Copper/zinc superoxide dismutase (SODC)
PF00081	73	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	538	Subtilase family
PF00083	1914	Sugar (and other) transporter
PF00084	5461	Sushi repeat (SCR repeat)
PF00085	1502	Thioredoxin
