ann_term	CC	annotation
PF05986	0.738538872254333	ADAM-TS Spacer 1
PF06009	0.734332022945899	Laminin Domain II
PF11414	0.731892381673654	Adenomatous polyposis coli tumour suppressor protein
PF06512	0.727582064624725	Sodium ion transport-associated
PF00880	0.72548224846384	Nebulin repeat
PF08686	0.724283104251503	PLAC (protease and lacunin) domain
PF06008	0.722511806334657	Laminin Domain I
PF01034	0.717088238977482	Syndecan domain
PF14160	0.714906418899556	Centrosome-associated C terminus
PF07686	0.70829948535888	Immunoglobulin V-set domain
PF13909	0.705096796854112	C2H2-type zinc-finger domain
PF10524	0.70462996625471	Nuclear factor I protein pre-N-terminus
PF06467	0.70405829419815	MYM-type Zinc finger with FCS sequence motif
PF16184	0.703647271990349	Cadherin-like
PF00061	0.702698508429438	Lipocalin / cytosolic fatty-acid binding protein family
PF07474	0.702616686406707	G2F domain
PF05210	0.701396865770585	Sprouty protein (Spry)
PF01530	0.701321165306083	Zinc finger, C2HC type
PF02351	0.700300220004765	GDNF/GAS1 domain
PF07546	0.697737403862216	EMI domain
PF16423	0.697548258051145	Transcription factor COE1 helix-loop-helix domain
PF04089	0.697063849236096	BRICHOS domain
PF05902	0.695297762589971	4.1 protein C-terminal domain (CTD)
PF07303	0.693317441614485	Occludin homology domain
PF14575	0.692827119248769	Ephrin type-A receptor 2 transmembrane domain
PF18039	0.692827119248769	UBA-like domain
PF06461	0.692176321140975	Domain of Unknown Function (DUF1086)
PF03250	0.692016738569021	Tropomodulin
PF11879	0.688308777881395	Domain of unknown function (DUF3399)
PF01463	0.687123544790662	Leucine rich repeat C-terminal domain
PF00229	0.687109633669058	TNF(Tumour Necrosis Factor) family
PF00683	0.687019998304183	TB domain
PF03520	0.685910489456722	KCNQ voltage-gated potassium channel
PF14061	0.685173381396748	Polycomb-like MTF2 factor 2
PF06345	0.681949740014115	DRF Autoregulatory Domain
PF00093	0.681490278843325	von Willebrand factor type C domain
PF08430	0.680910854512265	Forkhead N-terminal region
PF11933	0.680191911343975	Cytoplasmic domain of voltage-gated Na+ ion channel
PF01049	0.678663702841639	Cadherin cytoplasmic region
PF09727	0.678220273684252	Cortactin-binding protein-2
PF00045	0.678060098463427	Hemopexin
PF06021	0.677571148360971	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF15705	0.677402038696596	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF00927	0.67700045304813	Transglutaminase family, C-terminal ig like domain
PF01403	0.676901118716434	Sema domain
PF07525	0.676901118716434	SOCS box
PF02078	0.676317335758026	Synapsin, N-terminal domain
PF10534	0.676317335758026	Connector enhancer of kinase suppressor of ras
PF16493	0.67630313344045	N-terminal of Homeobox Meis and PKNOX1
PF12052	0.675780632412007	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF00777	0.675733991779162	Glycosyltransferase family 29 (sialyltransferase)
PF09316	0.674344352579013	C-myb, C-terminal
PF18561	0.674344352579013	Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain
PF00038	0.673224569620897	Intermediate filament protein
PF00007	0.670321614696341	Cystine-knot domain
PF00157	0.670017378526097	Pou domain - N-terminal to homeobox domain
PF02793	0.670017378526097	Hormone receptor domain
PF08736	0.670017378526097	FERM adjacent (FA)
PF12235	0.669630695996444	Fragile X-related 1 protein core C terminal
PF15706	0.669274094288946	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF16885	0.669274094288946	Voltage-gated calcium channel subunit alpha, C-term
PF08687	0.667241887959148	Apx/Shroom domain ASD2
PF09596	0.666738965143912	MamL-1 domain
PF17902	0.666429565042099	SH3 domain
PF12605	0.666000397844113	Casein kinase 1 gamma C terminal
PF16519	0.664449800863009	Tetramerisation domain of TRPM
PF13922	0.664280989441193	PHD domain of transcriptional enhancer, Asx
PF01390	0.664103458357833	SEA domain
PF12240	0.663733674330089	Angiomotin C terminal
PF00019	0.663133638335761	Transforming growth factor beta like domain
PF00047	0.663133638335761	Immunoglobulin domain
PF00055	0.663133638335761	Laminin N-terminal (Domain VI)
PF15282	0.661884946531393	BMP-2-inducible protein kinase C-terminus
PF08826	0.661629169124062	DMPK coiled coil domain like
PF02191	0.661142784778534	Olfactomedin-like domain
PF10541	0.661142784778534	Nuclear envelope localisation domain
