ID	CC	annotation
PF15879	0.998665216333577	NADH-ubiquinone oxidoreductase MWFE subunit
PF02995	0.998390711395844	Protein of unknown function (DUF229)
PF12763	0.997411828091329	Cytoskeletal-regulatory complex EF hand
PF01470	0.996420810927232	Pyroglutamyl peptidase
PF00230	0.99611799554562	Major intrinsic protein
PF00563	0.995917927356195	EAL domain
PF13437	0.995917927356195	HlyD family secretion protein
PF00691	0.995917927356195	OmpA family
PF01523	0.995917927356195	Putative modulator of DNA gyrase
PF03971	0.995917927356195	Monomeric isocitrate dehydrogenase
PF05811	0.995418277565528	Eukaryotic protein of unknown function (DUF842)
PF09453	0.99304175677411	HIRA B motif
PF05693	0.993017353283998	Glycogen synthase
PF09778	0.992000287907314	Guanylylate cyclase
PF10558	0.991488215632787	Mitochondrial 18 KDa protein (MTP18)
PF00665	0.991347854296745	Integrase core domain
PF11069	0.990219609352462	Protein of unknown function (DUF2870)
PF10384	0.989285914380882	Centromere protein Scm3
PF13864	0.989219437754289	Calmodulin-binding
PF09774	0.988696405711385	Caffeine-induced death protein 2
PF14772	0.988116776041608	Sperm tail
PF12833	0.987170921505359	Helix-turn-helix domain
PF11559	0.986950312597799	Afadin- and alpha -actinin-Binding
PF12309	0.984409698000882	KIF-1 binding protein C terminal
PF12166	0.984162854187936	Piezo non-specific cation channel, R-Ras-binding domain
PF02627	0.984123217646642	Carboxymuconolactone decarboxylase family
PF15490	0.984123217646642	Telomere-capping, CST complex subunit
PF03034	0.984050702931184	Phosphatidyl serine synthase
PF09810	0.983979168196715	Exonuclease V - a 5' deoxyribonuclease
PF15785	0.982929440121783	Serine/threonine-protein kinase smg-1
PF05680	0.982914902875558	ATP synthase E chain
PF00245	0.9826687359984	Alkaline phosphatase
PF10142	0.98236614029822	PhoPQ-activated pathogenicity-related protein
PF00496	0.982025819951004	Bacterial extracellular solute-binding proteins, family 5 Middle
PF09822	0.979982856167578	ABC-type uncharacterized transport system
PF04886	0.979039560981587	PT repeat
PF03479	0.978569245315609	Domain of unknown function (DUF296)
PF07162	0.978232935455146	Ciliary basal body-associated, B9 protein
PF10261	0.976509418219656	Inositol phospholipid synthesis and fat-storage-inducing TM
PF14858	0.976509418219656	Domain of unknown function (DUF4486)
PF05585	0.9751020245268	Putative peptidase (DUF1758)
PF15239	0.973884973689538	Domain of unknown function (DUF4586)
PF16294	0.973865031169791	RNSP1-SAP18 binding (RSB) motif
PF01928	0.973865031169791	CYTH domain
PF06209	0.973865031169791	Cofactor of BRCA1 (COBRA1)
PF09588	0.973101598775862	YqaJ-like viral recombinase domain
PF00361	0.972287391133402	Proton-conducting membrane transporter
PF00367	0.971876893687862	phosphotransferase system, EIIB
PF03860	0.971876893687862	Domain of Unknown Function (DUF326)
PF04236	0.971876893687862	Tc5 transposase C-terminal domain
PF04747	0.971876893687862	Protein of unknown function, DUF612
PF04977	0.971876893687862	Septum formation initiator
PF04986	0.971876893687862	Putative transposase
PF05393	0.971876893687862	Human adenovirus early E3A glycoprotein
PF05671	0.971876893687862	GETHR pentapeptide repeat (5 copies)
PF06779	0.971876893687862	Uncharacterised MFS-type transporter YbfB
PF07245	0.971876893687862	Phlebovirus glycoprotein G2
PF07271	0.971876893687862	Cytadhesin P30/P32
PF07652	0.971876893687862	Flavivirus DEAD domain
PF12760	0.971876893687862	Transposase zinc-ribbon domain
PF14229	0.971876893687862	Domain of unknown function (DUF4332)
PF12777	0.971876893687862	Microtubule-binding stalk of dynein motor
PF01225	0.971876893687862	Mur ligase family, catalytic domain
PF10318	0.971876893687862	Serpentine type 7TM GPCR chemoreceptor Srh
PF10243	0.970935509007885	Microtubule-binding protein MIP-T3
