Feature	GO
gene:LOC485265|protein_id:XP_542383.3	GO:0004930; GO:0007186; GO:0016021; GO:0004984
gene:VPS54|protein_id:XP_013973046.1	GO:0042147
gene:ZFP62|protein_id:XP_005626323.1	GO:0003676
gene:WNT3|protein_id:XP_005624259.1	GO:0005102; GO:0016055; GO:0005576; GO:0007275
gene:SYCP1|protein_id:XP_013976196.1	GO:0007130; GO:0000795
gene:RPP25|protein_id:XP_005638690.1	GO:0003676
gene:SCP2|protein_id:XP_866084.1	GO:0003824; GO:0016747
gene:FAM207A|protein_id:XP_005639036.1	GO:0030686; GO:0005730; GO:0030688; GO:0000462
gene:POLR2F|protein_id:XP_531740.1	GO:0006351; GO:0005634; GO:0003677; GO:0005665; GO:0003899
gene:LOC481092|protein_id:XP_538213.3	GO:0016021; GO:0004984; GO:0004930; GO:0007186
gene:PAQR3|protein_id:XP_022269200.1	GO:0016021
gene:OXGR1|protein_id:XP_005634079.1	GO:0004930; GO:0007186; GO:0016021
gene:OR2D3|protein_id:NP_001017517.1	GO:0007186; GO:0004930; GO:0004984; GO:0016021
gene:LOC100684769|protein_id:XP_022280777.1	GO:0005525; GO:0016020
gene:NEK2|protein_id:XP_537144.3	GO:0004672; GO:0005524; GO:0006468
gene:AP4E1|protein_id:XP_022268278.1	GO:0015031; GO:0016192; GO:0030124; GO:0030117; GO:0006886
gene:SPNS1|protein_id:XP_003639185.2	GO:0055085; GO:0005887
gene:AKAP8|protein_id:NP_001007124.1	GO:0003677; GO:0005634
gene:IRX3|protein_id:XP_544403.2	GO:0005634; GO:0043565; GO:0006355; GO:0003677
gene:OR08D04|protein_id:XP_542002.2	GO:0016021; GO:0004984; GO:0004930; GO:0007186
gene:LOC100684755|protein_id:XP_003433010.1	GO:0007186; GO:0004930; GO:0004984; GO:0016021
gene:REV1|protein_id:XP_538458.3	GO:0042276; GO:0003684; GO:0006281; GO:0016779
gene:HTR1E|protein_id:XP_005627656.1	GO:0007186; GO:0004930; GO:0005887; GO:0004993; GO:0016021
gene:HARS2|protein_id:XP_013963176.1	GO:0004821; GO:0006427; GO:0005737; GO:0005524
gene:LOC484972|protein_id:XP_542090.3	GO:0016021; GO:0004984; GO:0004930; GO:0007186
gene:LOC102155014|protein_id:XP_013967790.1	GO:0016639; GO:0055114; GO:0006520; GO:0016491
gene:FSTL5|protein_id:XP_539788.3	GO:0005509; GO:0005515
gene:NRAP|protein_id:XP_013964420.1	GO:0003779
gene:AKAP1|protein_id:XP_022278880.1	GO:0003676; GO:0003723
gene:LOC607207|protein_id:XP_848839.1	GO:0005509
gene:TOPAZ1|protein_id:XP_013962279.1	GO:0046872
gene:TESC|protein_id:XP_022266210.1	GO:0005509
gene:LOC100688253|protein_id:XP_003434599.1	GO:0004930; GO:0007186; GO:0016021; GO:0004984
gene:FAM43A|protein_id:XP_005639714.1	GO:0005515
gene:LOC403903|protein_id:XP_013977478.2	GO:0004984; GO:0016021; GO:0007186; GO:0004930
gene:KLHL14|protein_id:XP_022277205.1	GO:0005515
gene:SSR4|protein_id:XP_005641052.1	GO:0016021; GO:0005783
gene:FOXR1|protein_id:XP_005619752.1	GO:0006355; GO:0003700; GO:0043565
gene:SNX17|protein_id:XP_540126.2	GO:0035091; GO:0007165
gene:KHDC3L|protein_id:XP_539000.3	GO:0003723
gene:KLHL38|protein_id:XP_851686.2	GO:0005515
gene:SHMT1|protein_id:XP_005620199.1	GO:0035999; GO:0030170; GO:0019264; GO:0003824; GO:0004372
gene:LOC483522|protein_id:XP_540641.3	GO:0007186; GO:0004930; GO:0004984; GO:0016021
gene:PRKCG|protein_id:XP_003638850.1	GO:0035556; GO:0008270; GO:0004697; GO:0006468; GO:0004674; GO:0005524; GO:0004672
gene:POLA1|protein_id:XP_005641271.1	GO:0003677; GO:0003676; GO:0001882; GO:0006260; GO:0003887; GO:0000166
gene:KRT17|protein_id:XP_548100.1	GO:0005198
gene:MMP26|protein_id:XP_022263468.1	GO:0006508; GO:0031012; GO:0008237; GO:0008270; GO:0004222
gene:TSPYL2|protein_id:XP_013967343.1	GO:0006334; GO:0005634
gene:PIK3C2A|protein_id:XP_005633773.1	GO:0016301; GO:0035091; GO:0035004
gene:LOC100686934|protein_id:XP_022261127.1	GO:0007186; GO:0004930; GO:0004984; GO:0016021
gene:PNLIPRP1|protein_id:NP_001003319.2	GO:0005515; GO:0004806; GO:0052689; GO:0006629
gene:GLT8D1|protein_id:XP_005632495.1	GO:0016757
gene:MESD|protein_id:XP_022271944.1	GO:0006457
gene:RBM25|protein_id:XP_022278166.1	GO:0006397; GO:0003676
gene:SLC22A16|protein_id:XP_013973676.1	GO:0055085; GO:0016021; GO:0022857
gene:CSTA|protein_id:XP_545130.3	GO:0004866; GO:0004869
gene:SH3BP4|protein_id:XP_005635964.1	GO:0005515
gene:CAMSAP2|protein_id:XP_013970523.1	GO:0005515; GO:0005516; GO:0031175; GO:0030507; GO:0008017
gene:ABLIM1|protein_id:XP_013964282.1	GO:0007010; GO:0003779
gene:HM13|protein_id:XP_022264557.1	GO:0004190; GO:0016021
gene:YIPF6|protein_id:XP_022271478.1	GO:0016020
gene:LOC100688482|protein_id:XP_013968724.1	GO:0016021; GO:0004984; GO:0004930; GO:0007186
gene:MVK|protein_id:XP_005636378.1	GO:0008299; GO:0004496; GO:0005737; GO:0005524
gene:SKAP2|protein_id:XP_005628710.1	GO:0005515
gene:LOC100685834|protein_id:XP_022282870.1	GO:0016021; GO:0004984; GO:0004930; GO:0007186
gene:TAL1|protein_id:XP_022283673.1	GO:0046983
gene:TRIM68|protein_id:XP_005633638.1	GO:0005515; GO:0008270
gene:BBS2|protein_id:XP_022270510.1	GO:0005515
gene:LOC491474|protein_id:XP_548595.3	GO:0016021; GO:0004984; GO:0004930; GO:0007186
gene:RALGDS|protein_id:XP_005625223.1	GO:0005085; GO:0007264; GO:0007165
gene:GJB4|protein_id:XP_005629031.1	GO:0005922; GO:0007154
gene:PRPF39|protein_id:XP_005623419.1	GO:0005515; GO:0006396
gene:ACER3|protein_id:XP_849760.1	GO:0016021; GO:0006672; GO:0016811
gene:GATAD1|protein_id:XP_022283047.1	GO:0043565; GO:0006355; GO:0008270
gene:PIGQ|protein_id:XP_005622163.2	GO:0006506; GO:0017176; GO:0016021
gene:SEC16A|protein_id:XP_005625154.1	GO:0048208
gene:LOC100687072|protein_id:XP_013971148.2	GO:0006355; GO:0003676
gene:PPP5C|protein_id:XP_022260894.1	GO:0016787; GO:0005515
gene:LOC102154920|protein_id:XP_022273336.1	GO:0038023; GO:0016021
gene:DNAI1|protein_id:XP_022281224.1	GO:0005515
gene:SMARCC1|protein_id:XP_533845.2	GO:0003677; GO:0005515
gene:LOC102154781|protein_id:XP_013968906.2	GO:0003735; GO:0006412; GO:0003723; GO:0005840
gene:RWDD1|protein_id:XP_851223.1	GO:0005515
gene:GFI1|protein_id:NP_001012737.1	GO:0003676
gene:LOC100688585|protein_id:XP_003435470.1	GO:0007186; GO:0004930; GO:0004984; GO:0016021
gene:PAXX|protein_id:XP_537789.1	GO:0006303
gene:PLBD1|protein_id:XP_005637175.1	GO:0004620
gene:CYP27B1|protein_id:XP_538254.3	GO:0055114; GO:0016705; GO:0005506; GO:0020037
gene:SNIP1|protein_id:XP_013975060.1	GO:0005515
gene:ARID3B|protein_id:XP_022268347.1	GO:0003677
gene:GPR75|protein_id:XP_022280439.1	GO:0016021; GO:0004930; GO:0007186
gene:GPR174|protein_id:XP_005641583.1	GO:0007186; GO:0004930; GO:0016021
gene:LOC102156503|protein_id:XP_005638052.1	GO:0055114; GO:0004096; GO:0005515; GO:0020037
gene:LOC100686217|protein_id:XP_005640225.1	GO:0007186; GO:0004930; GO:0004984; GO:0016021
gene:PPP1R13L|protein_id:XP_013975185.1	GO:0005515
gene:COL7A1|protein_id:NP_001002980.1	GO:0005515; GO:0004867
gene:CNTNAP4|protein_id:XP_536775.2	GO:0005509
gene:TSC2|protein_id:XP_005621772.1	GO:0033596; GO:0005096; GO:0051056; GO:0043547; GO:0032007
gene:MC2R|protein_id:XP_003638804.1	GO:0007186; GO:0004977; GO:0004930; GO:0004978; GO:0016021
gene:CSAD|protein_id:XP_005636841.1	GO:0003824; GO:0030170; GO:0019752; GO:0016831
gene:DHTKD1|protein_id:XP_535192.3	GO:0016624; GO:0006099; GO:0055114; GO:0004591; GO:0030976
gene:YDJC|protein_id:XP_003433512.1	GO:0003824; GO:0005975
gene:DZIP1L|protein_id:XP_022264377.1	GO:0003676
gene:JCAD|protein_id:XP_535151.2	GO:0005911
gene:RBM18|protein_id:XP_548474.2	GO:0003676
gene:ARHGAP39|protein_id:XP_022282226.1	GO:0005856; GO:0007165; GO:0005515
gene:XRRA1|protein_id:XP_005633561.1	GO:0005515
gene:FLT3|protein_id:XP_022265264.1	GO:0004672; GO:0004714; GO:0004713; GO:0007169; GO:0005524; GO:0006468
gene:CPLX4|protein_id:XP_852635.1	GO:0006836; GO:0019905
gene:EFCAB6|protein_id:XP_022280037.1	GO:0005509
gene:ADAMTS7|protein_id:XP_013967816.1	GO:0006508; GO:0008237; GO:0004222; GO:0008233
gene:ATP10A|protein_id:XP_545808.6	GO:0016021; GO:0000166; GO:0005524; GO:0015914; GO:0000287; GO:0140326
gene:MC5R|protein_id:XP_005615457.1	GO:0016021; GO:0007186; GO:0004930; GO:0004977
gene:SLC17A2|protein_id:XP_022270116.1	GO:0055085; GO:0005887
gene:LOC478701|protein_id:XP_535868.3	GO:0003924; GO:0005525; GO:0007017; GO:0005874; GO:0005200
gene:SFRP2|protein_id:NP_001002987.1	GO:0005515
gene:LOC100687471|protein_id:XP_013963130.1	GO:0004930; GO:0007186; GO:0016021; GO:0004984
gene:AGGF1|protein_id:XP_005618241.1	GO:0003676; GO:0005515
gene:CYB5RL|protein_id:XP_013969244.1	GO:0055114; GO:0016491
gene:CENPBD1|protein_id:XP_022274753.1	GO:0003676; GO:0003677
gene:HOXA13|protein_id:XP_539492.4	GO:0043565; GO:0003677; GO:0006355
gene:LOC111090102|protein_id:XP_022259237.1	GO:0007155; GO:0005509; GO:0007156; GO:0016020; GO:0005886
gene:ADGRA3|protein_id:XP_022272114.1	GO:0004930; GO:0004888; GO:0005515; GO:0007186; GO:0016021; GO:0016020; GO:0007166
gene:SLC16A5|protein_id:XP_022279605.1	GO:0008028; GO:0016021; GO:0015718; GO:0005887; GO:0055085
gene:LOC102157175|protein_id:XP_005627537.1	GO:0006412; GO:0003735; GO:0005840
gene:ASB11|protein_id:XP_848896.1	GO:0035556; GO:0005515
gene:SSH2|protein_id:XP_022279114.1	GO:0008138; GO:0016311; GO:0004725; GO:0006470; GO:0016791
