ID	CC	annotation
PF01019	1	Gamma-glutamyltranspeptidase
PF08600	1	Rsm1-like
PF09779	1	Ima1 N-terminal domain
PF10318	1	Serpentine type 7TM GPCR chemoreceptor Srh
PF12762	1	ISXO2-like transposase domain
PF13738	1	Pyridine nucleotide-disulphide oxidoreductase
PF13905	1	Thioredoxin-like
PF15365	1	Proline-rich nuclear receptor coactivator motif
PF15490	1	Telomere-capping, CST complex subunit
PF14750	0.991906986163489	Integrator complex subunit 2
PF12317	0.991906986163489	Intraflagellar transport complex B protein 46 C terminal
PF14631	0.991906986163489	Fanconi anaemia protein FancD2 nuclease
PF14186	0.991906986163489	Cytoskeletal adhesion
PF09778	0.991906986163489	Guanylylate cyclase
PF09810	0.991600941874248	Exonuclease V - a 5' deoxyribonuclease
PF03479	0.986956503666195	Domain of unknown function (DUF296)
PF12833	0.984210797261701	Helix-turn-helix domain
PF00930	0.983880210594104	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00659	0.983880210594104	POLO box duplicated region
PF14716	0.983880210594104	Helix-hairpin-helix domain
PF09332	0.983813525529502	Mcm10 replication factor
PF15239	0.983307496122431	Domain of unknown function (DUF4586)
PF13975	0.98303032523914	gag-polyprotein putative aspartyl protease
PF04886	0.980059928486517	PT repeat
PF02995	0.978660315336221	Protein of unknown function (DUF229)
PF00486	0.978515028557493	Transcriptional regulatory protein, C terminal
PF00563	0.978515028557493	EAL domain
PF00691	0.978515028557493	OmpA family
PF01523	0.978515028557493	Putative modulator of DNA gyrase
PF02504	0.978515028557493	Fatty acid synthesis protein
PF03971	0.978515028557493	Monomeric isocitrate dehydrogenase
PF05491	0.978515028557493	Holliday junction DNA helicase ruvB C-terminus
PF06315	0.978515028557493	Isocitrate dehydrogenase kinase/phosphatase (AceK)
PF13437	0.978515028557493	HlyD family secretion protein
PF05693	0.976423735223574	Glycogen synthase
PF12530	0.976423735223574	Protein of unknown function (DUF3730)
PF03836	0.976423735223574	RasGAP C-terminus
PF15785	0.976423735223574	Serine/threonine-protein kinase smg-1
PF15911	0.976423735223574	WD domain, G-beta repeat
PF09350	0.976423735223574	Domain of unknown function (DUF1992)
PF05225	0.976286857702614	helix-turn-helix, Psq domain
PF11764	0.976286857702614	COMPASS (Complex proteins associated with Set1p) component N
PF07061	0.976286857702614	Swi5
PF09302	0.976161353360887	XLF-Cernunnos, XRcc4-like factor, NHEJ component
PF00367	0.97091879209021	phosphotransferase system, EIIB
PF03860	0.97091879209021	Domain of Unknown Function (DUF326)
PF04236	0.97091879209021	Tc5 transposase C-terminal domain
PF04747	0.97091879209021	Protein of unknown function, DUF612
PF04977	0.97091879209021	Septum formation initiator
PF04986	0.97091879209021	Putative transposase
PF05393	0.97091879209021	Human adenovirus early E3A glycoprotein
PF05671	0.97091879209021	GETHR pentapeptide repeat (5 copies)
PF06779	0.97091879209021	Uncharacterised MFS-type transporter YbfB
PF07245	0.97091879209021	Phlebovirus glycoprotein G2
PF07271	0.97091879209021	Cytadhesin P30/P32
PF07652	0.97091879209021	Flavivirus DEAD domain
PF12760	0.97091879209021	Transposase zinc-ribbon domain
PF14229	0.97091879209021	Domain of unknown function (DUF4332)
PF08755	0.969967975658864	Hemimethylated DNA-binding protein YccV like
PF11566	0.969967975658864	PI31 proteasome regulator N-terminal
PF05029	0.969967975658864	Timeless protein C terminal region
PF10149	0.969967975658864	Transmembrane protein 231
PF08923	0.969967975658864	Mitogen-activated protein kinase kinase 1 interacting
PF02233	0.969821371712478	NAD(P) transhydrogenase beta subunit
PF02935	0.969716618746913	Cytochrome c oxidase subunit VIIc
PF09770	0.969580109457781	Topoisomerase II-associated protein PAT1
PF00496	0.967035106480373	Bacterial extracellular solute-binding proteins, family 5 Middle
PF07498	0.967035106480373	Rho termination factor, N-terminal domain
PF10323	0.967035106480373	Serpentine type 7TM GPCR chemoreceptor Srv
PF12204	0.967035106480373	Domain of unknown function (DUF3598)
