Feature	GO
XP_017951936.1	GO:0004930; GO:0007186; GO:0016021
NP_001090804.1	GO:0005833; GO:0020037; GO:0015671; GO:0019825
XP_017949321.1	GO:0015031; GO:0030176
NP_989077.1	GO:0016021; GO:0005198; GO:0005923
NP_001006877.1	GO:0006414; GO:0003746; GO:0005853
XP_017945654.1	GO:0005622; GO:0008270; GO:0003676
XP_017945597.1	GO:0005524; GO:0006468; GO:0004672
XP_002942599.3	GO:0008270; GO:0005622; GO:0005515
XP_017945233.1	GO:0004866
XP_012825853.1	GO:0005524; GO:0035023; GO:0006468; GO:0004672; GO:0005089; GO:0005515
NP_001006848.1	GO:0004064
XP_017949808.1	GO:0004970; GO:0006811; GO:0016020; GO:0005234; GO:0005216; GO:0038023
NP_001017045.1	GO:0003723; GO:0003676
NP_001072497.1	GO:0004842
NP_001106513.1	GO:0051694; GO:0005523
XP_017947249.1	GO:0004672; GO:0006468; GO:0004674; GO:0005524
XP_002938357.1	GO:0005515
NP_001008445.1	GO:0005515
NP_001135583.1	GO:0015267; GO:0016020; GO:0055085
NP_001120554.1	GO:0007186; GO:0016021; GO:0004955; GO:0004957; GO:0004930
XP_017949352.1	GO:0008299
XP_017946153.1	GO:0005515
XP_002936759.2	GO:0003676
XP_017950594.1	GO:0003676
XP_002941178.2	GO:0043565; GO:0003677; GO:0006355
XP_002936702.1	GO:0006886; GO:0005515
XP_002939369.2	GO:0006401; GO:0032299
XP_002935225.1	GO:0006355; GO:0003677; GO:0043565
XP_002944366.3	GO:0005524; GO:0042626; GO:0055085; GO:0016021
XP_004916060.1	GO:0003677
XP_012822509.1	GO:0008168
XP_017953098.1	GO:0008378; GO:0016020; GO:0006486
XP_017948014.1	GO:0003676; GO:0015074
XP_002935341.1	GO:0003854; GO:0016616; GO:0006694; GO:0055114
NP_001072366.1	GO:0005515
XP_017951513.1	GO:0005488
NP_001120433.1	GO:0003723
XP_017952811.1	GO:0003676
XP_017947008.1	GO:0003779; GO:0030866; GO:0005856; GO:0008092; GO:0005198
XP_017952689.1	GO:0005525; GO:0003924
NP_001239015.1	GO:0016055; GO:0005576; GO:0005102; GO:0007275
XP_012809501.2	GO:0004930; GO:0007186; GO:0016021
NP_001025655.1	GO:0005524; GO:0051082; GO:0006950; GO:0006457
NP_001016125.1	GO:0035091
XP_002943752.4	GO:0005216; GO:0005249; GO:0006813; GO:0055085; GO:0006811; GO:0016020
XP_002941248.1	GO:0003824; GO:0016814; GO:0008270
NP_001016185.1	GO:0016272; GO:0006457; GO:0051082
XP_012825517.1	GO:0003824; GO:0006281
NP_001006883.1	GO:0003824
XP_012823182.1	GO:0003676
XP_012810497.1	GO:0016533; GO:0016534
XP_004920310.1	GO:0022857; GO:0005215; GO:0055085; GO:0016021
NP_001016092.1	GO:0016021; GO:0006890
XP_002934442.1	GO:0042981
XP_012813293.1	GO:0008270; GO:0005622; GO:0005515
XP_017950318.1	GO:0016021; GO:0005381; GO:0034755
XP_002940167.1	GO:0033180; GO:0015078; GO:0015991
XP_002940183.2	GO:0005515
NP_001116885.1	GO:0004707; GO:0006468; GO:0004672; GO:0005524
XP_017951656.1	GO:0003824
XP_002943318.1	GO:0000786; GO:0005634; GO:0003677; GO:0046982
XP_004913390.1	GO:0055085; GO:0016021
XP_004914525.1	GO:0004672; GO:0030036; GO:0004674; GO:0017048; GO:0035556; GO:0005524; GO:0007266; GO:0006468; GO:0010825; GO:0032956; GO:0006939
XP_012812191.1	GO:0003824; GO:0008152
XP_012821560.1	GO:0005515
NP_001011032.1	GO:0016020; GO:0007275; GO:0009966
NP_001120583.1	GO:0008234; GO:0006508
XP_012818037.1	GO:0007165; GO:0004709; GO:0004672; GO:0000287; GO:0005524; GO:0006468
XP_017947324.1	GO:0005515
XP_017950096.1	GO:0005622; GO:0006508; GO:0004198
XP_004916157.2	GO:0008168
XP_002942576.1	GO:0006955; GO:0006952; GO:0005576; GO:0006935; GO:0008009
NP_989333.1	GO:0045947; GO:0008190
XP_002937305.2	GO:0005509; GO:0005544
XP_012809202.1	GO:0046872; GO:0005515
XP_002936488.2	GO:0055114; GO:0016491
NP_001106394.1	GO:0016020; GO:0005484; GO:0006886; GO:0016192
XP_002939760.1	GO:0007186; GO:0016021; GO:0004983; GO:0004930
NP_001123392.1	GO:0003676
XP_002935462.1	GO:0005515
XP_002939180.1	GO:0004930; GO:0001609; GO:0007186; GO:0016021; GO:0001973
XP_004914412.1	GO:0005506; GO:0008475; GO:0005783; GO:0016705; GO:0031418; GO:0016491; GO:0055114
XP_017950652.1	GO:0007186; GO:0016021; GO:0004930
XP_002944234.1	GO:0046982; GO:0003677; GO:0006334; GO:0006352; GO:0000786; GO:0005634
XP_012822696.1	GO:0015074; GO:0003676; GO:0006508; GO:0008270; GO:0004190
XP_002942005.2	GO:0004993; GO:0016021; GO:0007186; GO:0004930
XP_017945226.1	GO:0005515; GO:0005622; GO:0008270
NP_001072903.1	GO:0005975; GO:0003824
NP_001025609.1	GO:0055114; GO:0016491
XP_012813493.1	GO:0005515
NP_001096675.1	GO:0055085; GO:0005216; GO:0005249; GO:0006813; GO:0006811; GO:0016020; GO:0008076; GO:0051260
XP_004916275.1	GO:0051015; GO:0005524; GO:0003777; GO:0005515; GO:0003774; GO:0016459; GO:0008017; GO:0007018
XP_002937031.1	GO:0015693; GO:0016021; GO:0015095
NP_989138.1	GO:0019867
XP_004917970.1	GO:0005783; GO:0045454; GO:0034975; GO:0015036
XP_004917905.1	GO:0046872; GO:0006207; GO:0006807; GO:0004088; GO:0005524; GO:0006541
XP_004918326.1	GO:0005789; GO:0015031; GO:0016021
NP_001120383.1	GO:0008152; GO:0006506; GO:0003824; GO:0051377
XP_002941584.2	GO:0016579; GO:0036459; GO:0006511
XP_002934985.1	GO:0017137; GO:0006886
XP_004911699.1	GO:0005509
