Feature	GO
locus_tag:DAPPUDRAFT_9307|protein_id:EFX62034.1	GO:0008270; GO:0003712; GO:0004402; GO:0006355; GO:0005634
locus_tag:DAPPUDRAFT_317311|protein_id:EFX81790.1	GO:0016758
locus_tag:DAPPUDRAFT_121118|protein_id:EFX61716.1	GO:0005515
locus_tag:DAPPUDRAFT_128092|protein_id:EFX82055.1	GO:0006468; GO:0004674; GO:0004672; GO:0043066; GO:0005524
locus_tag:DAPPUDRAFT_99799|protein_id:EFX84302.1	GO:0004970; GO:0016020
locus_tag:DAPPUDRAFT_333425|protein_id:EFX65215.1	GO:0003677; GO:0015074; GO:0006310
locus_tag:DAPPUDRAFT_299763|protein_id:EFX62048.1	GO:0003677
locus_tag:DAPPUDRAFT_300085|protein_id:EFX90327.1	GO:0005515
locus_tag:DAPPUDRAFT_327348|protein_id:EFX71260.1	GO:0005515; GO:0007165
locus_tag:DAPPUDRAFT_302380|protein_id:EFX82770.1	GO:0016255; GO:0042765
locus_tag:DAPPUDRAFT_335547|protein_id:EFX63368.1	GO:0004672; GO:0007172; GO:0005925; GO:0006468; GO:0004713
locus_tag:DAPPUDRAFT_303962|protein_id:EFX65126.1	GO:0007165; GO:0003924; GO:0005525; GO:0016020
locus_tag:DAPPUDRAFT_310332|protein_id:EFX89680.1	GO:0055114; GO:0020037; GO:0016705; GO:0005506
locus_tag:DAPPUDRAFT_271603|protein_id:EFX61875.1	GO:0003676
locus_tag:DAPPUDRAFT_311292|protein_id:EFX88437.1	GO:0005515
locus_tag:DAPPUDRAFT_105310|protein_id:EFX78394.1	GO:0004252; GO:0006508
locus_tag:DAPPUDRAFT_100339|protein_id:EFX83672.1	GO:0042302
locus_tag:DAPPUDRAFT_66107|protein_id:EFX64596.1	GO:0009116; GO:0003824
locus_tag:DAPPUDRAFT_264843|protein_id:EFX65335.1	GO:0000287; GO:0005975; GO:0016868
locus_tag:DAPPUDRAFT_322497|protein_id:EFX76293.1	GO:0006355
locus_tag:DAPPUDRAFT_62217|protein_id:EFX69450.1	GO:0003824
locus_tag:DAPPUDRAFT_105763|protein_id:EFX77869.1	GO:0006355; GO:0003677; GO:0043565
locus_tag:DAPPUDRAFT_3545|protein_id:EFX80381.1	GO:0003824; GO:0016810; GO:0005975
locus_tag:DAPPUDRAFT_301497|protein_id:EFX68233.1	GO:0003824
locus_tag:DAPPUDRAFT_100837|protein_id:EFX83166.1	GO:0005515
locus_tag:DAPPUDRAFT_332669|protein_id:EFX65947.1	GO:0003676; GO:0008270
locus_tag:DAPPUDRAFT_251839|protein_id:EFX74347.1	GO:0005509
locus_tag:DAPPUDRAFT_112201|protein_id:EFX70934.1	GO:0016491
locus_tag:DAPPUDRAFT_55390|protein_id:EFX76291.1	GO:0005184; GO:0005576
locus_tag:DAPPUDRAFT_303947|protein_id:EFX80715.1	GO:0008233; GO:0006508
locus_tag:DAPPUDRAFT_313796|protein_id:EFX85666.1	GO:0005515
locus_tag:DAPPUDRAFT_326812|protein_id:EFX71785.1	GO:0003779
locus_tag:DAPPUDRAFT_63170|protein_id:EFX68328.1	GO:0004222; GO:0002949
locus_tag:DAPPUDRAFT_51367|protein_id:EFX80392.1	GO:0003676
locus_tag:DAPPUDRAFT_324597|protein_id:EFX74113.1	GO:0016020; GO:0022857; GO:0006811; GO:0055085
locus_tag:DAPPUDRAFT_302355|protein_id:EFX82812.1	GO:0004672; GO:0005515; GO:0005524; GO:0006468
locus_tag:DAPPUDRAFT_43629|protein_id:EFX87399.1	GO:0005515
locus_tag:DAPPUDRAFT_237770|protein_id:EFX85265.1	GO:0005515
locus_tag:DAPPUDRAFT_46987|protein_id:EFX84676.1	GO:0005515
locus_tag:DAPPUDRAFT_274869|protein_id:EFX60976.1	GO:0008234; GO:0006508
locus_tag:DAPPUDRAFT_22132|protein_id:EFX74258.1	GO:0004656; GO:0005506; GO:0016705; GO:0016491; GO:0031418; GO:0016702; GO:0005515; GO:0005783; GO:0055114
locus_tag:DAPPUDRAFT_114169|protein_id:EFX68909.1	GO:0003676; GO:0008270
locus_tag:DAPPUDRAFT_269107|protein_id:EFX63082.1	GO:0004180; GO:0006508
locus_tag:DAPPUDRAFT_310112|protein_id:EFX89831.1	GO:0004553; GO:0006030; GO:0008061; GO:0005975; GO:0005576
locus_tag:DAPPUDRAFT_331220|protein_id:EFX67289.1	GO:0004862; GO:0006469
locus_tag:DAPPUDRAFT_195649|protein_id:EFX82193.1	GO:0008146
locus_tag:DAPPUDRAFT_41537|protein_id:EFX88606.1	GO:0005515
locus_tag:DAPPUDRAFT_122783|protein_id:EFX60871.1	GO:0006370; GO:0004484
locus_tag:DAPPUDRAFT_17589|protein_id:EFX74682.1	GO:0016579; GO:0004843
locus_tag:DAPPUDRAFT_304348|protein_id:EFX79888.1	GO:0051015; GO:0016459; GO:0005524; GO:0003774; GO:0005856; GO:0005515
locus_tag:DAPPUDRAFT_48345|protein_id:EFX83351.1	GO:0016757; GO:0005975
locus_tag:DAPPUDRAFT_99923|protein_id:EFX84218.1	GO:0019825; GO:0020037; GO:0005576; GO:0015671; GO:0005833
locus_tag:DAPPUDRAFT_120132|protein_id:EFX62536.1	GO:0005634; GO:0005515; GO:0005737; GO:0061608; GO:0140142; GO:0006606
locus_tag:DAPPUDRAFT_316708|protein_id:EFX82130.1	GO:0003899; GO:0032549; GO:0003677; GO:0006351
locus_tag:DAPPUDRAFT_309832|protein_id:EFX90292.1	GO:0016791; GO:0016311; GO:0006470; GO:0004725
locus_tag:DAPPUDRAFT_57262|protein_id:EFX74224.1	GO:0005634
locus_tag:DAPPUDRAFT_198415|protein_id:EFX77393.1	GO:0005516; GO:0004683; GO:0004672; GO:0006468; GO:0005524
locus_tag:DAPPUDRAFT_318878|protein_id:EFX80248.1	GO:0003676; GO:0008270
locus_tag:DAPPUDRAFT_67044|protein_id:EFX63532.1	GO:0008417; GO:0006486; GO:0016020
locus_tag:DAPPUDRAFT_307810|protein_id:EFX86825.1	GO:0004180; GO:0008270; GO:0004181; GO:0006508
locus_tag:DAPPUDRAFT_18999|protein_id:EFX62985.1	GO:0042302
locus_tag:DAPPUDRAFT_228386|protein_id:EFX70345.1	GO:0005515
locus_tag:DAPPUDRAFT_305316|protein_id:EFX77789.1	GO:0005515
locus_tag:DAPPUDRAFT_290567|protein_id:EFX70006.1	GO:0003676
locus_tag:DAPPUDRAFT_67441|protein_id:EFX63040.1	GO:0055085; GO:0005887
locus_tag:DAPPUDRAFT_46980|protein_id:EFX84422.1	GO:0007165; GO:0035091; GO:0005515
locus_tag:DAPPUDRAFT_324287|protein_id:EFX74506.1	GO:0032007; GO:0048011
locus_tag:DAPPUDRAFT_314091|protein_id:EFX85526.1	GO:0046872; GO:0003676
locus_tag:DAPPUDRAFT_254420|protein_id:EFX72507.1	GO:0005515
locus_tag:DAPPUDRAFT_334894|protein_id:EFX63860.1	GO:0008234; GO:0006508
locus_tag:DAPPUDRAFT_117600|protein_id:EFX65056.1	GO:0005515
locus_tag:DAPPUDRAFT_97650|protein_id:EFX86565.1	GO:0016705; GO:0005506; GO:0020037; GO:0055114
locus_tag:DAPPUDRAFT_187412|protein_id:EFX87329.1	GO:0006355
locus_tag:DAPPUDRAFT_19264|protein_id:EFX63464.1	GO:0055114; GO:0046654; GO:0004146
locus_tag:DAPPUDRAFT_263371|protein_id:EFX66319.1	GO:0042302
gene:TF3A|protein_id:EFX70877.1	GO:0003676
locus_tag:DAPPUDRAFT_310457|protein_id:EFX89411.1	GO:0003676
locus_tag:DAPPUDRAFT_216576|protein_id:EFX71663.1	GO:0005634; GO:0003676; GO:0008270
locus_tag:DAPPUDRAFT_51878|protein_id:EFX79798.1	GO:0046872
locus_tag:DAPPUDRAFT_308492|protein_id:EFX86361.1	GO:0016491; GO:0055114; GO:0051537
locus_tag:DAPPUDRAFT_670|protein_id:EFX84376.1	GO:0003918; GO:0006259; GO:0006265; GO:0005524; GO:0003677
locus_tag:DAPPUDRAFT_301607|protein_id:EFX83724.1	GO:0019825; GO:0020037
locus_tag:DAPPUDRAFT_44582|protein_id:EFX86761.1	GO:0006355; GO:0005634; GO:0003700
locus_tag:DAPPUDRAFT_331098|protein_id:EFX67346.1	GO:0035556; GO:0016849; GO:0009190
locus_tag:DAPPUDRAFT_315314|protein_id:EFX83895.1	GO:0005524; GO:0003677; GO:0006310; GO:0009378; GO:0006281
locus_tag:DAPPUDRAFT_111819|protein_id:EFX71401.1	GO:0007165; GO:0035556
locus_tag:DAPPUDRAFT_59842|protein_id:EFX71756.1	GO:0005515
locus_tag:DAPPUDRAFT_324055|protein_id:EFX74663.1	GO:0071805; GO:0016020; GO:0005267
locus_tag:DAPPUDRAFT_304789|protein_id:EFX88793.1	GO:0006886
locus_tag:DAPPUDRAFT_44114|protein_id:EFX86921.1	GO:0003677; GO:0046982; GO:0000786
locus_tag:DAPPUDRAFT_213335|protein_id:EFX77682.1	GO:0050660; GO:0055114; GO:0016614
locus_tag:DAPPUDRAFT_59427|protein_id:EFX72182.1	GO:0005515
locus_tag:DAPPUDRAFT_330660|protein_id:EFX67872.1	GO:0003676
locus_tag:DAPPUDRAFT_312745|protein_id:EFX86827.1	GO:0004180; GO:0008270; GO:0006508; GO:0004181
locus_tag:DAPPUDRAFT_8948|protein_id:EFX65198.1	GO:0005515
gene:CHY1G|protein_id:EFX79598.1	GO:0006508; GO:0004252
locus_tag:DAPPUDRAFT_201893|protein_id:EFX71248.1	GO:0046983
locus_tag:DAPPUDRAFT_27061|protein_id:EFX81907.1	GO:0005515
locus_tag:DAPPUDRAFT_302274|protein_id:EFX82862.1	GO:0003735; GO:0006412; GO:0005840
locus_tag:DAPPUDRAFT_252136|protein_id:EFX74087.1	GO:0003676
locus_tag:DAPPUDRAFT_44451|protein_id:EFX86638.1	GO:0005515
locus_tag:DAPPUDRAFT_222043|protein_id:EFX86656.1	GO:0005524; GO:0003989; GO:0016874; GO:0046872; GO:0006633
locus_tag:DAPPUDRAFT_225600|protein_id:EFX77623.1	GO:0005509
locus_tag:DAPPUDRAFT_302528|protein_id:EFX82447.1	GO:0016255; GO:0016021; GO:0042765
locus_tag:DAPPUDRAFT_329246|protein_id:EFX69315.1	GO:0004812; GO:0006418; GO:0005524
locus_tag:DAPPUDRAFT_116580|protein_id:EFX66250.1	GO:0003676; GO:0008270
locus_tag:DAPPUDRAFT_241993|protein_id:EFX81791.1	GO:0005515; GO:0003676
locus_tag:DAPPUDRAFT_300631|protein_id:EFX69932.1	GO:0016787
locus_tag:DAPPUDRAFT_261451|protein_id:EFX67573.1	GO:0003676; GO:0008270
locus_tag:DAPPUDRAFT_100476|protein_id:EFX83244.1	GO:0016272; GO:0051082; GO:0006457
locus_tag:DAPPUDRAFT_310134|protein_id:EFX89814.1	GO:0043666; GO:0019903
locus_tag:DAPPUDRAFT_256153|protein_id:EFX71099.1	GO:0005515
