ID	CC	annotation
PF15231	4.45947775432881e-27	Variable charge X/Y family
PF04680	4.9763276649423e-27	Opioid growth factor receptor repeat
PF06758	1.57682489871834e-26	Repeat of unknown function (DUF1220)
PF15825	1.78547404401172e-26	FAM25 family
PF05240	1.88603766825019e-25	APOBEC-like C-terminal domain
PF08180	1.88603766825019e-25	B melanoma antigen family
PF15199	1.88603766825019e-25	D-amino acid oxidase activator
PF15354	1.88603766825019e-25	Kidney-associated antigen 1
PF15708	2.85507731418057e-25	Proline-rich protein family 20
PF16704	2.95929128713862e-25	Rab binding domain
PF14642	1.13124798323175e-24	FAM47 family
PF06409	2.2569012816151e-24	Nuclear pore complex interacting protein (NPIP)
PF05324	2.76366986087453e-23	Sperm antigen HE2
PF15039	2.76366986087453e-23	Domain of unknown function (DUF4530)
PF15840	8.16749118510599e-23	ADP-ribosylation factor-like protein 17
PF15623	3.86674611217537e-22	Cancer/testis gene family 47
PF12549	7.40014004250046e-22	Tyrosine hydroxylase N terminal
PF08954	1.02165203116518e-19	Trimerisation motif
PF06387	3.22909927203344e-19	D1 dopamine receptor-interacting protein (calcyon)
PF15897	1.42941850696155e-18	Domain of unknown function (DUF4741)
PF15826	2.969871564682e-18	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF15194	1.12298626529086e-17	TMEM191C family
PF15722	2.23332137111425e-17	FAM153 family
PF15750	2.82595475216278e-17	Ubiquitin-binding zinc-finger
PF14976	3.80895071251487e-17	FAM72 protein
PF00638	1.02579616492618e-16	RanBP1 domain
PF15682	1.18323284361078e-16	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF04774	1.47947196429422e-16	Hyaluronan / mRNA binding family
PF15441	3.12832839912449e-16	Rho guanine nucleotide exchange factor 5/35
PF15371	6.11542684414714e-16	Domain of unknown function (DUF4599)
PF15077	6.73702345015169e-16	Membrane-anchored junction protein
PF06881	7.17403814884012e-16	RNA polymerase II transcription factor SIII (Elongin) subunit A
PF14048	1.12379889706755e-15	C-terminal domain of methyl-CpG binding protein 2 and 3
PF06374	3.89197209483773e-15	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF14946	1.27332051320332e-14	Domain of unknown function (DUF4501)
PF17307	1.5011922155142e-14	Small integral membrane protein 3
PF15895	2.42547656237271e-14	CAAX box cerebral protein 1
PF15068	2.87066437419775e-14	FAM101 family
PF16564	4.05959178586576e-14	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF03516	9.54799746844789e-14	Filaggrin
PF07681	1.14720159488828e-13	DoxX
PF15176	1.23340033302006e-13	Leucine-rich repeat family 19 TM domain
PF13914	1.7716453668591e-13	Phostensin PP1-binding and SH3-binding region
PF11627	1.94752929995059e-13	Nuclear factor hnRNPA1
PF15127	1.95189830665685e-13	Small membrane A-kinase anchor protein
PF14982	2.91793950702709e-13	UPF0731 family
PF00034	3.39874500816439e-13	Cytochrome c
PF08563	4.01269162003898e-13	P53 transactivation motif
PF15167	4.46899821117296e-13	Domain of unknown function (DUF4581)
PF09310	4.49611793126621e-13	POU domain, class 2, associating factor 1
PF15229	5.94547770485581e-13	POM121 family
PF00252	7.84342557032298e-13	Ribosomal protein L16p/L10e
PF07192	7.89532091057725e-13	SNURF/RPN4 protein
PF04979	9.29576129916294e-13	Protein phosphatase inhibitor 2 (IPP-2)
PF03002	1.16427441522056e-12	Somatostatin/Cortistatin family
PF15157	1.27401849447425e-12	Fusion protein IQCJ-SCHIP1 with IQ-like motif
PF15444	1.39009627237055e-12	Transmembrane protein 247
PF15803	1.51825339812647e-12	Zinc-finger of sodium channel modifier 1
PF15732	1.78703854446978e-12	Domain of unknown function (DUF4681)
PF15248	2.04890512992657e-12	Domain of unknown function (DUF4587)
PF15212	2.68612048059357e-12	Spermatogenesis-associated protein 19, mitochondrial
PF03487	3.48547141893652e-12	Interleukin-13
PF12346	3.48547141893652e-12	Holliday junction recognition protein-associated repeat
PF15164	3.48547141893652e-12	Williams-Beuren syndrome chromosomal region 28 protein homologue
PF15838	3.48547141893652e-12	Domain of unknown function (DUF4717)
PF15372	3.85551412142995e-12	Domain of unknown function (DUF4600)
PF15304	4.59500241247232e-12	A-kinase anchor protein 2 C-terminus
PF15112	5.25390407040838e-12	Domain of unknown function (DUF4559)
PF15050	5.26331310477866e-12	SCIMP protein
PF12605	7.94889281010371e-12	Casein kinase 1 gamma C terminal
PF16780	8.54535821266836e-12	AIMP2 lysyl-tRNA synthetase binding domain
PF03508	8.54794282281296e-12	Gap junction alpha-1 protein (Cx43)
PF15184	8.54794282281296e-12	Mitochondrial import receptor subunit TOM6 homolog
PF15192	1.19040218241229e-11	TMEM213 family
PF16611	1.19040218241229e-11	Unstructured region between RBD and GoLoco
PF01465	1.21885805973868e-11	GRIP domain
PF16545	1.61156541492284e-11	Cerebral cavernous malformation protein, harmonin-homology
PF09042	1.80125199875701e-11	Titin Z
PF15812	1.85990957175885e-11	Melanoregulin
PF11109	1.98471415083144e-11	Orexigenic neuropeptide Qrfp/P518
PF02025	2.05285264798145e-11	Interleukin 5
