ann_term	CC	annotation
PF06758	7.17778246998868e-30	Olduvai domain
PF15840	1.33287375891718e-29	ADP-ribosylation factor-like protein 17
PF04680	1.52387148174686e-29	Opioid growth factor receptor repeat
PF15708	2.27324002551623e-28	Proline-rich protein family 20
PF15354	6.57434712382962e-28	Kidney-associated antigen 1
PF17713	6.57434712382962e-28	Family of unknown function (DUF5558)
PF16704	1.41034543569183e-26	Rab binding domain
PF02165	4.64656827071937e-26	Wilm's tumour protein
PF08180	3.60555700544835e-25	B melanoma antigen family
PF05324	7.01765275126694e-25	Sperm antigen HE2
PF15039	7.01765275126694e-25	Domain of unknown function (DUF4530)
PF17671	7.01765275126694e-25	Family of unknown function (DUF5531)
PF12549	3.03519804952449e-24	Tyrosine hydroxylase N terminal
PF15212	5.56006057408375e-24	Spermatogenesis-associated protein 19, mitochondrial
PF08954	2.31022191869152e-22	Trimerisation motif
PF15826	2.31022191869152e-22	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF15856	2.31022191869152e-22	Domain of unknown function (DUF4727)
PF15682	5.04455826322212e-21	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF14976	9.16049426552133e-21	FAM72 protein
PF17714	2.00108907571956e-20	Family of unknown function (DUF5559)
PF05281	2.67076275023308e-20	Neuroendocrine protein 7B2 precursor (Secretogranin V)
PF15870	9.02172948430166e-20	ElonginA binding-protein 1
PF04774	2.88981629941193e-19	Hyaluronan / mRNA binding family
PF06374	4.9089525707681e-19	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF15441	6.14012647170961e-19	Rho guanine nucleotide exchange factor 5/35
PF15623	1.6683504678379e-18	Cancer/testis gene family 47
PF15750	2.00114392842802e-18	Ubiquitin-binding zinc-finger
PF00446	5.46976633014859e-18	Gonadotropin-releasing hormone
PF13914	6.27576982100292e-18	Phostensin PP1-binding and SH3-binding region
PF12470	1.2261160299961e-17	Suppressor of Fused Gli/Ci N terminal binding domain
PF18464	7.43381167801516e-17	Proprotein convertase subtilisin-like/kexin type 9 C-terminal domain
PF00638	1.08823894293222e-16	RanBP1 domain
PF15825	1.70860129847838e-16	FAM25 family
PF15372	4.26683225466389e-16	Domain of unknown function (DUF4600)
PF17307	5.013358939443e-16	Small integral membrane protein 3
PF15076	6.68579823891269e-16	Domain of unknown function (DUF4543)
PF05240	7.29310824416515e-16	APOBEC-like C-terminal domain
PF08003	7.29310824416515e-16	Protein of unknown function (DUF1698)
PF15832	7.29310824416515e-16	FAM27 D and E protein family
PF15859	7.29310824416515e-16	Deleted in esophageal cancer 1 family
PF15895	7.29310824416515e-16	CAAX box cerebral protein 1
PF15897	7.29310824416515e-16	Domain of unknown function (DUF4741)
PF17691	7.29310824416515e-16	Contingent replication of cDNA 4
PF17698	7.29310824416515e-16	Family of unknown function (DUF5544)
PF17699	7.29310824416515e-16	Family of unknown function (DUF5545)
PF17706	7.29310824416515e-16	Family of unknown function (DUF5552)
PF17709	7.29310824416515e-16	Family of unknown function (DUF5554)
PF17711	7.29310824416515e-16	Family of unknown function (DUF5556)
PF17715	7.29310824416515e-16	Family of unknown function (DUF5560)
PF17705	1.2564840407623e-15	Family of unknown function (DUF5551)
PF07681	3.26198480810241e-15	DoxX
PF15788	5.13518283959271e-15	Domain of unknown function (DUF4705)
PF06573	6.8362326054765e-15	Churchill protein
PF00034	6.91509119347438e-15	Cytochrome c
PF17229	9.09412592507519e-15	Serine/threonine-protein kinase SMG1 N-terminal
PF11627	9.3569747037452e-15	Nuclear factor hnRNPA1
PF15112	9.97786665729304e-15	Domain of unknown function (DUF4559)
PF09387	1.69236846030372e-14	Mitochondrial RNA binding protein MRP
PF08563	1.72049122814027e-14	P53 transactivation motif
PF15167	1.72842053955348e-14	Domain of unknown function (DUF4581)
PF15510	2.01387864016537e-14	CENP-W protein
PF17704	2.48209501404906e-14	Family of unknown function (DUF5550)
PF17826	2.508353580479e-14	Family of unknown function (DUF5588)
PF08172	2.71210922271017e-14	CASP C terminal
PF03002	3.83183833323797e-14	Somatostatin/Cortistatin family
PF03247	4.71299959229196e-14	Prothymosin/parathymosin family
PF15248	5.38851648310589e-14	Domain of unknown function (DUF4587)
PF15851	5.56394594469041e-14	Domain of unknown function (DUF4723)
PF00801	5.94093340027361e-14	PKD domain
PF15803	6.09516855714351e-14	Zinc-finger of sodium channel modifier 1
PF15068	1.17590987909086e-13	FAM101 family
PF15812	1.21912345250513e-13	Melanoregulin
PF00252	1.28366827857888e-13	Ribosomal protein L16p/L10e
PF18619	1.32820881605448e-13	GPCR-Autoproteolysis-INducing (GAIN) subdomain A
PF00047	1.40084659347476e-13	Immunoglobulin domain
PF08916	1.98761835883334e-13	Phenylalanine zipper
PF03508	2.42706937716736e-13	Gap junction alpha-1 protein (Cx43)
PF15184	2.42706937716736e-13	Mitochondrial import receptor subunit TOM6 homolog
PF05831	3.00807069679592e-13	GAGE protein
PF14724	3.01399226647708e-13	Mitochondrial-associated sphingomyelin phosphodiesterase
PF15208	3.12893757021099e-13	Rab15 effector
PF06881	3.27998059744093e-13	RNA polymerase II transcription factor SIII (Elongin) subunit A
PF18587	4.27701367247964e-13	PTX/LNS-Like (PLL) domain
PF18463	4.68873180080451e-13	Proprotein convertase subtilisin-like/kexin type 9 C-terminal domain
PF05782	4.77601661366082e-13	Extracellular matrix protein 1 (ECM1)
PF15176	6.2973759308541e-13	Leucine-rich repeat family 19 TM domain
PF16545	7.86654395790306e-13	Cerebral cavernous malformation protein, harmonin-homology
PF15070	8.12220321099954e-13	Putative golgin subfamily A member 2-like protein 5
PF16553	8.86046411419805e-13	BCORL-PCGF1-binding domain
PF13564	1.19887433703193e-12	DoxX-like family
PF16689	1.32829395368031e-12	Coiled-coil N-terminus of APC, dimerisation domain
PF12934	1.39370849667184e-12	FTO C-terminal domain
PF15732	2.12976875539879e-12	Domain of unknown function (DUF4681)
PF01283	2.59786126873856e-12	Ribosomal protein S26e
PF08374	3.73081622969648e-12	Protocadherin
PF18782	6.48629937929263e-12	Novel AID APOBEC clade 2
PF15110	8.68202366393165e-12	TMEM141 protein family
PF13543	9.88440575581238e-12	SAM like domain present in kinase suppressor RAS 1
PF11027	1.03492730389925e-11	Protein of unknown function (DUF2615)
PF07975	1.16804972582301e-11	TFIIH C1-like domain
PF01465	1.17552454474309e-11	GRIP domain
PF06730	1.39142995392064e-11	FAM92 protein
PF15809	1.62306531336651e-11	Simian taste bud-specific gene product family
PF15100	1.86060501053938e-11	TMEM187 protein family
PF02812	2.62683529603352e-11	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF00208	2.63987255769028e-11	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF02060	2.70998148136468e-11	Slow voltage-gated potassium channel
PF18617	3.16809088627785e-11	Nucleoporin Nup214 phenylalanine-glycine (FG) domain
PF15716	3.41301281991053e-11	Domain of unknown function (DUF4672)
PF15670	3.5912827803139e-11	Spermatid maturation protein 1
PF03097	3.59900187115083e-11	BRO1-like domain
PF15679	3.7675308822157e-11	Domain of unknown function (DUF4665)
PF11002	4.30801959781963e-11	RFPL defining motif (RDM)
PF15157	4.83906870104282e-11	Fusion protein IQCJ-SCHIP1 with IQ-like motif
PF15079	4.8410476808906e-11	Testis-specific protein 35
PF01157	5.34379453459734e-11	Ribosomal protein L21e
PF18086	5.3955375494699e-11	Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain
PF17821	6.66762300049725e-11	Family of unknown function (DUF5583)
PF15169	7.40880545648616e-11	Domain of unknown function (DUF4564)
PF00318	7.64066090735018e-11	Ribosomal protein S2
PF15163	9.45975766928368e-11	Meiosis-expressed
PF15393	9.58971040636477e-11	Domain of unknown function (DUF4615)
PF10573	1.11321288422312e-10	Uncharacterised protein family UPF0561
PF06875	1.14490140043478e-10	Plethodontid receptivity factor PRF
PF15419	1.16992280393106e-10	Leukemia NUP98 fusion partner 1
PF01821	1.278476235641e-10	Anaphylotoxin-like domain
PF14982	1.31266497484813e-10	UPF0731 family
PF11277	1.57547177488029e-10	Mediator complex subunit 24 N-terminal
PF06941	1.5785551407025e-10	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
PF15255	1.95537091830102e-10	WASH complex subunit CAP-Z interacting, central region
PF02038	2.49938845573248e-10	ATP1G1/PLM/MAT8 family
PF15685	2.75734368721792e-10	Gametogenetin
PF10034	2.85224181484776e-10	Q-cell neuroblast polarisation
PF07469	2.88079649276272e-10	Domain of unknown function (DUF1518)
PF07213	3.65504776976763e-10	DAP10 membrane protein
PF13289	3.83086125453227e-10	SIR2-like domain
PF00525	3.84846270870226e-10	Alpha crystallin A chain, N terminal
PF15156	5.50829619680067e-10	Ceroid-lipofuscinosis neuronal protein 6
PF16101	6.01266266382649e-10	Proline-rich membrane anchor 1
PF14984	6.45104273338321e-10	CD24 protein
PF10630	6.69932081407085e-10	Protein of unknown function (DUF2476)
PF04104	6.76841760107604e-10	Eukaryotic and archaeal DNA primase, large subunit
PF04719	6.85515465925033e-10	hTAFII28-like protein conserved region
PF11069	6.94978626621819e-10	Protein of unknown function (DUF2870)
PF09443	7.12796066328181e-10	Cripto_Frl-1_Cryptic (CFC)
PF02218	8.62130884606146e-10	Repeat in HS1/Cortactin
PF05327	1.01684202879445e-09	RNA polymerase I specific transcription initiation factor RRN3
PF14835	1.05914653717754e-09	zf-RING of BARD1-type protein
