ann_term	CC	annotation
PF06008	0.960028760574516	Laminin Domain I
PF07546	0.946552868074419	EMI domain
PF00045	0.945732298731153	Hemopexin
PF14160	0.94532655835934	Centrosome-associated C terminus
PF06512	0.944833893417243	Sodium ion transport-associated
PF06009	0.943648293119383	Laminin Domain II
PF01463	0.94353305848794	Leucine rich repeat C-terminal domain
PF05986	0.942430381731925	ADAM-TS Spacer 1
PF08686	0.941651372566956	PLAC (protease and lacunin) domain
PF01034	0.937677987732843	Syndecan domain
PF07525	0.93614792688224	SOCS box
PF01586	0.936128647093778	Myogenic Basic domain
PF09047	0.933520062165203	MEF2 binding
PF12185	0.933520062165203	Nup358/RanBP2 E3 ligase domain
PF14919	0.933520062165203	MDM2-binding
PF18440	0.933520062165203	Putative GlcNAc-1 phosphotransferase regulatory domain
PF18104	0.933341570915544	Jumonji domain-containing protein 2A Tudor domain
PF05210	0.932566112638199	Sprouty protein (Spry)
PF00038	0.932286784476238	Intermediate filament protein
PF18411	0.931508972064502	Annexin-like domain
PF18696	0.931508972064502	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF00683	0.928743826388816	TB domain
PF00859	0.928057885756501	CTF/NF-I family transcription modulation region
PF12075	0.927405731913228	KN motif
PF11414	0.927022355688668	Adenomatous polyposis coli tumour suppressor protein
PF17960	0.925372124180846	TIG domain
PF15705	0.925085946175645	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF15068	0.923733863140696	FAM101 family
PF08504	0.923631026736425	Runx inhibition domain
PF11933	0.923528145153742	Cytoplasmic domain of voltage-gated Na+ ion channel
PF05760	0.922523339552848	Immediate early response protein (IER)
PF00229	0.921892059903138	TNF(Tumour Necrosis Factor) family
PF14161	0.921593382192173	Centrosome-associated N terminus
PF00880	0.921336566938674	Nebulin repeat
PF08430	0.921000785832472	Forkhead N-terminal region
PF06345	0.920705013751352	DRF Autoregulatory Domain
PF15706	0.920051994250188	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF05196	0.919145226290306	PTN/MK heparin-binding protein family, N-terminal domain
PF03250	0.918673874536984	Tropomodulin
PF15230	0.918571706086191	Serine/arginine repetitive matrix protein C-terminus
PF00019	0.918002005416148	Transforming growth factor beta like domain
PF05924	0.917607569866802	SAMP Motif
PF16423	0.917217710714033	Transcription factor COE1 helix-loop-helix domain
PF09289	0.915697477848865	Follistatin/Osteonectin-like EGF domain
PF16920	0.915090923321474	Tyrosine-protein kinase receptor C2 Ig-like domain
PF01839	0.913381507978303	FG-GAP repeat
PF06752	0.913231925179468	Enhancer of Polycomb C-terminus
PF04272	0.913129891850204	Phospholamban
PF06959	0.913129891850204	RecQ helicase protein-like 5 (RecQ5)
PF07941	0.913129891850204	Potassium channel Kv1.4 tandem inactivation domain
PF07988	0.913129891850204	LMSTEN motif
PF08157	0.913129891850204	NUC129 domain
PF08384	0.913129891850204	Pro-opiomelanocortin, N-terminal region
PF09034	0.913129891850204	TRADD, N-terminal domain
PF09263	0.913129891850204	Peroxisome biogenesis factor 1, N-terminal
PF09396	0.913129891850204	Thrombin light chain
PF10580	0.913129891850204	Gap junction protein N-terminal region
PF12162	0.913129891850204	STAT1 TAZ2 binding domain
PF12374	0.913129891850204	Double-sex mab3 related transcription factor 1
PF12547	0.913129891850204	Capicua transcriptional repressor modulator
PF13341	0.913129891850204	RAG2 PHD domain
PF14396	0.913129891850204	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
PF14669	0.913129891850204	Putative aspartate racemase
PF14991	0.913129891850204	Protein melan-A
PF15117	0.913129891850204	Uncharacterised protein family UPF0697
PF15355	0.913129891850204	Stretch-responsive small skeletal muscle X protein, Chisel
PF15429	0.913129891850204	Domain of unknown function (DUF4628)
PF15435	0.913129891850204	UNC119-binding protein C5orf30 homologue
PF16598	0.913129891850204	Linker region of enhancer of mRNA-decapping protein 3
PF16599	0.913129891850204	Unstructured linker region on PTN13 protein between PDZ
PF16602	0.913129891850204	Linker region of USP19 deubiquitinase
PF16606	0.913129891850204	Unstructured conserved, between two C2H2-type zinc-fingers
PF16638	0.913129891850204	Unstructured region on methyltransferase between zinc-fingers
PF16700	0.913129891850204	Synphilin-1 alpha-Synuclein-binding domain
PF16726	0.913129891850204	Inositol polyphosphate 5-phosphatase clathrin binding domain
PF17256	0.913129891850204	Anaphase-promoting complex, subunit 16
PF17756	0.913129891850204	RET Cadherin like domain 1
PF17812	0.913129891850204	RET Cadherin like domain 3
PF17813	0.913129891850204	RET Cadherin like domain 4
PF17968	0.913129891850204	Toll-like receptor 3 trans-membrane domain
PF18455	0.913129891850204	Gamma-aminobutyric acid type B receptor subunit 2 coiled-coil domain
PF01049	0.913012770016469	Cadherin cytoplasmic region
PF15321	0.91255002021189	ATPase family AAA domain containing 4
PF16519	0.912286975363697	Tetramerisation domain of TRPM
PF06621	0.911676809122507	Single-minded protein C-terminus
PF12336	0.911670665442494	SOX transcription factor
PF06789	0.911374195291558	Uncharacterised protein family (UPF0258)
PF12598	0.911374195291558	T-box transcription factor
PF05395	0.910654064114021	Protein phosphatase inhibitor 1/DARPP-32
PF14061	0.910401173970504	Polycomb-like MTF2 factor 2
PF03826	0.910379336212067	OAR domain
PF12845	0.910008286285518	TBD domain
PF06387	0.909904740775791	D1 dopamine receptor-interacting protein (calcyon)
PF14818	0.909775619718667	Domain of unknown function (DUF4482)
PF06668	0.909197828733228	Inter-alpha-trypsin inhibitor heavy chain C-terminus
PF11057	0.909195586042153	Cortexin of kidney
PF00123	0.908558672194273	Peptide hormone
PF10482	0.9085165383885	Tumour-suppressor protein CtIP N-terminal domain
PF12485	0.908394997297303	Lymphocyte signaling adaptor protein
PF12067	0.908308749210422	Sox 17/18 central domain
PF12310	0.907814468951087	Transcription factor protein N terminal
