ann_term	CC	annotation
PF00880	0.736053706040193	Nebulin repeat
PF11414	0.735257658938051	Adenomatous polyposis coli tumour suppressor protein
PF05986	0.735054823695671	ADAM-TS Spacer 1
PF06512	0.731017704327664	Sodium ion transport-associated
PF06009	0.730633396932152	Laminin Domain II
PF08686	0.721264373461333	PLAC (protease and lacunin) domain
PF06008	0.719033807535407	Laminin Domain I
PF14160	0.714240248818504	Centrosome-associated C terminus
PF06467	0.713570514990333	MYM-type Zinc finger with FCS sequence motif
PF01034	0.712163245720495	Syndecan domain
PF07686	0.70631583810757	Immunoglobulin V-set domain
PF00061	0.705337399914868	Lipocalin / cytosolic fatty-acid binding protein family
PF13909	0.705337399914868	C2H2-type zinc-finger domain
PF07474	0.705199955899703	G2F domain
PF10524	0.702732881921611	Nuclear factor I protein pre-N-terminus
PF01530	0.7018944557094	Zinc finger, C2HC type
PF02351	0.700786836044449	GDNF/GAS1 domain
PF05210	0.699419628392329	Sprouty protein (Spry)
PF00229	0.697373913141635	TNF(Tumour Necrosis Factor) family
PF14575	0.693766593157061	Ephrin type-A receptor 2 transmembrane domain
PF16423	0.693766593157061	Transcription factor COE1 helix-loop-helix domain
PF18039	0.693766593157061	UBA-like domain
PF07546	0.693639300884954	EMI domain
PF03250	0.693051690913061	Tropomodulin
PF04089	0.692806943146549	BRICHOS domain
PF05902	0.691327169882004	4.1 protein C-terminal domain (CTD)
PF14061	0.690862904389092	Polycomb-like MTF2 factor 2
PF16184	0.690840999713977	Cadherin-like
PF00683	0.690272455233991	TB domain
PF07303	0.690191436891358	Occludin homology domain
PF06021	0.688496765794039	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF11879	0.687135144433194	Domain of unknown function (DUF3399)
PF06461	0.686810915603231	Domain of Unknown Function (DUF1086)
PF01463	0.68574948701942	Leucine rich repeat C-terminal domain
PF07525	0.685265362480071	SOCS box
PF00007	0.68372222153038	Cystine-knot domain
PF00093	0.683082988714211	von Willebrand factor type C domain
PF06345	0.683082117158637	DRF Autoregulatory Domain
PF03520	0.682584580562775	KCNQ voltage-gated potassium channel
