ann_term	CC	annotation
PF15068	0.923883956964037	FAM101 family
PF06008	0.922053210881617	Laminin Domain I
PF06512	0.918944770778527	Sodium ion transport-associated
PF13914	0.918804500453422	Phostensin PP1-binding and SH3-binding region
PF00045	0.914901162685015	Hemopexin
PF15282	0.911795261210213	BMP-2-inducible protein kinase C-terminus
PF07546	0.911071948987423	EMI domain
PF14160	0.910323155462934	Centrosome-associated C terminus
PF12549	0.908685603303925	Tyrosine hydroxylase N terminal
PF02038	0.908293538967919	ATP1G1/PLM/MAT8 family
PF00859	0.908236160849626	CTF/NF-I family transcription modulation region
PF08686	0.906733661600354	PLAC (protease and lacunin) domain
PF01463	0.906563906282695	Leucine rich repeat C-terminal domain
PF06009	0.905325777169506	Laminin Domain II
PF00038	0.905276422322612	Intermediate filament protein
PF18104	0.905270023911366	Jumonji domain-containing protein 2A Tudor domain
PF15682	0.904784556200524	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF07525	0.904251232444757	SOCS box
PF00880	0.903413360773707	Nebulin repeat
PF08504	0.903240545781862	Runx inhibition domain
PF05986	0.903059480794605	ADAM-TS Spacer 1
PF00683	0.902598363114178	TB domain
PF01034	0.90207373172766	Syndecan domain
PF09047	0.901180853066295	MEF2 binding
PF12185	0.901180853066295	Nup358/RanBP2 E3 ligase domain
PF14919	0.901180853066295	MDM2-binding
PF18440	0.901180853066295	Putative GlcNAc-1 phosphotransferase regulatory domain
PF18411	0.900703444734024	Annexin-like domain
PF18696	0.900703444734024	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF01586	0.898587000337782	Myogenic Basic domain
PF14161	0.897391053158371	Centrosome-associated N terminus
PF05210	0.897384592996018	Sprouty protein (Spry)
PF00229	0.896593578957317	TNF(Tumour Necrosis Factor) family
PF00007	0.896140899155164	Cystine-knot domain
PF12075	0.895728077137123	KN motif
PF15705	0.895226899309795	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF11414	0.894417726283995	Adenomatous polyposis coli tumour suppressor protein
PF05760	0.893428891945069	Immediate early response protein (IER)
PF06387	0.893287730327189	D1 dopamine receptor-interacting protein (calcyon)
PF11057	0.893269407374802	Cortexin of kidney
PF05924	0.892523967601852	SAMP Motif
PF17960	0.891169020868275	TIG domain
PF11933	0.890949656589703	Cytoplasmic domain of voltage-gated Na+ ion channel
PF15230	0.89078885804976	Serine/arginine repetitive matrix protein C-terminus
PF09289	0.889873944976393	Follistatin/Osteonectin-like EGF domain
PF16920	0.889516543625477	Tyrosine-protein kinase receptor C2 Ig-like domain
PF16545	0.889144589250456	Cerebral cavernous malformation protein, harmonin-homology
PF03250	0.888850311957077	Tropomodulin
PF06467	0.88705364495025	MYM-type Zinc finger with FCS sequence motif
PF06345	0.886766924898374	DRF Autoregulatory Domain
PF08430	0.886037465641948	Forkhead N-terminal region
PF14818	0.88576573839719	Domain of unknown function (DUF4482)
PF06621	0.885488654028894	Single-minded protein C-terminus
PF01390	0.884846621463264	SEA domain
PF05196	0.884699278172684	PTN/MK heparin-binding protein family, N-terminal domain
PF04272	0.884414798911308	Phospholamban
PF06959	0.884414798911308	RecQ helicase protein-like 5 (RecQ5)
PF07941	0.884414798911308	Potassium channel Kv1.4 tandem inactivation domain
PF07988	0.884414798911308	LMSTEN motif
PF08157	0.884414798911308	NUC129 domain
PF08384	0.884414798911308	Pro-opiomelanocortin, N-terminal region
PF09034	0.884414798911308	TRADD, N-terminal domain
PF09263	0.884414798911308	Peroxisome biogenesis factor 1, N-terminal
PF09396	0.884414798911308	Thrombin light chain
PF10580	0.884414798911308	Gap junction protein N-terminal region
PF12162	0.884414798911308	STAT1 TAZ2 binding domain
PF12374	0.884414798911308	Double-sex mab3 related transcription factor 1
PF12547	0.884414798911308	Capicua transcriptional repressor modulator
PF13341	0.884414798911308	RAG2 PHD domain
PF14396	0.884414798911308	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
PF14669	0.884414798911308	Putative aspartate racemase
PF14991	0.884414798911308	Protein melan-A
PF15117	0.884414798911308	Uncharacterised protein family UPF0697
PF15355	0.884414798911308	Stretch-responsive small skeletal muscle X protein, Chisel
PF15429	0.884414798911308	Domain of unknown function (DUF4628)
PF15435	0.884414798911308	UNC119-binding protein C5orf30 homologue
PF16598	0.884414798911308	Linker region of enhancer of mRNA-decapping protein 3
PF16599	0.884414798911308	Unstructured linker region on PTN13 protein between PDZ
PF16602	0.884414798911308	Linker region of USP19 deubiquitinase
