ann_term	cv	annotation
PF00002	1.06379169137648	7 transmembrane receptor (Secretin family)
PF00003	1.80826577719763	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	0.3667217275685	ATPase family associated with various cellular activities (AAA)
PF00005	0.522179740277774	ABC transporter
PF00006	0.287579719927599	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	1.48736460482229	Cystine-knot domain
PF00008	1.41086903914313	EGF-like domain
PF00009	0.233750210707172	Elongation factor Tu GTP binding domain
PF00010	0.838071742201765	Helix-loop-helix DNA-binding domain
PF00011	1.03314544355766	Hsp20/alpha crystallin family
PF00012	0.392334378816613	Hsp70 protein
PF00013	0.631034633807131	KH domain
PF00014	1.46670661322062	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	5.73918736450887	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	3.74149240706149	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	1.10396716946024	SH2 domain
PF00018	0.990747005982182	SH3 domain
PF00019	1.29195494174432	Transforming growth factor beta like domain
PF00020	1.38483120878642	TNFR/NGFR cysteine-rich region
PF00021	1.79988601431863	u-PAR/Ly-6 domain
PF00022	0.49536112169093	Actin
PF00023	0.790357444727419	Ankyrin repeat
PF00024	1.44061183831119	PAN domain
PF00025	0.500550136538617	ADP-ribosylation factor family
PF00026	0.779727005834411	Eukaryotic aspartyl protease
PF00027	0.854991957639845	Cyclic nucleotide-binding domain
PF00028	1.27559581559684	Cadherin domain
PF00029	1.64850905552087	Connexin
PF00030	1.96256380320844	Beta/Gamma crystallin
PF00031	1.39832429483148	Cystatin domain
PF00032	2.38646979767985	Cytochrome b(C-terminal)/b6/petD
PF00033	2.79185322759712	Cytochrome b/b6/petB
PF00034	0.688709547464955	Cytochrome c
PF00035	0.778107080515024	Double-stranded RNA binding motif
PF00036	0.73190221511872	EF hand
PF00037	0.736794771408041	4Fe-4S binding domain
PF00038	1.46538911373445	Intermediate filament protein
PF00039	1.61543185592057	Fibronectin type I domain
PF00040	1.44633448627123	Fibronectin type II domain
PF00041	1.17099385157129	Fibronectin type III domain
PF00042	1.03407699083071	Globin
PF00043	0.992885176327084	Glutathione S-transferase, C-terminal domain
PF00044	0.771233213890302	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	1.37529670247028	Hemopexin
PF00046	0.991049227004336	Homeodomain
PF00047	1.40206065643881	Immunoglobulin domain
PF00048	1.83562926684589	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	1.32590523468234	Insulin/IGF/Relaxin family
PF00050	1.14891982813792	Kazal-type serine protease inhibitor domain
PF00051	2.31569760181534	Kringle domain
PF00052	0.998157961637046	Laminin B (Domain IV)
PF00053	1.07061551944328	Laminin EGF domain
PF00054	1.15208405424188	Laminin G domain
PF00055	1.17838239525395	Laminin N-terminal (Domain VI)
PF00056	0.561251122847756	lactate/malate dehydrogenase, NAD binding domain
PF00057	1.20323990460589	Low-density lipoprotein receptor domain class A
PF00058	1.18640512448636	Low-density lipoprotein receptor repeat class B
PF00059	1.64672509884882	Lectin C-type domain
PF00060	1.36077075051922	Ligand-gated ion channel
PF00061	1.60029601696053	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	1.62910828895598	C-type lysozyme/alpha-lactalbumin family
PF00063	0.857451843124911	Myosin head (motor domain)
PF00066	1.01181367532775	LNR domain
PF00067	0.948684252285696	Cytochrome P450
PF00068	1.27519456164164	Phospholipase A2
PF00069	0.596849200740638	Protein kinase domain
PF00070	6.78232998312527	Pyridine nucleotide-disulphide oxidoreductase
PF00071	0.613010421946286	Ras family
PF00072	1.62889291732675	Response regulator receiver domain
PF00074	2.15712641944845	Pancreatic ribonuclease
PF00075	1.90863538440747	RNase H
PF00076	0.504680988953466	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	3.52276546809603	Retroviral aspartyl protease
PF00078	1.66337391737631	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	1.1991229899866	Serpin (serine protease inhibitor)
PF00080	0.793982923998389	Copper/zinc superoxide dismutase (SODC)
PF00081	0.700665423247369	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	1.07970976470105	Subtilase family
PF00083	0.524301259115262	Sugar (and other) transporter
PF00084	1.41390828115328	Sushi repeat (SCR repeat)
PF00085	0.392524962676124	Thioredoxin
PF00086	1.15325984573119	Thyroglobulin type-1 repeat
PF00087	1.80866261354594	Snake toxin and toxin-like protein
PF00088	1.53423798290426	Trefoil (P-type) domain
PF00089	1.22902968968548	Trypsin
PF00090	1.30243079610327	Thrombospondin type 1 domain
PF00091	0.522996744901627	Tubulin/FtsZ family, GTPase domain
PF00092	1.16540149632109	von Willebrand factor type A domain
PF00093	1.29999078567495	von Willebrand factor type C domain
PF00094	1.37876702755721	von Willebrand factor type D domain
PF00095	1.27003847924548	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	1.59732989953169	Zinc finger, C2H2 type
PF00097	0.617401759476876	Zinc finger, C3HC4 type (RING finger)
PF00098	0.805985726180866	Zinc knuckle
PF00100	1.37835881245524	Zona pellucida-like domain
PF00101	2.50845483894216	Ribulose bisphosphate carboxylase, small chain
PF00102	1.01343159588219	Protein-tyrosine phosphatase
PF00103	2.65983393340411	Somatotropin hormone family
PF00104	1.76557285627168	Ligand-binding domain of nuclear hormone receptor
PF00105	1.81612094990542	Zinc finger, C4 type (two domains)
PF00106	0.434731400105362	short chain dehydrogenase
PF00107	0.623019779217725	Zinc-binding dehydrogenase
PF00108	0.368138553096122	Thiolase, N-terminal domain
PF00109	1.30302060442856	Beta-ketoacyl synthase, N-terminal domain
PF00110	1.13380138242063	wnt family
PF00111	0.77860857639137	2Fe-2S iron-sulfur cluster binding domain
PF00112	0.70501072486262	Papain family cysteine protease
PF00113	0.56341446270419	Enolase, C-terminal TIM barrel domain
PF00115	3.97654301823296	Cytochrome C and Quinol oxidase polypeptide I
PF00116	3.82777374616785	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	0.531362090319146	Glutamine amidotransferase class-I
PF00118	0.314513241630521	TCP-1/cpn60 chaperonin family
PF00119	2.35815370340631	ATP synthase A chain
PF00120	0.512641265083749	Glutamine synthetase, catalytic domain
PF00121	0.567974281225167	Triosephosphate isomerase
PF00122	0.456124858587334	E1-E2 ATPase
PF00123	1.6259649487642	Peptide hormone
PF00124	6.78232998312527	Photosynthetic reaction centre protein
PF00125	0.829098372242449	Core histone H2A/H2B/H3/H4
PF00126	5.73918736450887	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	2.52218803955753	Copper binding proteins, plastocyanin/azurin family
PF00128	0.616543006731841	Alpha amylase, catalytic domain
PF00129	1.85918625374812	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	0.984185796791513	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	2.2991587723945	Metallothionein
PF00132	0.613120295002395	Bacterial transferase hexapeptide (six repeats)
PF00133	0.209520412812105	tRNA synthetases class I (I, L, M and V)
PF00134	0.534774695055125	Cyclin, N-terminal domain
PF00135	1.37653848326105	Carboxylesterase family
PF00136	0.221899782520762	DNA polymerase family B
PF00137	0.354506451243306	ATP synthase subunit C
PF00139	2.88792883595872	Legume lectin domain
PF00140	3.82777374616785	Sigma-70 factor, region 1.2
PF00141	2.62970895460434	Peroxidase
PF00142	6.78232998312527	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00143	2.39983119957418	Interferon alpha/beta domain
PF00144	1.33541914432758	Beta-lactamase
PF00145	0.930877441123288	C-5 cytosine-specific DNA methylase
PF00146	3.27617663341483	NADH dehydrogenase
PF00147	1.73518722863749	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148	6.78232998312527	Nitrogenase component 1 type Oxidoreductase
PF00149	0.482326421517644	Calcineurin-like phosphoesterase
PF00150	1.44700506274351	Cellulase (glycosyl hydrolase family 5)
PF00151	1.41213612590257	Lipase
PF00152	0.456745859363116	tRNA synthetases class II (D, K and N)
PF00153	0.25224487256697	Mitochondrial carrier protein
PF00154	1.96094683762717	recA bacterial DNA recombination protein
PF00155	0.379950567003128	Aminotransferase class I and II
PF00156	0.380662695520891	Phosphoribosyl transferase domain
PF00157	1.25409740082681	Pou domain - N-terminal to homeobox domain
PF00158	3.46979915453899	Sigma-54 interaction domain
PF00159	1.60818680179796	Pancreatic hormone peptide
PF00160	0.31439234905905	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	4.12074889171512	Ribosome inactivating protein
PF00162	0.661596077747937	Phosphoglycerate kinase
PF00163	0.438192409048656	Ribosomal protein S4/S9 N-terminal domain
PF00164	0.403281463408911	Ribosomal protein S12/S23
PF00166	1.15766629139691	Chaperonin 10 Kd subunit
PF00167	1.33088532944564	Fibroblast growth factor
PF00168	0.6928670030347	C2 domain
PF00169	0.849750658242647	PH domain
PF00170	0.978086287625001	bZIP transcription factor
PF00171	0.350021587490217	Aldehyde dehydrogenase family
PF00172	3.12805961468024	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173	0.288404680072421	Cytochrome b5-like Heme/Steroid binding domain
PF00174	0.723485687244576	Oxidoreductase molybdopterin binding domain
PF00175	0.298022412678395	Oxidoreductase NAD-binding domain
PF00176	0.273284896478788	SNF2 family N-terminal domain
PF00177	0.303938481971344	Ribosomal protein S7p/S5e
PF00178	1.13117393987469	Ets-domain
PF00179	0.360641178565921	Ubiquitin-conjugating enzyme
PF00180	0.342766374745143	Isocitrate/isopropylmalate dehydrogenase
PF00181	0.438394241778422	Ribosomal Proteins L2, RNA binding domain
PF00182	2.36356419268588	Chitinase class I
PF00183	1.73284587339343	Hsp90 protein
PF00184	1.54803197232793	Neurohypophysial hormones, C-terminal Domain
PF00185	0.276974532575281	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	0.495228588799633	Dihydrofolate reductase
PF00187	3.01478675666615	Chitin recognition protein
PF00188	0.840485621598453	Cysteine-rich secretory protein family
PF00189	0.455903279476922	Ribosomal protein S3, C-terminal domain
PF00190	2.86292197899781	Cupin
PF00191	0.795697404021219	Annexin
PF00193	1.54442215336083	Extracellular link domain
