Feature	GO
locus_tag:ACHHYP_16529|protein_id:OQR96263.1	GO:0006468; GO:0005524; GO:0005515; GO:0004672
locus_tag:ACHHYP_20573|protein_id:OQR85456.1	GO:0055114; GO:0016620; GO:0016491
locus_tag:ACHHYP_09464|protein_id:OQR87149.1	GO:0006508; GO:0008236; GO:0004252
locus_tag:ACHHYP_07907|protein_id:OQR87910.1	GO:0004491; GO:0055114; GO:0016491; GO:0016620
locus_tag:ACHHYP_08027|protein_id:OQR87795.1	GO:0005515
locus_tag:ACHHYP_09676|protein_id:OQR97902.1	GO:0007018; GO:0008017; GO:0003777; GO:0005524
locus_tag:ACHHYP_09241|protein_id:OQR87281.1	GO:0050661; GO:0055114; GO:0016491; GO:0016180; GO:0032039; GO:0051287
locus_tag:ACHHYP_08841|protein_id:OQR87446.1	GO:0006508; GO:0004252
locus_tag:ACHHYP_05174|protein_id:OQR90856.1	GO:0042578
locus_tag:ACHHYP_14075|protein_id:OQR83960.1	GO:0006468; GO:0005524; GO:0004672
locus_tag:ACHHYP_15998|protein_id:OQR96358.1	GO:0003676
locus_tag:ACHHYP_03861|protein_id:OQR92274.1	GO:0016810; GO:0016787; GO:0008448; GO:0006044
locus_tag:ACHHYP_13614|protein_id:OQR96772.1	GO:0005515
locus_tag:ACHHYP_11926|protein_id:OQR85342.1	GO:0035091
locus_tag:ACHHYP_01516|protein_id:OQS01239.1	GO:0003677; GO:0006351; GO:0003899
locus_tag:ACHHYP_13804|protein_id:OQR96682.1	GO:0005515; GO:0004842
locus_tag:ACHHYP_08962|protein_id:OQR87365.1	GO:0016021; GO:0006952
locus_tag:ACHHYP_00243|protein_id:OQR95171.1	GO:0007165
locus_tag:ACHHYP_13199|protein_id:OQR96858.1	GO:0005515
locus_tag:ACHHYP_01365|protein_id:OQS01334.1	GO:0008270
locus_tag:ACHHYP_01042|protein_id:OQR94627.1	GO:0005515; GO:0005509
locus_tag:ACHHYP_03497|protein_id:OQR92573.1	GO:0046872; GO:0055114; GO:0004784; GO:0006801
locus_tag:ACHHYP_12545|protein_id:OQR84966.1	GO:0005840; GO:0003735; GO:0015935; GO:0006412
locus_tag:ACHHYP_00056|protein_id:OQR95714.1	GO:0003777; GO:0005524; GO:0008017; GO:0007018
locus_tag:ACHHYP_03856|protein_id:OQR92277.1	GO:0006412; GO:0003735; GO:0005840; GO:0003723
locus_tag:ACHHYP_15148|protein_id:OQR83056.1	GO:0003677; GO:0003676
locus_tag:ACHHYP_12471|protein_id:OQR85007.1	GO:0032259; GO:0008168; GO:0003676
locus_tag:ACHHYP_16057|protein_id:OQR82428.1	GO:0070072
locus_tag:ACHHYP_05685|protein_id:OQR90249.1	GO:0005576; GO:0030248; GO:0005975
locus_tag:ACHHYP_03104|protein_id:OQR92901.1	GO:0055085; GO:0005887
locus_tag:ACHHYP_13616|protein_id:OQR96763.1	GO:0008270
locus_tag:ACHHYP_15733|protein_id:OQR82636.1	GO:0004672; GO:0005509; GO:0005524; GO:0006468
locus_tag:ACHHYP_16541|protein_id:OQR96204.1	GO:0042254; GO:0003723; GO:1990904; GO:0005730
locus_tag:ACHHYP_09138|protein_id:OQR87313.1	GO:0005509
locus_tag:ACHHYP_11807|protein_id:OQR85461.1	GO:0006511; GO:0008270
locus_tag:ACHHYP_03227|protein_id:OQR92759.1	GO:0005200; GO:0005525; GO:0003924; GO:0007017; GO:0005874
locus_tag:ACHHYP_08955|protein_id:OQR98260.1	GO:0004842; GO:0005515
locus_tag:ACHHYP_12634|protein_id:OQR84844.1	GO:0005216; GO:0016020; GO:0055085; GO:0006811; GO:0005509
locus_tag:ACHHYP_16384|protein_id:OQR82090.1	GO:0005524; GO:0016020; GO:0016887
locus_tag:ACHHYP_13248|protein_id:OQR84546.1	GO:0003950; GO:0006471
locus_tag:ACHHYP_01635|protein_id:OQR94188.1	GO:0043666
locus_tag:ACHHYP_17339|protein_id:OQR95999.1	GO:0030245; GO:0004553
locus_tag:ACHHYP_08750|protein_id:OQR98325.1	GO:0005515
locus_tag:ACHHYP_12867|protein_id:OQR96994.1	GO:0016791; GO:0008138; GO:0016311; GO:0006470
locus_tag:ACHHYP_07279|protein_id:OQR88182.1	GO:0022857; GO:0016021; GO:0055085
locus_tag:ACHHYP_14187|protein_id:OQR83855.1	GO:0008239; GO:0016787
locus_tag:ACHHYP_07779|protein_id:OQR87977.1	GO:0005509
locus_tag:ACHHYP_04939|protein_id:OQR99697.1	GO:0005515
locus_tag:ACHHYP_11593|protein_id:OQR85656.1	GO:0006468; GO:0005524; GO:0004672
locus_tag:ACHHYP_05011|protein_id:OQR91015.1	GO:0005515
locus_tag:ACHHYP_20659|protein_id:OQR84542.1	GO:0008168; GO:0006479
locus_tag:ACHHYP_03990|protein_id:OQR99890.1	GO:0003995; GO:0016627; GO:0050660; GO:0055114
locus_tag:ACHHYP_16108|protein_id:OQR96321.1	GO:0019867
locus_tag:ACHHYP_05106|protein_id:OQR90959.1	GO:0003824; GO:0006629; GO:0030729
locus_tag:ACHHYP_10631|protein_id:OQR86362.1	GO:0008017; GO:0003777; GO:0005524; GO:0007018
locus_tag:ACHHYP_09885|protein_id:OQR97879.1	GO:0005634; GO:0006334
locus_tag:ACHHYP_13875|protein_id:OQR84116.1	GO:0008270
locus_tag:ACHHYP_13037|protein_id:OQR84700.1	GO:0030001; GO:0046872
locus_tag:ACHHYP_16048|protein_id:OQR82439.1	GO:0008270
locus_tag:ACHHYP_00279|protein_id:OQS01762.1	GO:0044341; GO:0016020; GO:0015321
locus_tag:ACHHYP_04173|protein_id:OQR91937.1	GO:0008080
locus_tag:ACHHYP_10676|protein_id:OQR86314.1	GO:0005515
locus_tag:ACHHYP_11004|protein_id:OQR97486.1	GO:0016491; GO:0071949; GO:0050660; GO:0055114
locus_tag:ACHHYP_08264|protein_id:OQR98666.1	GO:0055085
locus_tag:ACHHYP_09643|protein_id:OQR87009.1	GO:0019239
locus_tag:ACHHYP_14798|protein_id:OQR83359.1	GO:0046983
locus_tag:ACHHYP_17061|protein_id:OQR80906.1	GO:0005515; GO:0008176; GO:0006400
locus_tag:ACHHYP_01484|protein_id:OQS01262.1	GO:0016573; GO:0006334; GO:0006337; GO:0042393; GO:0006333; GO:0005634
locus_tag:ACHHYP_08362|protein_id:OQR98556.1	GO:0046872; GO:0000398; GO:0003723; GO:0089701; GO:0003676
locus_tag:ACHHYP_00304|protein_id:OQS01699.1	GO:0001510; GO:0008168; GO:0003676; GO:0032259; GO:0009452
locus_tag:ACHHYP_06184|protein_id:OQR89599.1	GO:0035091
locus_tag:ACHHYP_01870|protein_id:OQR94063.1	GO:0004672; GO:0005524; GO:0006468
locus_tag:ACHHYP_16266|protein_id:OQR82294.1	GO:0005515
locus_tag:ACHHYP_20040|protein_id:OQR94782.1	GO:0005975; GO:0006044; GO:0004342
locus_tag:ACHHYP_08104|protein_id:OQR87738.1	GO:0000724
locus_tag:ACHHYP_06290|protein_id:OQR89439.1	GO:0055114; GO:0016491
locus_tag:ACHHYP_05227|protein_id:OQR90787.1	GO:0005337; GO:1901642; GO:0016021
locus_tag:ACHHYP_09528|protein_id:OQR87113.1	GO:0005887; GO:0055085
locus_tag:ACHHYP_13486|protein_id:OQR84359.1	GO:0035091
locus_tag:ACHHYP_00559|protein_id:OQS01580.1	GO:0045254; GO:0006090; GO:0004742; GO:0016746
locus_tag:ACHHYP_02146|protein_id:OQS00896.1	GO:0005515
locus_tag:ACHHYP_20630|protein_id:OQR97162.1	GO:0008410
locus_tag:ACHHYP_05085|protein_id:OQR99676.1	GO:0006886; GO:0016020; GO:0005484; GO:0016192
locus_tag:ACHHYP_20059|protein_id:OQR94475.1	GO:0004326; GO:0005524; GO:0009058; GO:0009396; GO:0016874
locus_tag:ACHHYP_14897|protein_id:OQR83260.1	GO:0005515
locus_tag:ACHHYP_01743|protein_id:OQS01163.1	GO:0004474; GO:0003824; GO:0006097
locus_tag:ACHHYP_02223|protein_id:OQS00834.1	GO:0004672; GO:0005524; GO:0006468
locus_tag:ACHHYP_06345|protein_id:OQR89332.1	GO:0004672; GO:0006468; GO:0005524
locus_tag:ACHHYP_14283|protein_id:OQR83797.1	GO:0016020
locus_tag:ACHHYP_01028|protein_id:OQR94631.1	GO:0005515; GO:0046872
locus_tag:ACHHYP_13737|protein_id:OQR84178.1	GO:0000287; GO:0016021; GO:0005524; GO:0015914; GO:0000166; GO:0140326
locus_tag:ACHHYP_01190|protein_id:OQS01384.1	GO:0005509
locus_tag:ACHHYP_12916|protein_id:OQR96986.1	GO:0005524; GO:0016020; GO:0016887
locus_tag:ACHHYP_01391|protein_id:OQS01340.1	GO:0009331; GO:0005975; GO:0004367; GO:0055114; GO:0016491; GO:0006072; GO:0046168; GO:0016616; GO:0051287
locus_tag:ACHHYP_05565|protein_id:OQR90399.1	GO:0005643
locus_tag:ACHHYP_20071|protein_id:OQS01170.1	GO:0004672; GO:0003779; GO:0006468; GO:0005524
locus_tag:ACHHYP_02689|protein_id:OQS00768.1	GO:0003924; GO:0005525
locus_tag:ACHHYP_15244|protein_id:OQR83028.1	GO:0005524; GO:0006468; GO:0004672
locus_tag:ACHHYP_01677|protein_id:OQR94128.1	GO:0006662; GO:0015035; GO:0045454
locus_tag:ACHHYP_06309|protein_id:OQR89399.1	GO:0005515; GO:0006508; GO:0005576
locus_tag:ACHHYP_08634|protein_id:OQR98414.1	GO:0055114; GO:0016491; GO:0051537
locus_tag:ACHHYP_16528|protein_id:OQR96258.1	GO:0005975; GO:0009045
locus_tag:ACHHYP_16963|protein_id:OQR80959.1	GO:0005680; GO:0004842
locus_tag:ACHHYP_01405|protein_id:OQR94350.1	GO:0000049
locus_tag:ACHHYP_20431|protein_id:OQR87061.1	GO:0003676
locus_tag:ACHHYP_12741|protein_id:OQR97045.1	GO:0006606; GO:0006396; GO:0005515
locus_tag:ACHHYP_06624|protein_id:OQR88808.1	GO:0071949
locus_tag:ACHHYP_00780|protein_id:OQS01444.1	GO:0016787
locus_tag:ACHHYP_14974|protein_id:OQR83203.1	GO:0006355; GO:0006289; GO:0000439
locus_tag:ACHHYP_01388|protein_id:OQS01319.1	GO:0003723
locus_tag:ACHHYP_13446|protein_id:OQR84382.1	GO:0008270; GO:0003676
locus_tag:ACHHYP_07505|protein_id:OQR98976.1	GO:0016020; GO:0016192
locus_tag:ACHHYP_12728|protein_id:OQR97066.1	GO:0008654; GO:0016020; GO:0016780
locus_tag:ACHHYP_03352|protein_id:OQR92681.1	GO:0016757; GO:0006486
locus_tag:ACHHYP_03443|protein_id:OQS00516.1	GO:0008270
locus_tag:ACHHYP_02118|protein_id:OQR93891.1	GO:0016787
locus_tag:ACHHYP_16034|protein_id:OQR82446.1	GO:0007165
locus_tag:ACHHYP_04780|protein_id:OQR91331.1	GO:0072546
locus_tag:ACHHYP_03973|protein_id:OQR92174.1	GO:0003677; GO:0016787; GO:0005524
locus_tag:ACHHYP_08582|protein_id:OQR98474.1	GO:0005509; GO:0005515
locus_tag:ACHHYP_16525|protein_id:OQR81278.1	GO:0033897; GO:0003723
locus_tag:ACHHYP_05278|protein_id:OQR90753.1	GO:0003676; GO:0005515
locus_tag:ACHHYP_14855|protein_id:OQR83310.1	GO:0016887; GO:0016021; GO:0055085; GO:0042626; GO:0005524
locus_tag:ACHHYP_15475|protein_id:OQR82827.1	GO:0004672; GO:0005524; GO:0006468
locus_tag:ACHHYP_12143|protein_id:OQR97317.1	GO:0019825; GO:0020037
locus_tag:ACHHYP_13676|protein_id:OQR84250.1	GO:0008270
locus_tag:ACHHYP_07104|protein_id:OQR99306.1	GO:0005759
locus_tag:ACHHYP_02863|protein_id:OQS00713.1	GO:0005515; GO:0006614
locus_tag:ACHHYP_06881|protein_id:OQR88327.1	GO:0008652; GO:0004072
locus_tag:ACHHYP_04380|protein_id:OQR91770.1	GO:0008237; GO:0004222; GO:0006508
locus_tag:ACHHYP_16662|protein_id:OQR81200.1	GO:0004672; GO:0005524; GO:0006468; GO:0004713
locus_tag:ACHHYP_14129|protein_id:OQR83921.1	GO:0005515; GO:0005524; GO:0006468; GO:0004672
locus_tag:ACHHYP_07009|protein_id:OQR88256.1	GO:0003824; GO:0003857; GO:0055114; GO:0006631; GO:0016491
locus_tag:ACHHYP_05116|protein_id:OQR90964.1	GO:0003735; GO:0006412; GO:0005840
locus_tag:ACHHYP_02142|protein_id:OQS00907.1	GO:0007034
locus_tag:ACHHYP_07368|protein_id:OQR99071.1	GO:0016829; GO:0009264; GO:0005737; GO:0004139; GO:0003824; GO:0003677
locus_tag:ACHHYP_12928|protein_id:OQR97015.1	GO:0006400; GO:0008176
locus_tag:ACHHYP_04078|protein_id:OQR92142.1	GO:0004674; GO:0005524; GO:0006468; GO:0004672
locus_tag:ACHHYP_06336|protein_id:OQR89340.1	GO:0016020; GO:0055114; GO:0016651; GO:0051539
locus_tag:ACHHYP_15533|protein_id:OQR82746.1	GO:0005515; GO:0008017
locus_tag:ACHHYP_05349|protein_id:OQR90638.1	GO:0016787
locus_tag:ACHHYP_20629|protein_id:OQR97124.1	GO:0005515
locus_tag:ACHHYP_00476|protein_id:OQR95067.1	GO:0003677; GO:0005634
locus_tag:ACHHYP_01507|protein_id:OQS01267.1	GO:0005515
locus_tag:ACHHYP_02440|protein_id:OQR93591.1	GO:0015293; GO:0016021
locus_tag:ACHHYP_02610|protein_id:OQR93372.1	GO:0005515
locus_tag:ACHHYP_05446|protein_id:OQR90531.1	GO:0005524; GO:0016021; GO:0042626; GO:0055085; GO:0016887
locus_tag:ACHHYP_15439|protein_id:OQR82851.1	GO:0046872
locus_tag:ACHHYP_03987|protein_id:OQR99885.1	GO:0005515
locus_tag:ACHHYP_12768|protein_id:OQR97088.1	GO:0008168
locus_tag:ACHHYP_17168|protein_id:OQR80797.1	GO:0051082; GO:0006457; GO:0016272
locus_tag:ACHHYP_00038|protein_id:OQR95788.1	GO:0003676
locus_tag:ACHHYP_12574|protein_id:OQR84896.1	GO:0046872
locus_tag:ACHHYP_13066|protein_id:OQR84688.1	GO:0008270; GO:0003677
locus_tag:ACHHYP_13634|protein_id:OQR96738.1	GO:0035091
locus_tag:ACHHYP_15993|protein_id:OQR96365.1	GO:0046872; GO:0008289
locus_tag:ACHHYP_17068|protein_id:OQR96057.1	GO:0006811; GO:0055085; GO:0016020; GO:0015075
locus_tag:ACHHYP_02057|protein_id:OQS00955.1	GO:0015031
locus_tag:ACHHYP_12406|protein_id:OQR85029.1	GO:0003677
locus_tag:ACHHYP_04521|protein_id:OQR91645.1	GO:0005515; GO:0006468; GO:0005524; GO:0004672
locus_tag:ACHHYP_05129|protein_id:OQR90930.1	GO:0003676
locus_tag:ACHHYP_09085|protein_id:OQR87344.1	GO:0003896; GO:0016779; GO:0006269
locus_tag:ACHHYP_09624|protein_id:OQR86989.1	GO:0005634; GO:0051726
locus_tag:ACHHYP_20146|protein_id:OQR92279.1	GO:0005634
