ann_term	q_val	annotation
PF15282	0.000507393996036162	BMP-2-inducible protein kinase C-terminus
PF00859	0.00781719309773809	CTF/NF-I family transcription modulation region
PF12016	0.00781719309773809	Stonin 2
PF15920	0.00867036921577676	N-terminal of Junction-mediating and WASP homolog-associated
PF13908	0.00867036921577676	Wnt and FGF inhibitory regulator
PF11414	0.00867036921577676	Adenomatous polyposis coli tumour suppressor protein
PF02038	0.0105559753796531	ATP1G1/PLM/MAT8 family
PF08504	0.0127581430561206	Runx inhibition domain
PF03508	0.0160546508563	Gap junction alpha-1 protein (Cx43)
PF15184	0.0160546508563	Mitochondrial import receptor subunit TOM6 homolog
PF08383	0.019530396824424	Maf N-terminal region
PF14946	0.0230507803209756	Domain of unknown function (DUF4501)
PF17695	0.0321739508266178	Family of unknown function (DUF5541)
PF17821	0.0321739508266178	Family of unknown function (DUF5583)
PF06008	0.0321739508266178	Laminin Domain I
PF07525	0.0370814345749096	SOCS box
PF15298	0.0380848386371523	AJAP1/PANP C-terminus
PF16665	0.0380848386371523	Unstructured region on nuclear receptor coactivator protein
PF05760	0.0380848386371523	Immediate early response protein (IER)
PF14161	0.0380848386371523	Centrosome-associated N terminus
PF08466	0.0380848386371523	Inward rectifier potassium channel N-terminal
PF00038	0.040890937549804	Intermediate filament protein
PF18587	0.040890937549804	PTX/LNS-Like (PLL) domain
PF00123	0.0410540524539642	Peptide hormone
PF02060	0.0410540524539642	Slow voltage-gated potassium channel
PF00045	0.0416425788563789	Hemopexin
PF13916	0.0439361494962203	PP1-regulatory protein, Phostensin N-terminal
PF05986	0.044544404476421	ADAM-TS Spacer 1
PF12881	0.044544404476421	NUT protein
PF09047	0.0451802688619856	MEF2 binding
PF12185	0.0451802688619856	Nup358/RanBP2 E3 ligase domain
PF14919	0.0451802688619856	MDM2-binding
PF18440	0.0451802688619856	Putative GlcNAc-1 phosphotransferase regulatory domain
PF14160	0.048267560023836	Centrosome-associated C terminus
PF00007	0.0521508048287863	Cystine-knot domain
PF01463	0.0521508048287863	Leucine rich repeat C-terminal domain
PF16553	0.0523280840955883	BCORL-PCGF1-binding domain
PF15706	0.0523280840955883	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF04089	0.0523280840955883	BRICHOS domain
PF18411	0.0523280840955883	Annexin-like domain
PF18696	0.0523280840955883	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF17229	0.0523280840955883	Serine/threonine-protein kinase SMG1 N-terminal
PF00801	0.0523280840955883	PKD domain
PF12284	0.0565144396384803	Hox protein A13 N terminal
PF14981	0.0570850637601752	FAM165 family
PF01271	0.0645134620612965	Granin (chromogranin or secretogranin)
PF00969	0.0645134620612965	Class II histocompatibility antigen, beta domain
PF08832	0.0645134620612965	Steroid receptor coactivator
PF03826	0.0645134620612965	OAR domain
PF06512	0.0645134620612965	Sodium ion transport-associated
PF09387	0.0645134620612965	Mitochondrial RNA binding protein MRP
PF00054	0.0645134620612965	Laminin G domain
PF08686	0.0645134620612965	PLAC (protease and lacunin) domain
PF15177	0.0645134620612965	Interleukin-28A
PF11628	0.0645134620612965	T-cell surface glycoprotein CD3 zeta chain
PF15342	0.0645134620612965	FAM212 family
PF18162	0.0696311257252024	Arc C-lobe
PF00193	0.0720262725494594	Extracellular link domain
PF16218	0.0753758377584826	Peptidase family C101
PF03700	0.0818084091786596	Sorting nexin, N-terminal domain
PF02991	0.0848835640506188	Autophagy protein Atg8 ubiquitin like
PF06009	0.0869250163131406	Laminin Domain II
PF15155	0.0919579054760634	MORF4 family-associated protein1
PF05604	0.0919579054760634	Protein of unknown function (DUF776)
PF14707	0.0919579054760634	C-terminal region of aryl-sulfatase
PF18606	0.0919579054760634	Zap  helix turn helix N-terminal domain
PF08081	0.0919579054760634	RBM1CTR (NUC064) family
PF16920	0.0946576825120875	Tyrosine-protein kinase receptor C2 Ig-like domain
PF09596	0.0963026896361228	MamL-1 domain
PF00688	0.0963026896361228	TGF-beta propeptide
PF18861	0.0963026896361228	Transmembrane domain of protein tyrosine phosphatase, receptor type J
PF13914	0.0963026896361228	Phostensin PP1-binding and SH3-binding region
PF15147	0.0963026896361228	Domain of unknown function (DUF4578)
PF03185	0.0963026896361228	Calcium-activated potassium channel, beta subunit
PF15235	0.0963026896361228	G protein-regulated inducer of neurite outgrowth C-terminus
PF15716	0.0963026896361228	Domain of unknown function (DUF4672)
PF17700	0.0963026896361228	Family of unknown function (DUF5546)
PF06789	0.0963026896361228	Uncharacterised protein family (UPF0258)
PF12598	0.0963026896361228	T-box transcription factor
PF00157	0.0963026896361228	Pou domain - N-terminal to homeobox domain
PF10541	0.0963026896361228	Nuclear envelope localisation domain
PF00993	0.0963026896361228	Class II histocompatibility antigen, alpha domain
PF10581	0.0963026896361228	Synapsin N-terminal
PF00594	0.0963026896361228	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF01114	0.0963026896361228	Colipase, N-terminal domain
PF18452	0.0963026896361228	Immunoglobulin domain
PF11057	0.0963026896361228	Cortexin of kidney
PF04272	0.0963026896361228	Phospholamban
PF06959	0.0963026896361228	RecQ helicase protein-like 5 (RecQ5)
PF07941	0.0963026896361228	Potassium channel Kv1.4 tandem inactivation domain
PF07988	0.0963026896361228	LMSTEN motif
PF08157	0.0963026896361228	NUC129 domain
PF08384	0.0963026896361228	Pro-opiomelanocortin, N-terminal region
PF09034	0.0963026896361228	TRADD, N-terminal domain
PF09263	0.0963026896361228	Peroxisome biogenesis factor 1, N-terminal
PF09396	0.0963026896361228	Thrombin light chain
PF10580	0.0963026896361228	Gap junction protein N-terminal region
PF12162	0.0963026896361228	STAT1 TAZ2 binding domain
PF12374	0.0963026896361228	Double-sex mab3 related transcription factor 1
PF12547	0.0963026896361228	Capicua transcriptional repressor modulator
PF13341	0.0963026896361228	RAG2 PHD domain
PF14396	0.0963026896361228	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
PF14669	0.0963026896361228	Putative aspartate racemase
PF14991	0.0963026896361228	Protein melan-A
PF15117	0.0963026896361228	Uncharacterised protein family UPF0697
PF15355	0.0963026896361228	Stretch-responsive small skeletal muscle X protein, Chisel
PF15429	0.0963026896361228	Domain of unknown function (DUF4628)
PF15435	0.0963026896361228	UNC119-binding protein C5orf30 homologue
PF16598	0.0963026896361228	Linker region of enhancer of mRNA-decapping protein 3
PF16599	0.0963026896361228	Unstructured linker region on PTN13 protein between PDZ
PF16602	0.0963026896361228	Linker region of USP19 deubiquitinase
PF16606	0.0963026896361228	Unstructured conserved, between two C2H2-type zinc-fingers
PF16638	0.0963026896361228	Unstructured region on methyltransferase between zinc-fingers
PF16700	0.0963026896361228	Synphilin-1 alpha-Synuclein-binding domain
PF16726	0.0963026896361228	Inositol polyphosphate 5-phosphatase clathrin binding domain
PF17256	0.0963026896361228	Anaphase-promoting complex, subunit 16
PF17756	0.0963026896361228	RET Cadherin like domain 1
PF17812	0.0963026896361228	RET Cadherin like domain 3
PF17813	0.0963026896361228	RET Cadherin like domain 4
PF17968	0.0963026896361228	Toll-like receptor 3 trans-membrane domain
PF18455	0.0963026896361228	Gamma-aminobutyric acid type B receptor subunit 2 coiled-coil domain
PF11933	0.0971648912825718	Cytoplasmic domain of voltage-gated Na+ ion channel
PF00779	0.0971648912825718	BTK motif
PF17061	0.0971648912825718	PARM
PF12485	0.104241436899816	Lymphocyte signaling adaptor protein
PF15703	0.104359160615681	Linker for activation of T-cells family member 2
PF15297	0.105552436228244	Cytoskeleton-associated protein 2 C-terminus
PF14982	0.109002175657544	UPF0731 family
PF17960	0.110319918413618	TIG domain
PF05210	0.111344332440978	Sprouty protein (Spry)
PF08430	0.111714002656844	Forkhead N-terminal region
PF06345	0.113152641988427	DRF Autoregulatory Domain
PF15760	0.113806660063312	Leukemia-associated protein 7
PF14967	0.113806660063312	FAM70 protein
PF06907	0.116449987217191	Latexin
PF12549	0.116449987217191	Tyrosine hydroxylase N terminal
PF17226	0.116603866808975	MTA R1 domain
PF15331	0.121689610232398	Cellular tumour antigen p53-inducible 5
PF01759	0.125093877038341	UNC-6/NTR/C345C module
PF03736	0.125797338135053	EPTP domain
PF00159	0.128960855539547	Pancreatic hormone peptide
PF11404	0.129621898890196	Potassium voltage-gated channel
PF01034	0.129621898890196	Syndecan domain
PF08736	0.129767841695402	FERM adjacent (FA)
PF08815	0.131442060523972	Nuclear receptor coactivator
PF06387	0.131442060523972	D1 dopamine receptor-interacting protein (calcyon)
PF15763	0.131713962811539	Regulator of human erythroid cell expansion (RHEX)
PF15317	0.132853217644545	Cardiac transcription factor regulator, Developmental protein
PF16279	0.134000665229455	Domain of unknown function (DUF4927)
PF01586	0.136977025444574	Myogenic Basic domain
PF07469	0.136977025444574	Domain of unknown function (DUF1518)
PF12533	0.137497833580033	Neuronal helix-loop-helix transcription factor
PF10608	0.138404743360836	Polyubiquitination (PEST) N-terminal domain of MAGUK
PF00219	0.141135343524324	Insulin-like growth factor binding protein
PF00683	0.143894240153115	TB domain
PF05395	0.145092571658642	Protein phosphatase inhibitor 1/DARPP-32
PF17902	0.146538804222985	SH3 domain
PF06328	0.15061628528548	Ig-like C2-type domain
PF08327	0.154195053011353	Activator of Hsp90 ATPase homolog 1-like protein
PF06758	0.156151870787139	Olduvai domain
PF15010	0.156151870787139	Putative cell signalling
PF16597	0.156724848158209	Thyroglobulin_1 repeat associated disordered domain
PF11627	0.157089784008735	Nuclear factor hnRNPA1
PF08143	0.157089784008735	CBFNT (NUC161) domain
PF08702	0.158807713077121	Fibrinogen alpha/beta chain family
PF15728	0.162042824922963	Domain of unknown function (DUF4679)
PF15451	0.163507779251613	Domain of unknown function (DUF4632)
PF16174	0.163811221579126	Intracellular hyaluronan-binding protein 4 N-terminal
PF15237	0.163811221579126	PTRF/SDPR family
PF07400	0.166760977488319	Interleukin 11
PF00019	0.167988974188777	Transforming growth factor beta like domain
PF16519	0.167988974188777	Tetramerisation domain of TRPM
PF17887	0.167988974188777	Jak1 pleckstrin homology-like domain
PF12403	0.169431200649215	Paired-box protein 2 C terminal
PF12336	0.169431200649215	SOX transcription factor
PF17722	0.169682353525224	Family of unknown function (DUF5567)
PF18695	0.172847122958584	Cytosolic phospholipases A2 C2-domain
PF15380	0.175944334587043	Domain of unknown function (DUF4607)
PF07681	0.17637469015727	DoxX
PF15208	0.17637469015727	Rab15 effector
PF15766	0.17637469015727	Domain of unknown function (DUF4695)
PF00039	0.17637469015727	Fibronectin type I domain
PF15829	0.17637469015727	Domain of unknown function (DUF4711)
PF16644	0.17637469015727	Regulatory region of Na+/H+ exchanger NHE binds to calmodulin
PF03509	0.17637469015727	Gap junction alpha-8 protein (Cx50)
PF08365	0.17637469015727	Insulin-like growth factor II E-peptide
PF09303	0.17637469015727	KCNMB2, ball and chain domain
PF14665	0.17637469015727	Rapamycin-insensitive companion of mTOR, phosphorylation-site
PF15187	0.17637469015727	Oesophageal cancer-related gene 4
PF16801	0.17637469015727	Dimerisation domain of Male-specific-Lethal 1
PF18442	0.17637469015727	E3 gp78 Ube2g2-binding region (G2BR)
PF18445	0.17637469015727	PR zinc knuckle motif
PF15733	0.178801636263427	Domain of unknown function (DUF4682)
PF06365	0.181633003566522	CD34/Podocalyxin family
PF02793	0.183489616795968	Hormone receptor domain
PF18016	0.183489616795968	SAM domain (Sterile alpha motif)
PF09289	0.183489616795968	Follistatin/Osteonectin-like EGF domain
PF08368	0.183489616795968	FAST kinase-like protein, subdomain 2
PF09724	0.183489616795968	Sister chromatid cohesion protein Dcc1
PF14818	0.183986484131519	Domain of unknown function (DUF4482)
PF15156	0.186922742759039	Ceroid-lipofuscinosis neuronal protein 6
PF11109	0.186922742759039	Orexigenic neuropeptide Qrfp/P518
PF04691	0.186922742759039	Apolipoprotein C-I (ApoC-1)
PF15764	0.186922742759039	Domain of unknown function (DUF4693)
PF06409	0.186922742759039	Nuclear pore complex interacting protein (NPIP)
PF14826	0.186922742759039	FACT complex subunit SPT16 N-terminal lobe domain
PF17217	0.186922742759039	UPA domain
PF08916	0.186922742759039	Phenylalanine zipper
PF18102	0.189305992517179	Deltex C-terminal domain
PF02198	0.189305992517179	Sterile alpha motif (SAM)/Pointed domain
PF08412	0.189690079660046	Ion transport protein N-terminal
PF14662	0.19243501302235	Coiled-coil region of CCDC155 or KASH
PF07292	0.197330641376884	Nmi/IFP 35 domain (NID)
PF15831	0.199227214658362	Domain of unknown function (DUF4713)
PF16184	0.201544005344192	Cadherin-like
PF12203	0.203628492980444	Glutamine rich N terminal domain of histone deacetylase 4
PF15085	0.210165526636189	Neuropeptide FF
PF15170	0.210165526636189	Calcium/calmodulin-dependent protein kinase II inhibitor
PF17988	0.210568959693715	VEGFR-2 Transmembrane domain
PF15229	0.211902789659995	POM121 family
PF12845	0.211902789659995	TBD domain
PF15419	0.211902789659995	Leukemia NUP98 fusion partner 1
PF01530	0.211902789659995	Zinc finger, C2HC type
PF12595	0.211902789659995	Rhomboid serine protease
PF16629	0.211902789659995	Armadillo-associated region on APC
PF11914	0.211902789659995	Domain of unknown function (DUF3432)
PF15828	0.211902789659995	Domain of unknown function (DUF4710)
PF15825	0.211902789659995	FAM25 family
PF14917	0.211902789659995	Coiled coil protein 74, C terminal
PF18193	0.211902789659995	Fibrillin 1 unique N-terminal domain
PF14642	0.211902789659995	FAM47 family
PF04617	0.211902789659995	Hox9 activation region
PF00435	0.211902789659995	Spectrin repeat
PF08374	0.211902789659995	Protocadherin
PF06535	0.211902789659995	Repulsive guidance molecule (RGM) N-terminus
PF17950	0.211902789659995	S-adenosylmethionine decarboxylase N -terminal
PF12232	0.211902789659995	Myogenic determination factor 5
PF02828	0.211902789659995	L27 domain
PF06679	0.211902789659995	Protein of unknown function (DUF1180)
PF14653	0.211902789659995	Insulin growth factor-like family
PF16675	0.211902789659995	KIX-binding domain of forkhead box O, CR2
PF15070	0.211902789659995	Putative golgin subfamily A member 2-like protein 5
PF06390	0.211902789659995	Neuroendocrine-specific golgi protein P55 (NESP55)
PF01160	0.211902789659995	Vertebrate endogenous opioids neuropeptide
PF04812	0.211902789659995	Hepatocyte nuclear factor 1 (HNF-1), beta isoform C terminus
PF03250	0.211902789659995	Tropomodulin
PF00904	0.211902789659995	Involucrin repeat
PF15231	0.211902789659995	Variable charge X/Y family
PF03875	0.211902789659995	Statherin
PF04680	0.211902789659995	Opioid growth factor receptor repeat
PF05240	0.211902789659995	APOBEC-like C-terminal domain
PF08003	0.211902789659995	Protein of unknown function (DUF1698)
PF08180	0.211902789659995	B melanoma antigen family
PF15199	0.211902789659995	D-amino acid oxidase activator
PF15291	0.211902789659995	Dermcidin, antibiotic peptide
PF15338	0.211902789659995	p53-regulated apoptosis-inducing protein 1
PF15357	0.211902789659995	Psoriasis susceptibility 1 candidate 1
PF15399	0.211902789659995	Domain of unknown function (DUF4620)
PF15722	0.211902789659995	FAM153 family
PF15788	0.211902789659995	Domain of unknown function (DUF4705)
PF15832	0.211902789659995	FAM27 D and E protein family
PF15840	0.211902789659995	ADP-ribosylation factor-like protein 17
PF15859	0.211902789659995	Deleted in esophageal cancer 1 family
PF15895	0.211902789659995	CAAX box cerebral protein 1
PF15897	0.211902789659995	Domain of unknown function (DUF4741)
PF17691	0.211902789659995	Contingent replication of cDNA 4
PF17693	0.211902789659995	Family of unknown function (DUF5539)
PF17694	0.211902789659995	Family of unknown function (DUF5540)
PF17697	0.211902789659995	Family of unknown function (DUF5543)
PF17698	0.211902789659995	Family of unknown function (DUF5544)
PF17699	0.211902789659995	Family of unknown function (DUF5545)
PF17702	0.211902789659995	Family of unknown function (DUF5548)
PF17706	0.211902789659995	Family of unknown function (DUF5552)
PF17707	0.211902789659995	Family of unknown function (DUF5553)
PF17709	0.211902789659995	Family of unknown function (DUF5554)
PF17711	0.211902789659995	Family of unknown function (DUF5556)
PF17712	0.211902789659995	Family of unknown function (DUF5557)
PF17715	0.211902789659995	Family of unknown function (DUF5560)
PF17731	0.211902789659995	Family of unknown function (DUF5570)
PF18521	0.211902789659995	Transactivation domain 2
PF12414	0.211902789659995	Calcitonin gene-related peptide regulator C terminal
PF08629	0.211902789659995	PDE8 phosphodiesterase
PF05956	0.211902789659995	APC basic domain
PF15233	0.211902789659995	Synaptonemal complex central element protein 1
PF17720	0.211902789659995	Family of unknown function (DUF5565)
PF12310	0.213108100770536	Transcription factor protein N terminal
PF17771	0.216148831254872	ADAM cysteine-rich domain
PF05507	0.218107656533537	Microfibril-associated glycoprotein (MAGP)
PF15269	0.218107656533537	Zinc-finger
PF11502	0.218772212575403	B-cell lymphoma 9 protein
PF17971	0.21894061799725	Leukemia inhibitory factor receptor D2 domain
PF11002	0.21894061799725	RFPL defining motif (RDM)
PF15815	0.21894061799725	E3 ubiquitin-protein ligase makorin-1, C-terminal
PF09457	0.227051035755156	FIP domain
PF10577	0.227051035755156	Uncharacterised protein family UPF0560
PF15708	0.227051035755156	Proline-rich protein family 20
PF18377	0.227051035755156	FERM F2 acyl-CoA binding protein-like domain
PF15058	0.227051035755156	Speriolin N terminus
PF15215	0.227051035755156	Follicular dendritic cell secreted peptide
PF15854	0.227051035755156	G-protein coupled receptor ligand 15
PF18279	0.227051035755156	Werner helicase-interacting protein 1 ubiquitin-binding domain
PF05366	0.228270977363586	Sarcolipin
PF15207	0.228270977363586	TMEM240 family
PF02165	0.228270977363586	Wilm's tumour protein
PF09060	0.228270977363586	L27_N
PF16551	0.228270977363586	Putative nuclear localisation signal of quaking
PF06407	0.230355554514158	Borna disease virus P40 protein
PF07679	0.230355554514158	Immunoglobulin I-set domain
PF10600	0.2318004654152	PDZ-associated domain of NMDA receptors
PF16493	0.232655118958769	N-terminal of Homeobox Meis and PKNOX1
PF18414	0.235253890071439	C2H2 type zinc-finger
PF01101	0.235253890071439	HMG14 and HMG17
PF09420	0.23645384159479	Ribosome biogenesis protein Nop16
PF00093	0.241850146200046	von Willebrand factor type C domain
PF15223	0.241850146200046	Elongin BC and Polycomb repressive complex 2-associated protein
PF02736	0.241850146200046	Myosin N-terminal SH3-like domain
PF16417	0.241850146200046	CCR4-NOT transcription complex subunit 1 TTP binding domain
PF12618	0.241887605832302	Protein of unknown function (DUF3776)
PF11971	0.242057096921289	CAMSAP CH domain
PF04054	0.248457289782598	CCR4-Not complex component, Not1
PF12842	0.248457289782598	Domain of unknown function (DUF3819)
PF11515	0.248457289782598	Mouse development and cellular proliferation protein Cullin-7
PF03371	0.250562366637211	PRP38 family
PF15066	0.250562366637211	Cancer-associated gene protein 1 family
PF15480	0.250562366637211	Domain of unknown function (DUF4640)
PF18619	0.250562366637211	GPCR-Autoproteolysis-INducing (GAIN) subdomain A
PF06607	0.253909530186854	Prokineticin
PF10524	0.253981562294172	Nuclear factor I protein pre-N-terminus
PF18379	0.254285565888676	FERM F1 ubiquitin-like domain
PF02072	0.25721083268193	Prepro-orexin
PF03546	0.25721083268193	Treacher Collins syndrome protein Treacle
PF10177	0.25721083268193	Uncharacterised conserved protein (DUF2371)
PF04101	0.25879307979214	Glycosyltransferase family 28 C-terminal domain
PF15194	0.261250095298411	TMEM191C family
PF11936	0.262290009306326	Domain of unknown function (DUF3454)
PF18210	0.262886788236417	Knl1 RWD C-terminal domain
PF00058	0.263418367806024	Low-density lipoprotein receptor repeat class B
