ann_term	CC	annotation
PF15282	5.16694496981835e-08	BMP-2-inducible protein kinase C-terminus
PF00859	2.19366990140926e-06	CTF/NF-I family transcription modulation region
PF12016	2.38814453087722e-06	Stonin 2
PF15920	4.11191086590874e-06	N-terminal of Junction-mediating and WASP homolog-associated
PF13908	4.54293426719571e-06	Wnt and FGF inhibitory regulator
PF11414	5.29757793224649e-06	Adenomatous polyposis coli tumour suppressor protein
PF02038	7.52462603437596e-06	ATP1G1/PLM/MAT8 family
PF08504	1.03935992310555e-05	Runx inhibition domain
PF03508	1.63489316255601e-05	Gap junction alpha-1 protein (Cx43)
PF15184	1.63489316255601e-05	Mitochondrial import receptor subunit TOM6 homolog
PF08383	2.18772265854036e-05	Maf N-terminal region
PF14946	2.81679596590333e-05	Domain of unknown function (DUF4501)
PF17695	4.83906627567754e-05	Family of unknown function (DUF5541)
PF17821	4.83906627567754e-05	Family of unknown function (DUF5583)
PF06008	4.91455460691718e-05	Laminin Domain I
PF07525	6.04178160079993e-05	SOCS box
PF15298	7.30658711897017e-05	AJAP1/PANP C-terminus
PF16665	7.43539366854587e-05	Unstructured region on nuclear receptor coactivator protein
PF05760	7.60237858061218e-05	Immediate early response protein (IER)
PF14161	7.91535549642765e-05	Centrosome-associated N terminus
PF08466	8.14441559450305e-05	Inward rectifier potassium channel N-terminal
PF00038	9.43170402622179e-05	Intermediate filament protein
PF18587	9.5773071654327e-05	PTX/LNS-Like (PLL) domain
PF00123	0.000103437545110617	Peptide hormone
PF02060	0.000104516426817628	Slow voltage-gated potassium channel
PF00045	0.000110255300434405	Hemopexin
PF13916	0.00012080204036639	PP1-regulatory protein, Phostensin N-terminal
PF05986	0.000127016879849602	ADAM-TS Spacer 1
PF12881	0.000131546611997577	NUT protein
PF09047	0.000151827787418078	MEF2 binding
PF12185	0.000151827787418078	Nup358/RanBP2 E3 ligase domain
PF14919	0.000151827787418078	MDM2-binding
PF18440	0.000151827787418078	Putative GlcNAc-1 phosphotransferase regulatory domain
PF14160	0.000167117824929778	Centrosome-associated C terminus
PF00007	0.000190283353998433	Cystine-knot domain
PF01463	0.00019118421322162	Leucine rich repeat C-terminal domain
PF16553	0.00020510431088853	BCORL-PCGF1-binding domain
PF15706	0.00021203195549347	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF04089	0.000213485540037112	BRICHOS domain
PF18411	0.00022488224071892	Annexin-like domain
PF18696	0.00022488224071892	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF17229	0.000227098243173941	Serine/threonine-protein kinase SMG1 N-terminal
PF00801	0.000229135195123248	PKD domain
PF12284	0.000253221521801745	Hox protein A13 N terminal
PF14981	0.00026159143270956	FAM165 family
PF01271	0.000303767222774071	Granin (chromogranin or secretogranin)
PF00969	0.000314515762475905	Class II histocompatibility antigen, beta domain
PF08832	0.00031697205094568	Steroid receptor coactivator
PF03826	0.000331785699932842	OAR domain
PF06512	0.000342916233846732	Sodium ion transport-associated
PF09387	0.000350439321854852	Mitochondrial RNA binding protein MRP
PF00054	0.000358499818276284	Laminin G domain
PF08686	0.000360558513249561	PLAC (protease and lacunin) domain
PF15177	0.000365165427594001	Interleukin-28A
PF11628	0.000366208118213803	T-cell surface glycoprotein CD3 zeta chain
PF15342	0.000367897543323076	FAM212 family
PF18162	0.000404172522030197	Arc C-lobe
PF00193	0.000425409756402102	Extracellular link domain
PF16218	0.000452869086328969	Peptidase family C101
PF03700	0.000499847713922564	Sorting nexin, N-terminal domain
PF02991	0.000527280795019119	Autophagy protein Atg8 ubiquitin like
PF06009	0.00054881374861657	Laminin Domain II
PF15155	0.000604204128052049	MORF4 family-associated protein1
PF05604	0.000604409706841257	Protein of unknown function (DUF776)
PF14707	0.000610615553528625	C-terminal region of aryl-sulfatase
PF18606	0.000621327291828577	Zap  helix turn helix N-terminal domain
PF08081	0.000627411371374363	RBM1CTR (NUC064) family
PF16920	0.000655470713932989	Tyrosine-protein kinase receptor C2 Ig-like domain
PF09596	0.000685504833916969	MamL-1 domain
PF00688	0.000721357869542782	TGF-beta propeptide
PF18861	0.000729250397791763	Transmembrane domain of protein tyrosine phosphatase, receptor type J
PF13914	0.000738713154782957	Phostensin PP1-binding and SH3-binding region
PF15147	0.000739296433355431	Domain of unknown function (DUF4578)
PF03185	0.000752429028476349	Calcium-activated potassium channel, beta subunit
PF15235	0.000752592450708322	G protein-regulated inducer of neurite outgrowth C-terminus
PF15716	0.000779772100165474	Domain of unknown function (DUF4672)
PF17700	0.00084176757377182	Family of unknown function (DUF5546)
PF06789	0.000958530072509429	Uncharacterised protein family (UPF0258)
PF12598	0.000958530072509429	T-box transcription factor
PF00157	0.000990898312181206	Pou domain - N-terminal to homeobox domain
PF10541	0.00101137820133347	Nuclear envelope localisation domain
PF00993	0.00103860613933107	Class II histocompatibility antigen, alpha domain
PF10581	0.00105760163436247	Synapsin N-terminal
PF00594	0.0010638167564808	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF01114	0.00111779775677517	Colipase, N-terminal domain
PF18452	0.00114019800564123	Immunoglobulin domain
PF11057	0.00115842678503167	Cortexin of kidney
PF04272	0.00118662173584225	Phospholamban
PF06959	0.00118662173584225	RecQ helicase protein-like 5 (RecQ5)
PF07941	0.00118662173584225	Potassium channel Kv1.4 tandem inactivation domain
PF07988	0.00118662173584225	LMSTEN motif
PF08157	0.00118662173584225	NUC129 domain
PF08384	0.00118662173584225	Pro-opiomelanocortin, N-terminal region
PF09034	0.00118662173584225	TRADD, N-terminal domain
PF09263	0.00118662173584225	Peroxisome biogenesis factor 1, N-terminal
PF09396	0.00118662173584225	Thrombin light chain
PF10580	0.00118662173584225	Gap junction protein N-terminal region
PF12162	0.00118662173584225	STAT1 TAZ2 binding domain
PF12374	0.00118662173584225	Double-sex mab3 related transcription factor 1
PF12547	0.00118662173584225	Capicua transcriptional repressor modulator
PF13341	0.00118662173584225	RAG2 PHD domain
PF14396	0.00118662173584225	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
PF14669	0.00118662173584225	Putative aspartate racemase
PF14991	0.00118662173584225	Protein melan-A
PF15117	0.00118662173584225	Uncharacterised protein family UPF0697
PF15355	0.00118662173584225	Stretch-responsive small skeletal muscle X protein, Chisel
PF15429	0.00118662173584225	Domain of unknown function (DUF4628)
PF15435	0.00118662173584225	UNC119-binding protein C5orf30 homologue
PF16598	0.00118662173584225	Linker region of enhancer of mRNA-decapping protein 3
PF16599	0.00118662173584225	Unstructured linker region on PTN13 protein between PDZ
PF16602	0.00118662173584225	Linker region of USP19 deubiquitinase
PF16606	0.00118662173584225	Unstructured conserved, between two C2H2-type zinc-fingers
PF16638	0.00118662173584225	Unstructured region on methyltransferase between zinc-fingers
PF16700	0.00118662173584225	Synphilin-1 alpha-Synuclein-binding domain
PF16726	0.00118662173584225	Inositol polyphosphate 5-phosphatase clathrin binding domain
PF17256	0.00118662173584225	Anaphase-promoting complex, subunit 16
PF17756	0.00118662173584225	RET Cadherin like domain 1
PF17812	0.00118662173584225	RET Cadherin like domain 3
PF17813	0.00118662173584225	RET Cadherin like domain 4
PF17968	0.00118662173584225	Toll-like receptor 3 trans-membrane domain
PF18455	0.00118662173584225	Gamma-aminobutyric acid type B receptor subunit 2 coiled-coil domain
PF11933	0.00121575510473388	Cytoplasmic domain of voltage-gated Na+ ion channel
PF00779	0.00122586813790428	BTK motif
PF17061	0.00122692938075753	PARM
PF12485	0.00132690220086324	Lymphocyte signaling adaptor protein
PF15703	0.00133902792643338	Linker for activation of T-cells family member 2
PF15297	0.00136508751537545	Cytoskeleton-associated protein 2 C-terminus
PF14982	0.0014208022896299	UPF0731 family
