Feature	Pfam
0	PF10255
1	PF03798
2	PF00179
3	PF00038
4	PF10324
5	PF10324
6	PF10327
7	PF10326
8	PF02932
9	PF02931
10	PF07716
11	PF00083
12	PF02535
13	PF01733
14	PF01733
15	PF02118
16	PF10325
17	PF12925
18	PF02177
19	PF10515
20	PF12924
21	PF00201
22	PF02931
23	PF00001
24	PF07690
25	PF01853
26	PF02752
27	PF00339
28	PF10328
29	PF04142
30	PF01400
31	PF07735
32	PF00625
33	PF00069
34	PF00595
35	PF02828
36	PF07653
37	PF05222
38	PF01262
39	PF12769
40	PF02233
41	PF02118
42	PF02118
43	PF00001
44	PF04707
45	PF00650
46	PF03765
47	PF13520
48	PF07653
49	PF00620
50	PF01674
51	PF00024
52	PF00024
53	PF00024
54	PF00024
55	PF00053
56	PF00053
57	PF00053
58	PF00053
59	PF00053
60	PF00053
61	PF12662
62	PF14670
63	PF14670
64	PF14670
65	PF14670
66	PF14670
67	PF14670
68	PF00008
69	PF02769
70	PF00586
71	PF17787
72	PF00387
73	PF00388
74	PF02520
75	PF00079
76	PF00005
77	PF00005
78	PF12698
79	PF12698
80	PF00667
81	PF00258
82	PF00175
83	PF10326
84	PF10326
85	PF00084
86	PF00084
87	PF00084
88	PF00084
89	PF00084
90	PF00084
91	PF00084
92	PF00084
93	PF00084
94	PF00084
95	PF01757
96	PF07714
97	PF14604
98	PF03351
99	PF10328
100	PF10322
101	PF13432
102	PF18253
103	PF13855
104	PF13855
105	PF13855
106	PF13855
107	PF07679
108	PF07679
109	PF13927
110	PF03125
111	PF00757
112	PF01030
113	PF01030
114	PF07714
115	PF00059
116	PF00059
117	PF00431
118	PF07857
119	PF07857
120	PF00211
121	PF00211
122	PF01699
123	PF01699
124	PF01030
125	PF00100
126	PF01579
127	PF00135
128	PF00001
129	PF01579
130	PF05172
131	PF01757
132	PF10317
133	PF00569
134	PF03096
135	PF10327
136	PF00520
137	PF12796
138	PF12796
139	PF12796
140	PF12796
141	PF12796
142	PF12796
143	PF12796
144	PF12796
145	PF01234
146	PF10328
147	PF10328
148	PF04427
149	PF07717
150	PF00271
151	PF00270
152	PF04408
153	PF10326
154	PF00008
155	PF00057
156	PF00057
157	PF00057
158	PF00057
159	PF00057
160	PF00057
161	PF00057
162	PF00057
163	PF00057
164	PF00057
165	PF00057
166	PF00057
167	PF00057
168	PF00057
169	PF00057
170	PF00057
171	PF00057
172	PF00057
173	PF00057
174	PF00057
175	PF00057
176	PF00058
177	PF00058
178	PF00917
179	PF00651
180	PF00860
181	PF00001
182	PF00069
183	PF00041
184	PF13927
185	PF07679
186	PF07679
187	PF07679
188	PF07679
189	PF07679
190	PF07679
191	PF07679
192	PF07679
193	PF07679
194	PF07679
195	PF07679
196	PF07679
197	PF07679
198	PF07679
199	PF07679
200	PF07679
201	PF07679
202	PF07679
203	PF00078
204	PF13965
205	PF13965
206	PF13965
207	PF13965
208	PF04161
209	PF00104
210	PF00105
211	PF14721
212	PF07992
213	PF00536
214	PF00536
215	PF07647
216	PF10325
217	PF03160
218	PF03160
219	PF16494
220	PF01699
221	PF01699
222	PF16044
223	PF00431
224	PF00059
225	PF00059
226	PF00096
227	PF00096
228	PF00096
229	PF01094
230	PF00069
231	PF00211
232	PF01595
233	PF00505
234	PF12589
235	PF13649
236	PF02932
237	PF02931
238	PF00307
239	PF03271
240	PF01365
241	PF01365
242	PF08709
243	PF06459
244	PF00561
245	PF02026
246	PF02026
247	PF02026
248	PF02026
249	PF13499
250	PF02815
251	PF00622
252	PF00622
253	PF00622
254	PF08454
255	PF00520
256	PF04083
257	PF10319
258	PF00013
259	PF00013
260	PF00013
261	PF00013
262	PF03226
263	PF01762
264	PF03464
265	PF03463
266	PF03465
267	PF12947
268	PF00008
269	PF00008
270	PF00008
271	PF00014
272	PF00014
273	PF00014
274	PF00014
275	PF07645
276	PF00999
277	PF00069
278	PF01079
279	PF10318
280	PF10327
281	PF01391
282	PF01391
283	PF00536
284	PF00635
285	PF00635
286	PF00635
287	PF00635
288	PF07738
289	PF13637
290	PF00531
291	PF12796
292	PF12796
293	PF12796
294	PF12796
295	PF13857
296	PF17809
297	PF00791
298	PF03383
299	PF00046
300	PF00096
301	PF00096
302	PF00096
303	PF02118
304	PF00014
305	PF00014
306	PF07690
307	PF07690
308	PF01496
309	PF01496
310	PF01757
311	PF02931
312	PF02932
313	PF00057
314	PF00057
315	PF00057
316	PF01549
317	PF01400
318	PF00083
319	PF10327
320	PF00751
321	PF01175
322	PF17391
323	PF17392
324	PF00652
325	PF00535
326	PF10324
327	PF01757
328	PF01757
329	PF10318
330	PF02140
331	PF16489
332	PF01825
333	PF00002
334	PF00083
335	PF01663
336	PF01676
337	PF06415
338	PF13306
339	PF01484
340	PF01391
341	PF01391
342	PF00536
343	PF00609
344	PF00130
345	PF00130
346	PF00781
347	PF08231
348	PF00059
349	PF00059
350	PF00059
351	PF00858
352	PF04155
353	PF03798
354	PF08390
355	PF05478
356	PF13347
357	PF00413
358	PF02118
359	PF10316
360	PF02889
361	PF02889
362	PF00226
363	PF01431
364	PF05649
365	PF10328
366	PF00001
367	PF00092
368	PF12661
369	PF12661
370	PF12661
371	PF00008
372	PF00008
373	PF07645
374	PF07645
375	PF07645
376	PF07645
377	PF07645
378	PF07645
379	PF07645
380	PF07645
381	PF07645
382	PF07645
383	PF07645
384	PF07645
385	PF07645
386	PF07645
387	PF07645
388	PF07645
389	PF07645
390	PF07645
391	PF07645
392	PF07645
393	PF07645
394	PF07645
395	PF07645
396	PF07645
397	PF07645
398	PF07645
399	PF00057
400	PF00057
401	PF01390
402	PF01484
403	PF01391
404	PF01391
405	PF00041
406	PF00621
407	PF07679
408	PF07679
409	PF07679
410	PF07679
411	PF07679
412	PF07679
413	PF07679
414	PF07679
