Feature	GO
CAP36607.1	GO:0016020; GO:0006817; GO:0005315
CAP38798.2	GO:0015914; GO:0005548; GO:0005622
CAP22817.1	GO:0003677; GO:0006355; GO:0043565; GO:0003700
CAP22111.2	GO:0006506
CAP30404.1	GO:0006396; GO:0042254; GO:0005730; GO:0003824
CAP38873.1	GO:0000062
CAP32947.1	GO:0005515
CAP31077.1	GO:0046872
CAP30507.2	GO:0006355; GO:0008270; GO:0003707; GO:0005634; GO:0003677; GO:0043565; GO:0003700
CAP31316.2	GO:0016307; GO:0046488
CAP25397.2	GO:0016021
CAP26910.2	GO:0003950; GO:0005515; GO:0006471
CAP29353.2	GO:0035556; GO:0007264; GO:0005085
CAP29350.1	GO:0005509; GO:0005515
CAP25638.2	GO:0005861
CAP23722.1	GO:0005615
CAP32670.2	GO:0046873; GO:0030001; GO:0016020
CBX33022.1	GO:0055114; GO:0016491
CBX33074.1	GO:0005515
CAP32090.2	GO:0006418; GO:0005524; GO:0004812; GO:0000166
CAP21084.1	GO:0003723; GO:0003676
CAP23615.1	GO:0005524; GO:0051276; GO:0005694; GO:0005515
CAP33600.2	GO:0003924; GO:0005525
CAP23840.2	GO:0016021; GO:0006836; GO:0005328
CAP25884.2	GO:0003676; GO:0005524
CAP27386.1	GO:0003676
CAP20511.2	GO:0000799; GO:0005488; GO:0007076
CAP29185.1	GO:0016020; GO:0008519; GO:0015696
CAP28164.1	GO:0005515
CAP32649.2	GO:0003723; GO:0004004; GO:0005524; GO:0003676; GO:0005634
CAP22527.1	GO:0005634; GO:0008270; GO:0006355; GO:0043565; GO:0003700
CAP39636.2	GO:0005515
CAP39631.1	GO:0005515
CAP31800.2	GO:0005615
CAP32725.1	GO:0016798; GO:0016773
CAP25910.2	GO:0003676
CAS00121.1	GO:0015074; GO:0003676
CAP32846.2	GO:0005515
CAP24381.2	GO:0003677
CAP38138.2	GO:0005921
CAP36050.1	GO:0020037; GO:0016705; GO:0005506; GO:0055114
CAP33309.1	GO:1902600; GO:0042626; GO:0016471
CAP30549.2	GO:0006355; GO:0008270; GO:0043565; GO:0003700
CAP24953.1	GO:0005328; GO:0016021; GO:0006836
CAP28374.1	GO:0004867
CAP37890.2	GO:0016747; GO:0003824; GO:0008152
CAP38439.2	GO:0005215; GO:0055085; GO:0022857; GO:0016021
CAP37618.1	GO:0004930; GO:0016021; GO:0007606
CAP28548.1	GO:0042302
CAP32519.1	GO:0042302
CAP20680.2	GO:0005515; GO:0035023; GO:0005089
CAP30196.2	GO:0008237; GO:0004222; GO:0006508
CAP39117.2	GO:0016311; GO:0006470; GO:0016791; GO:0004725
CAP24869.1	GO:0005622; GO:0003735; GO:0005840; GO:0006412
CAP36204.2	GO:0005179; GO:0005576
CAP23393.1	GO:0035556; GO:0007165
CAP25230.2	GO:0016788; GO:0006629
CAP28615.1	GO:0004623; GO:0050482; GO:0006644
CAP30623.2	GO:0017119; GO:0006891
CAP23777.2	GO:0046872
CAP28035.2	GO:0016887; GO:0055085; GO:0016021; GO:0005524; GO:0042626
CAP32135.2	GO:0006265; GO:0003677; GO:0003916; GO:0003917; GO:0008270
CAP25661.2	GO:0004181; GO:0006508; GO:0004180; GO:0008270
CAP32257.1	GO:0016575; GO:0004407
CAP39845.2	GO:0005230; GO:0006811; GO:0004888; GO:0005216; GO:0034220; GO:0016021
CAP21068.2	GO:0008963; GO:0003975; GO:0006487; GO:0016021; GO:0006488
CAP25653.2	GO:0016021; GO:0007186; GO:0004930
CAP38756.2	GO:0005515
CAP26304.2	GO:0003677; GO:0003676
CAP22328.2	GO:0005515
CAP34069.2	GO:0006885; GO:0006814; GO:0015385; GO:0016021; GO:0015299; GO:0006812; GO:0055085
CAP29113.1	GO:0005216; GO:0005515; GO:0006811; GO:0006813; GO:0005249; GO:0016020; GO:0008076; GO:0051260; GO:0055085
CAP38052.1	GO:0005515
CAP36704.2	GO:0005975; GO:0005524; GO:0016773; GO:0001678; GO:0004396; GO:0005536; GO:0006096
CAP24943.1	GO:0005515
CAP37940.1	GO:0005515
CAP32614.2	GO:0016020; GO:0007154
CAP31824.2	GO:0008146
CAP30162.1	GO:0045211; GO:0022848; GO:0006811; GO:0004888; GO:0005230; GO:0016021; GO:0034220; GO:0005216
CAP28114.2	GO:0019825; GO:0020037
CAP32763.2	GO:0003676
CAP20820.2	GO:0005215; GO:0022857; GO:0016021; GO:0055085
CAP39381.2	GO:0007606; GO:0016021
CAP27379.1	GO:0005852; GO:0003743; GO:0005737
CAP39314.2	GO:0016021
CAP32026.1	GO:0005525
CAP24301.1	GO:0005524
CAP25691.2	GO:0061630; GO:0006511; GO:0004842; GO:0005515
CAP30574.1	GO:0042302
CAP28811.2	GO:0006355; GO:0003700; GO:0005634
CAP31688.1	GO:0005515; GO:0003676; GO:0005634
CAP25258.1	GO:0016021; GO:0005516; GO:0016286; GO:0015269; GO:0006813
CAP21182.3	GO:0042981
CAP32968.2	GO:0046872
CAP30062.2	GO:0016747
CAP26739.2	GO:0006511; GO:0031625; GO:0031461
CAP37287.2	GO:0005515
CAP33132.1	GO:0016020
CAP23141.1	GO:0016021; GO:0007186; GO:0004930
