Feature	Pfam
0	PF15358
1	PF15358
2	PF00094
3	PF00094
4	PF00094
5	PF00090
6	PF00090
7	PF00090
8	PF00090
9	PF00090
10	PF00090
11	PF00090
12	PF00090
13	PF00090
14	PF00090
15	PF00090
16	PF00090
17	PF00090
18	PF00090
19	PF00090
20	PF00090
21	PF00090
22	PF00090
23	PF00090
24	PF00090
25	PF08742
26	PF08742
27	PF08742
28	PF01826
29	PF01826
30	PF01826
31	PF01826
32	PF01826
33	PF01826
34	PF01826
35	PF01826
36	PF01826
37	PF01826
38	PF01826
39	PF01826
40	PF00057
41	PF00057
42	PF00057
43	PF00057
44	PF00057
45	PF00057
46	PF00057
47	PF00754
48	PF00209
49	PF00168
50	PF00069
51	PF00130
52	PF00130
53	PF00433
54	PF00324
55	PF03522
56	PF01352
57	PF00096
58	PF00096
59	PF00096
60	PF00096
61	PF00096
62	PF00096
63	PF00096
64	PF00096
65	PF00096
66	PF00096
67	PF01160
68	PF00261
69	PF13520
70	PF12470
71	PF05076
72	PF00010
73	PF00179
74	PF13855
75	PF13855
76	PF13855
77	PF17229
78	PF00094
79	PF13853
80	PF13895
81	PF07686
82	PF15249
83	PF13853
84	PF00344
85	PF10559
86	PF13853
87	PF01179
88	PF02727
89	PF02728
90	PF00652
91	PF00535
92	PF07690
93	PF01352
94	PF00096
95	PF00096
96	PF00096
97	PF00096
98	PF00096
99	PF00096
100	PF00096
101	PF00611
102	PF14604
103	PF13895
104	PF00047
105	PF00047
106	PF09380
107	PF00102
108	PF09379
109	PF00373
110	PF00059
111	PF10367
112	PF10366
113	PF00780
114	PF00102
115	PF00102
116	PF01352
117	PF00096
118	PF00096
119	PF00096
120	PF00096
121	PF00096
122	PF00096
123	PF00096
124	PF00096
125	PF00096
126	PF00096
127	PF00096
128	PF00096
129	PF00096
130	PF00096
131	PF00096
132	PF00096
133	PF00096
134	PF00096
135	PF00096
136	PF00194
137	PF03062
138	PF00094
139	PF00093
140	PF00093
141	PF00093
142	PF00093
143	PF00093
144	PF00093
145	PF00093
146	PF00093
147	PF00093
148	PF03006
149	PF12874
150	PF12874
151	PF12874
152	PF13520
153	PF00038
154	PF16208
155	PF17136
156	PF00467
157	PF00341
158	PF03128
159	PF03128
160	PF00621
161	PF00067
162	PF01352
163	PF00096
164	PF00096
165	PF00096
166	PF00096
167	PF00096
168	PF00096
169	PF00096
170	PF00096
171	PF00096
172	PF01073
173	PF14604
174	PF14604
175	PF13923
176	PF00018
177	PF00018
178	PF01007
179	PF17655
180	PF00096
181	PF00096
182	PF00096
183	PF00096
184	PF00096
185	PF00096
186	PF00628
187	PF13639
188	PF00860
189	PF00860
190	PF01273
191	PF02886
192	PF00046
193	PF00046
194	PF00096
195	PF00096
196	PF00096
197	PF00096
198	PF00096
199	PF00096
200	PF00096
201	PF01352
202	PF00130
203	PF00781
204	PF00609
205	PF12796
206	PF13853
207	PF04893
208	PF00617
209	PF00130
210	PF00618
211	PF09606
