Feature	Pfam
0	PF00179
1	PF07653
2	PF00625
3	PF02828
4	PF00595
5	PF00069
6	PF00564
7	PF00595
8	PF00635
9	PF13927
10	PF07686
11	PF08205
12	PF08205
13	PF00153
14	PF00153
15	PF00153
16	PF07645
17	PF07645
18	PF07645
19	PF07645
20	PF07645
21	PF07645
22	PF07645
23	PF07645
24	PF07645
25	PF07645
26	PF07645
27	PF07645
28	PF07645
29	PF07645
30	PF07645
31	PF07645
32	PF07645
33	PF02210
34	PF00008
35	PF00028
36	PF00028
37	PF00028
38	PF00028
39	PF00028
40	PF00028
41	PF00028
42	PF00028
43	PF00028
44	PF00028
45	PF00028
46	PF00028
47	PF00028
48	PF00028
49	PF00028
50	PF00028
51	PF00028
52	PF00028
53	PF00028
54	PF00028
55	PF00028
56	PF00028
57	PF00028
58	PF00028
59	PF00028
60	PF00028
61	PF00028
62	PF00028
63	PF00028
64	PF00028
65	PF00028
66	PF07645
67	PF07645
68	PF07645
69	PF14670
70	PF14670
71	PF00084
72	PF00084
73	PF07974
74	PF15636
75	PF00010
76	PF08389
77	PF03810
78	PF08241
79	PF12589
80	PF00047
81	PF02014
82	PF03351
83	PF00226
84	PF01556
85	PF13927
86	PF07679
87	PF00643
88	PF00025
89	PF00439
90	PF00439
91	PF00439
92	PF00439
93	PF00439
94	PF01426
95	PF01426
96	PF00505
97	PF00635
98	PF00650
99	PF00058
100	PF00058
101	PF00058
102	PF00058
103	PF00058
104	PF00058
105	PF00058
106	PF00058
107	PF00058
108	PF00058
109	PF00058
110	PF00057
111	PF00057
112	PF00057
113	PF00057
114	PF00057
115	PF00057
116	PF00057
117	PF00057
118	PF00057
119	PF00057
120	PF00057
121	PF00057
122	PF00057
123	PF00057
124	PF00057
125	PF00057
126	PF00057
127	PF00057
128	PF00057
129	PF00057
130	PF00057
131	PF00057
132	PF00057
133	PF00057
134	PF00057
135	PF00057
136	PF00057
137	PF00057
138	PF00057
139	PF00057
140	PF00057
141	PF00057
142	PF00057
143	PF07645
144	PF07645
145	PF07645
146	PF12662
147	PF14670
148	PF14670
149	PF09409
150	PF00789
151	PF00133
152	PF08264
153	PF09379
154	PF00373
155	PF09380
156	PF00769
157	PF01661
158	PF13716
159	PF00400
160	PF00400
161	PF00400
162	PF00400
163	PF00400
164	PF00400
165	PF00400
166	PF00069
167	PF00080
168	PF00403
169	PF00583
170	PF00628
171	PF03453
172	PF03454
173	PF00994
174	PF00994
175	PF01485
176	PF01485
177	PF00443
178	PF13848
179	PF13848
180	PF00085
181	PF00085
182	PF00085
183	PF13912
184	PF13912
185	PF00096
186	PF00096
187	PF00096
188	PF00096
189	PF00096
190	PF01490
191	PF07776
192	PF13894
193	PF00505
194	PF00282
195	PF00271
196	PF00270
197	PF00130
198	PF00130
199	PF00069
200	PF00028
201	PF00028
202	PF00028
203	PF00028
204	PF00028
205	PF00028
206	PF00028
207	PF00028
208	PF00028
209	PF00028
210	PF00028
211	PF00028
212	PF00028
213	PF00028
214	PF00028
215	PF00028
216	PF00028
217	PF00028
218	PF00028
219	PF00028
220	PF00028
221	PF00028
222	PF00028
223	PF00028
224	PF00160
225	PF09079
226	PF00004
227	PF00069
228	PF00271
229	PF00270
230	PF04088
231	PF14604
232	PF08777
233	PF05383
234	PF00076
235	PF00560
236	PF13855
237	PF13855
238	PF13855
239	PF13855
240	PF01582
241	PF00625
242	PF12052
243	PF00400
244	PF00400
245	PF00400
246	PF00400
247	PF00400
248	PF00400
249	PF00400
250	PF08154
251	PF00567
252	PF00567
253	PF00567
254	PF00567
255	PF00567
256	PF00567
257	PF00567
258	PF00567
259	PF00567
260	PF00567
261	PF01602
262	PF09066
263	PF02883
264	PF13949
265	PF03097
266	PF00230
267	PF00270
268	PF00271
269	PF07717
270	PF04408
271	PF11671
272	PF12278
273	PF05986
274	PF00090
275	PF00090
276	PF00090
277	PF00090
278	PF00090
279	PF00090
280	PF00028
281	PF00028
282	PF00028
283	PF00028
284	PF00028
285	PF00028
286	PF00027
287	PF00027
288	PF00069
289	PF16808
290	PF10491
291	PF00090
292	PF02213
293	PF12465
294	PF00227
295	PF05773
296	PF07738
297	PF10300
