Feature	Pfam
0	PF07714
1	PF10211
2	PF00069
3	PF14844
4	PF02138
5	PF09261
6	PF01074
7	PF07748
8	PF01490
9	PF01490
10	PF01490
11	PF01490
12	PF07714
13	PF12796
14	PF12796
15	PF12796
16	PF00520
17	PF07714
18	PF12698
19	PF12698
20	PF00005
21	PF00005
22	PF10988
23	PF07690
24	PF07690
25	PF00009
26	PF03144
27	PF02493
28	PF02493
29	PF02493
30	PF02493
31	PF02493
32	PF00397
33	PF13516
34	PF13516
35	PF13516
36	PF13516
37	PF01529
38	PF14737
39	PF14740
40	PF13181
41	PF13432
42	PF13905
43	PF00083
44	PF14288
45	PF02364
46	PF02364
47	PF14145
48	PF14145
49	PF16209
50	PF16212
51	PF13246
52	PF01777
53	PF06454
54	PF04142
55	PF00225
56	PF00063
57	PF00397
58	PF00612
59	PF00085
60	PF00085
61	PF13857
62	PF12796
63	PF00664
64	PF00005
65	PF09268
66	PF01394
67	PF13838
68	PF00637
69	PF00637
70	PF00637
71	PF00637
72	PF00637
73	PF00637
74	PF00637
75	PF00041
76	PF00041
77	PF00041
78	PF00400
79	PF00400
80	PF00400
81	PF00635
82	PF00635
83	PF01331
84	PF03919
85	PF02940
86	PF00503
87	PF13802
88	PF16863
89	PF00088
90	PF01055
91	PF03493
92	PF07885
93	PF12796
94	PF12796
95	PF01504
96	PF14961
97	PF00787
98	PF00787
99	PF00787
100	PF13639
101	PF13639
102	PF13639
103	PF12678
104	PF01142
105	PF00787
106	PF01048
107	PF01066
108	PF13640
109	PF00149
110	PF00561
111	PF02535
112	PF09229
113	PF16987
114	PF00569
115	PF00439
116	PF08214
117	PF02135
118	PF02135
119	PF08007
120	PF01293
121	PF02493
122	PF02493
123	PF02493
124	PF02493
125	PF02493
126	PF02493
127	PF02493
128	PF02493
129	PF02493
130	PF02493
131	PF02493
132	PF02493
133	PF02493
134	PF02493
135	PF02493
136	PF02493
137	PF02493
138	PF02493
139	PF02493
140	PF02493
141	PF02493
142	PF00487
143	PF03738
144	PF05257
145	PF13639
146	PF00787
147	PF03798
148	PF01529
149	PF00892
150	PF00892
151	PF00892
152	PF03092
153	PF00083
154	PF00004
155	PF16450
156	PF02138
157	PF00400
158	PF01554
159	PF01554
160	PF01554
161	PF01554
162	PF13520
163	PF13520
164	PF00085
165	PF00501
166	PF00620
167	PF04727
168	PF02759
169	PF13921
170	PF00249
171	PF00664
172	PF00664
173	PF00005
174	PF00005
175	PF00566
176	PF12937
177	PF06732
178	PF16589
179	PF01061
180	PF01061
181	PF00005
182	PF00005
183	PF07798
184	PF02800
185	PF00400
186	PF00400
187	PF00400
188	PF12894
189	PF02885
190	PF00591
191	PF04427
192	PF00664
193	PF00702
194	PF00211
195	PF00211
196	PF16212
197	PF16209
198	PF13906
199	PF13520
200	PF13857
201	PF02872
202	PF00149
203	PF07859
204	PF00498
205	PF00664
206	PF03828
207	PF03820
208	PF07926
209	PF13246
210	PF00122
211	PF16212
212	PF16209
213	PF01757
214	PF12796
215	PF12796
216	PF12796
217	PF07714
218	PF03133
219	PF10192
220	PF00066
221	PF00005
222	PF00005
223	PF00664
224	PF00664
225	PF00310
226	PF04898
227	PF01493
228	PF01645
229	PF07714
230	PF00400
231	PF00400
232	PF13967
233	PF14703
234	PF02714
235	PF13520
236	PF01040
237	PF00505
238	PF00505
239	PF00505
240	PF00505
241	PF13181
242	PF13181
243	PF00515
244	PF13414
245	PF14559
246	PF00226
247	PF08016
248	PF07690
249	PF07690
250	PF07690
251	PF07690
252	PF12796
253	PF12796
254	PF12796
255	PF12796
256	PF12796
257	PF12796
258	PF12796
259	PF12796
260	PF12796
261	PF13637
262	PF13637
263	PF13637
264	PF13637
265	PF07714
266	PF00964
267	PF07714
268	PF13855
269	PF13855
270	PF13516
271	PF13516
272	PF13516
273	PF13516
274	PF14771
275	PF13499
276	PF13499
277	PF14617
278	PF14703
279	PF14703
280	PF14703
281	PF13967
282	PF13967
283	PF02714
284	PF02714
285	PF00083
286	PF03209
287	PF02214
288	PF00069
289	PF00169
290	PF00375
291	PF00375
292	PF13691
293	PF12706
294	PF14886
295	PF06027
296	PF00169
297	PF06398
298	PF16016
299	PF12597
300	PF17189
301	PF00787
302	PF00063
303	PF02238
304	PF13202
305	PF00415
306	PF00415
307	PF00415
308	PF13540
309	PF13540
310	PF13499
311	PF00293
312	PF00096
313	PF00096
314	PF00096
315	PF00096
316	PF00027
317	PF01740
318	PF12776
319	PF00916
320	PF00849
321	PF01479
322	PF13516
323	PF12697
324	PF13385
325	PF03404
326	PF00174
327	PF00173
328	PF12777
329	PF18198
330	PF08385
331	PF17857
332	PF03028
333	PF12775
334	PF18199
335	PF12781
336	PF08393
337	PF12780
338	PF12774
339	PF17852
340	PF00856
341	PF17101
342	PF11380
343	PF06772
344	PF06772
345	PF10354
346	PF01663
347	PF16573
348	PF06807
349	PF16575
350	PF05653
351	PF01554
352	PF01554
353	PF13850
354	PF07970
355	PF06011
356	PF02990
357	PF07690
358	PF07690
359	PF10263
360	PF02179
361	PF00447
362	PF04756
363	PF01237
364	PF10268
365	PF13918
366	PF13091
367	PF02176
368	PF02176
369	PF02176
370	PF00023
371	PF12796
372	PF12796
373	PF12796
374	PF13637
375	PF00520
376	PF00520
377	PF00520
378	PF00027
379	PF00027
380	PF00027
381	PF00249
382	PF01459
383	PF00083
384	PF13401
385	PF14559
386	PF13812
387	PF01535
388	PF01535
389	PF00083
