Feature	Pfam
0	PF16492
1	PF00028
2	PF00028
3	PF00028
4	PF00028
5	PF00028
6	PF08266
7	PF07679
8	PF07679
9	PF07679
10	PF07679
11	PF07679
12	PF07679
13	PF07679
14	PF07679
15	PF07679
16	PF07679
17	PF07679
18	PF07679
19	PF07679
20	PF07679
21	PF07679
22	PF07679
23	PF07679
24	PF07679
25	PF07679
26	PF07679
27	PF07679
28	PF07679
29	PF07679
30	PF07679
31	PF07679
32	PF07679
33	PF07679
34	PF07679
35	PF07679
36	PF07679
37	PF07679
38	PF07679
39	PF07679
40	PF07679
41	PF07679
42	PF07679
43	PF07679
44	PF07679
45	PF07679
46	PF07679
47	PF07679
48	PF07679
49	PF07679
50	PF07679
51	PF07679
52	PF07679
53	PF07679
54	PF07679
55	PF07679
56	PF07679
57	PF07679
58	PF07679
59	PF07679
60	PF07679
61	PF07679
62	PF07679
63	PF07679
64	PF07679
65	PF07679
66	PF07679
67	PF07679
68	PF07679
69	PF07679
70	PF07679
71	PF07679
72	PF07679
73	PF00041
74	PF00041
75	PF00621
76	PF00612
77	PF00169
78	PF01825
79	PF00002
80	PF06350
81	PF07859
82	PF07859
83	PF13499
84	PF13499
85	PF14497
86	PF13417
87	PF02784
88	PF08831
89	PF09307
90	PF00086
91	PF07714
92	PF00079
93	PF02089
94	PF09443
95	PF00271
96	PF00476
97	PF00270
98	PF12360
99	PF00046
100	PF00292
101	PF01825
102	PF07645
103	PF00002
104	PF17781
105	PF13646
106	PF18004
107	PF01851
108	PF01851
109	PF01851
110	PF01576
111	PF06293
112	PF02157
113	PF00096
114	PF00096
115	PF00096
116	PF00096
117	PF00096
118	PF00096
119	PF00096
120	PF00096
121	PF00096
122	PF00096
123	PF00096
124	PF00096
125	PF00096
126	PF00096
127	PF00096
128	PF00096
129	PF00096
130	PF00096
131	PF00096
132	PF00096
133	PF00096
134	PF13853
135	PF16193
136	PF00004
137	PF12002
138	PF09596
139	PF00538
140	PF07809
141	PF00096
142	PF00096
143	PF00096
144	PF00096
145	PF00096
146	PF00096
147	PF00096
148	PF00096
149	PF00096
150	PF00096
151	PF00096
152	PF00232
153	PF00232
154	PF00232
155	PF00028
